resolution,event,event_time,before_time,after_time,field,before,after,ratio,delta_log10_abs,leaf_count,max_level
n256,6,0.30682957468014205,0.30305969096346536,0.30808547539811854,H-norm2,8.087578913464232e-05,8.36913197113841e-05,1.0348130213858497,0.014861884946362203,179,7
n256,6,0.30682957468014205,0.30305969096346536,0.30808547539811854,M-norm2,3.09884807298502e-05,3.9988645378372526e-05,1.290435814746244,0.11073640795407425,179,7
n256,6,0.30682957468014205,0.30305969096346536,0.30808547539811854,Z-norm2,1.895035921854166e-05,1.8923193611523164e-05,0.9985664859064034,-0.000623013916960069,179,7
n512,6,0.30682957468014205,0.30432707512218327,0.30716092953426744,C-norm2,3.969962577675801e-06,4.07624869432e-06,1.0267725739385742,0.011474259740141157,179,7
n512,6,0.30682957468014205,0.30432707512218327,0.30716092953426744,H-norm2,2.724127096251666e-06,2.8085647781275687e-06,1.0309962343504775,0.0132570790528721,179,7
n512,6,0.30682957468014205,0.30432707512218327,0.30716092953426744,M-norm2,7.960807604201982e-07,8.1363264606355e-07,1.0220478706633827,0.009471237753747808,179,7
n512,6,0.30682957468014205,0.30432707512218327,0.30716092953426744,Z-norm2,1.0951975163136477e-07,1.105478663383931e-07,1.0093874820908002,0.004057914532201501,179,7
n128,7,0.3074574645524693,0.3045064856257353,0.30808547539811854,C-norm2,0.03967072976880083,0.04361851978390081,1.0995139247023564,0.04120073381786593,182,7
n128,7,0.3074574645524693,0.3045064856257353,0.30808547539811854,H-norm2,0.016199728145710118,0.019334921913702695,1.193533727220158,0.0768346959348516,182,7
n128,7,0.3074574645524693,0.3045064856257353,0.30808547539811854,M-norm2,0.007062306582671137,0.007731171498899247,1.0947091305649788,0.03929874038946268,182,7
n128,7,0.3074574645524693,0.3045064856257353,0.30808547539811854,Z-norm2,0.003950011398438427,0.003985596816366262,1.0090089405670837,0.003895014424965204,182,7
n256,7,0.3074574645524693,0.30305969096346536,0.30808547539811854,C-norm2,0.00019043930764841045,0.0002022085423305184,1.0618004488014436,0.026042904572617154,182,7
n256,7,0.3074574645524693,0.30305969096346536,0.30808547539811854,H-norm2,8.087578913464232e-05,8.36913197113841e-05,1.0348130213858497,0.014861884946362203,182,7
n256,7,0.3074574645524693,0.30305969096346536,0.30808547539811854,M-norm2,3.09884807298502e-05,3.9988645378372526e-05,1.290435814746244,0.11073640795407425,182,7
n256,7,0.3074574645524693,0.30305969096346536,0.30808547539811854,Z-norm2,1.895035921854166e-05,1.8923193611523164e-05,0.9985664859064034,-0.000623013916960069,182,7
n512,7,0.3074574645524693,0.30716092953426744,0.3084167507569009,C-norm2,4.07624869432e-06,4.08573352555382e-06,1.0023268529339333,0.001009365521728256,182,7
n512,7,0.3074574645524693,0.30716092953426744,0.3084167507569009,H-norm2,2.8085647781275687e-06,2.8134690406966174e-06,1.0017461810413781,0.000757695446321982,182,7
n512,7,0.3074574645524693,0.30716092953426744,0.3084167507569009,M-norm2,8.1363264606355e-07,8.172215325684243e-07,1.0044109421152627,0.0019114352977487314,182,7
n512,7,0.3074574645524693,0.30716092953426744,0.3084167507569009,Z-norm2,1.105478663383931e-07,1.1077439421592324e-07,1.0020491383961834,0.0008890189474506371,182,7
n128,8,0.30808547539811854,0.30808547539811854,0.31331916242122565,C-norm2,0.04361851978390081,0.04447521370150191,1.0196406004111425,0.00844712003327186,185,7
n128,8,0.30808547539811854,0.30808547539811854,0.31331916242122565,H-norm2,0.019334921913702695,0.020555049268837815,1.0631048504142349,0.0265760996227562,185,7
n128,8,0.30808547539811854,0.30808547539811854,0.31331916242122565,M-norm2,0.007731171498899247,0.0074190801819980865,0.9596320794402768,-0.017895242476791307,185,7
n128,8,0.30808547539811854,0.30808547539811854,0.31331916242122565,Z-norm2,0.003985596816366262,0.003970507123693004,0.996213944016792,-0.0016473837367749766,185,7
n256,8,0.30808547539811854,0.30808547539811854,0.31073535038679884,C-norm2,0.0002022085423305184,0.00019760761525878975,0.9772466236158893,-0.009995821379236602,185,7
n256,8,0.30808547539811854,0.30808547539811854,0.31073535038679884,H-norm2,8.36913197113841e-05,7.821998517538791e-05,0.9346248266264112,-0.02936268690720034,185,7
n256,8,0.30808547539811854,0.30808547539811854,0.31073535038679884,M-norm2,3.9988645378372526e-05,4.1171428463732094e-05,1.0295779733013728,0.012659242738603638,185,7
n256,8,0.30808547539811854,0.30808547539811854,0.31073535038679884,Z-norm2,1.8923193611523164e-05,1.8835409235829287e-05,0.9953610168824558,-0.0020193723164938504,185,7
n512,8,0.30808547539811854,0.30716092953426744,0.3084167507569009,C-norm2,4.07624869432e-06,4.08573352555382e-06,1.0023268529339333,0.001009365521728256,185,7
n512,8,0.30808547539811854,0.30716092953426744,0.3084167507569009,H-norm2,2.8085647781275687e-06,2.8134690406966174e-06,1.0017461810413781,0.000757695446321982,185,7
n512,8,0.30808547539811854,0.30716092953426744,0.3084167507569009,M-norm2,8.1363264606355e-07,8.172215325684243e-07,1.0044109421152627,0.0019114352977487314,185,7
n512,8,0.30808547539811854,0.30716092953426744,0.3084167507569009,Z-norm2,1.105478663383931e-07,1.1077439421592324e-07,1.0020491383961834,0.0008890189474506371,185,7
n128,9,0.33336334920377986,0.33336334920377986,0.3371721362129598,C-norm2,0.047474536328123734,0.04798866683944179,1.010829605744111,0.004677953294382586,188,7
n128,9,0.33336334920377986,0.33336334920377986,0.3371721362129598,H-norm2,0.024874206161185998,0.02562526401727213,1.0301942442391625,0.012919119120415656,188,7
n128,9,0.33336334920377986,0.33336334920377986,0.3371721362129598,M-norm2,0.006285493677005406,0.006082859053614978,0.9677615420835219,-0.014231640331103801,188,7
n128,9,0.33336334920377986,0.33336334920377986,0.3371721362129598,Z-norm2,0.003915232597286365,0.0039049679606777852,0.9973782817869636,-0.0011400929080815914,188,7
n256,9,0.33336334920377986,0.33189154793234554,0.3336668984034379,C-norm2,0.00017057863198204862,0.00016963772932068998,0.9944840531875196,-0.002402176509571863,188,7
n256,9,0.33336334920377986,0.33189154793234554,0.3336668984034379,H-norm2,4.716712404284322e-05,4.623399196089015e-05,0.9802164727892783,-0.00867800333188562,188,7
n256,9,0.33336334920377986,0.33189154793234554,0.3336668984034379,M-norm2,4.7589589853634545e-05,4.777372637047687e-05,1.0038692604287756,0.0016771558652308727,188,7
n256,9,0.33336334920377986,0.33189154793234554,0.3336668984034379,Z-norm2,1.816167805410837e-05,1.8107531166644226e-05,0.9970186186924564,-0.001296731437698817,188,7
n512,9,0.33336334920377986,0.33336334920377986,0.3346612540460648,C-norm2,4.176867760612673e-06,4.186598689479641e-06,1.0023297191638982,0.001010607418096221,188,7
n512,9,0.33336334920377986,0.33336334920377986,0.3346612540460648,H-norm2,2.7857135795635154e-06,2.7899483272408875e-06,1.0015201662182498,0.0006596985014191148,188,7
n512,9,0.33336334920377986,0.33336334920377986,0.3346612540460648,M-norm2,9.147166534071541e-07,9.189795208323126e-07,1.0046603146551232,0.002019247420579795,188,7
n512,9,0.33336334920377986,0.33336334920377986,0.3346612540460648,Z-norm2,1.1569046988894713e-07,1.1597602318363425e-07,1.002468252527293,0.0010706277056531377,188,7
n128,10,0.42150302606253925,0.42148094084957294,0.4218122190440677,C-norm2,0.054983345047491014,0.054987200165742496,1.0000701142909394,3.0449182208736048e-05,185,7
n128,10,0.42150302606253925,0.42148094084957294,0.4218122190440677,H-norm2,0.03652117981555261,0.03653428210934945,1.0003587587767704,0.00015577901521179882,185,7
n128,10,0.42150302606253925,0.42148094084957294,0.4218122190440677,M-norm2,0.0031636280785138256,0.0031600942257013214,0.9988829746339322,-0.0004853890990959009,185,7
n128,10,0.42150302606253925,0.42148094084957294,0.4218122190440677,Z-norm2,0.0036131484505955674,0.0036114905948330884,0.9995411603522114,-0.00019931725794064548,185,7
n256,10,0.42150302606253925,0.42046357034569826,0.42281858778496256,C-norm2,0.0002489205377497842,0.0002476059846518863,0.9947189849829938,-0.002299593132294664,185,7
n256,10,0.42150302606253925,0.42046357034569826,0.42281858778496256,H-norm2,0.00016542274943019886,0.00016423273942946877,0.9928062494135232,-0.003135497748985916,185,7
n256,10,0.42150302606253925,0.42046357034569826,0.42281858778496256,M-norm2,1.7585497462920116e-05,1.778041352782189e-05,1.0110839096427475,0.004787199095101613,185,7
n256,10,0.42150302606253925,0.42046357034569826,0.42281858778496256,Z-norm2,1.5348811099141535e-05,1.5258616037199609e-05,0.9941236450589341,-0.002559596460555369,185,7
n512,10,0.42150302606253925,0.42150012026963346,0.42154370716322037,C-norm2,5.051099516278134e-06,5.051391721247389e-06,1.0000578497747499,2.512311127667033e-05,185,7
n512,10,0.42150302606253925,0.42150012026963346,0.42154370716322037,H-norm2,3.3208604670722702e-06,3.3209098420088953e-06,1.000014868115392,6.45709246871462e-06,185,7
n512,10,0.42150302606253925,0.42150012026963346,0.42154370716322037,M-norm2,1.1368763279917333e-06,1.1370434983520988e-06,1.0001470435756725,6.385551885745855e-05,185,7
n512,10,0.42150302606253925,0.42150012026963346,0.42154370716322037,Z-norm2,1.4329483308911296e-07,1.4331290939132826e-07,1.0001261476204384,5.4781760239208666e-05,185,7
n128,11,0.4441985172511066,0.44132495063936317,0.4446690209220471,C-norm2,0.05469090458187326,0.05453136902958043,0.9970829600732969,-0.0012687056771618632,182,7
n128,11,0.4441985172511066,0.44132495063936317,0.4446690209220471,H-norm2,0.036671554378681026,0.0365638039996072,0.9970617449710159,-0.001277946332396862,182,7
n128,11,0.4441985172511066,0.44132495063936317,0.4446690209220471,M-norm2,0.0031002347976036193,0.003120043288521621,1.0063893518430647,0.002766033049262262,182,7
