block,level,x,y,z,r,h,w,rho,alpha,K,product_derivative_defect,half_ell_factorized,half_ell_direct,energy_rate_margin,frozen_spectral_abscissa
57,1,0.75,-6.25,-6.25,8.870597499605086,0.5,0.8961460628975394,0.9991785667036363,0.8954099386830701,-0.00013234049565955856,2.4129512116868804e-06,9.799317675248097e-08,2.4873720265302973e-06,15.99872551495118,-15.999617832952959
58,1,7.75,-4.25,-6.75,11.121488209767612,0.5,0.9163560402341379,0.9991578299200365,0.9155843125944588,5.2953465662735076e-05,7.256179030590738e-07,0.00037468736234990427,0.00037476002679464915,15.999537161841294,-15.999834206614262
59,1,0.75,-0.25,-5.75,5.80409338312195,0.5,0.8472273130978567,1.0040932279000991,0.8506952075735549,-0.0015526993539445471,1.2446208796576558e-05,2.649172223852891e-07,1.2181624741912768e-05,15.99352553123601,-15.996599383916406
60,1,6.75,-0.25,-7.25,9.908960591303208,0.5,0.9065706200208394,0.9990987724655347,0.9057535936161394,-6.620630845983512e-05,1.4093465175187694e-06,6.254826789811779e-06,7.524309476819164e-06,15.999105408944372,-15.99984495243595
60,1,5.25,-3.75,-6.75,9.33742469849155,0.5,0.9010420131950623,0.9991754197385231,0.9002990317362202,-1.1868688766371022e-05,2.21256144427358e-06,2.468070043609415e-06,4.557454260822235e-06,15.998942441021343,-15.999736198867819
62,1,7.25,-4.75,-2.75,9.093266739736606,0.5,0.8987435552187955,0.9993118949425231,0.8981251252330746,-0.00010381988098036731,1.9110733790281316e-06,6.022423649519105e-06,7.866546992516891e-06,15.99865148736653,-15.999673178524093
63,2,1.375,-2.875,-3.375,4.641861156906786,0.25,0.81403678151055,1.0130841847527317,0.8246877891553531,-0.003909379431876681,2.3168418679443897e-05,4.653097140208259e-06,2.727984471386592e-05,15.985949671776861,-15.991431393829641
63,2,1.875,-3.625,-3.125,5.140221298738022,0.25,0.8298785104518993,1.0083097198219342,0.8367745683599986,-0.0020105974625509865,1.5678123990931486e-05,1.6063255473722172e-05,3.131873126353013e-05,15.991463286118714,-15.995416303523115
65,2,0.125,-0.125,-2.875,2.8804296554507283,0.25,0.7256313319137591,1.045860849700382,0.758909401364544,-0.011437053744143394,4.794390549716481e-05,1.427918678303786e-06,4.651639189218672e-05,15.939212886775532,-15.972248281783072
66,2,2.375,-0.875,-3.625,4.421184795956848,0.25,0.8061582339082531,1.0144450210239764,0.8178032065457095,-0.004020771573647624,3.179298045150437e-05,2.2912170320689505e-05,5.464819438664491e-05,15.984170647753995,-15.990998675153863
66,2,3.625,-1.875,-3.125,5.140221298738022,0.25,0.8298785104519003,1.0083097198219277,0.8367745683599943,-0.0020105974625684543,1.567812399118286e-05,1.606325547475669e-05,3.131873126507067e-05,15.991463286118696,-15.995416303523074
68,2,2.375,-2.125,-1.375,3.470860844228705,0.25,0.7629611033774,1.0298538384815068,0.7857384209253011,-0.008381658196675114,1.5419296765026167e-05,5.566919247046389e-07,1.4918258764767458e-05,15.967177628231617,-15.980707068436418
69,3,0.4375,-1.4375,-1.6875,2.2595284353156524,0.125,0.6719793544178931,1.0716037538966805,0.7200955987352822,-0.014291890220935822,2.797017758597323e-05,5.593751737202824e-06,3.288080549475884e-05,15.916654994961378,-15.958626370547975
69,3,0.5625,-1.8125,-1.5625,2.458245054912142,0.125,0.6912696960757907,1.0616969885302867,0.7339189545859135,-0.013046354674614957,2.568283249157998e-05,2.4981891771077288e-05,5.017131862320282e-05,15.929353969647266,-15.966525192337611
71,3,0.6875,-0.3125,-1.4375,1.6237976320958225,0.125,0.5902205225896892,1.1160932801015477,0.6587411590403758,-0.01432044625913812,2.2121975813088696e-05,1.1000231773777792e-06,2.103486681555757e-05,15.85493076056199,-15.907524150792284
72,3,1.0625,-0.5625,-1.8125,2.1749640801631642,0.125,0.6630728238592349,1.0758673294460535,0.7133783882336885,-0.014100981860664273,3.4833552447325215e-05,2.5610678707174565e-05,6.041235335615869e-05,15.909781964089039,-15.953899276652717
72,3,1.6875,-0.8125,-1.5625,2.439102037635982,0.125,0.689496185961162,1.0627401491666633,0.7327552795182107,-0.013371793588275498,2.285928885407799e-05,5.401063901727749e-06,2.63118089576577e-05,15.929444262838413,-15.965667053980393
74,3,1.5625,-1.1875,-0.6875,2.0794755949517656,0.125,0.6523697292671942,1.081544580261801,0.7055669450157922,-0.014500235749198946,2.158365385091288e-05,1.1824536593352502e-06,2.0429278468804297e-05,15.906859676902913,-15.94799139737186
75,4,0.34375,-0.78125,-0.84375,1.20017902310447,0.0625,0.5080142746174904,1.1703943802057266,0.5945770520765995,-0.010123002953247395,1.1894192446669672e-05,1.970487116882558e-06,1.0224152892056406e-05,15.818701974970725,-15.842142323406748
75,4,0.09375,-0.71875,-0.84375,1.1123419831598553,0.0625,0.48661731429309046,1.1869921374241308,0.5776109260003455,-0.00853726722345464,1.2964850688406424e-05,2.031065875881709e-06,1.0984095764553726e-05,15.797243412168347,-15.823958444914405
