case	target	time	dt	GH_L2	reduction_L2	curl_L2	Psi_error_L2	Pi_L2	Phi_L2	bad_state	physical_lapse_min	G_lambda_min	G_condition_max	relative_lapse_min	relative_v2_max	r_core	transition_amplitude	feedback
fixed_core_tau8	2.2	2.2	0.001667919827703201	0.0001968414162421681	7.010398975310492e-05	0.0005200912172390565	0.02679757026699267	0.12491343813852021	0.03741824647069726	0.0	0.004530772521444858	0.9765118558493571	1.291086617154954	0.9999995479137346	0.0005011227447113124	0.3	0.13161822265625	0.0
fixed_core_tau8	3.0	3.003200236764262	0.003519814981172814	0.0005965005100894767	0.00020943123670465202	0.0018932266215915406	0.06507112805038576	0.244639003619908	0.10825049754144357	0.0	0.004530764992239624	0.9579292411058996	1.81425579924664	0.9999978861216684	0.003310878699102018	0.3	0.2758670290221517	0.0
fixed_core_tau8	4.0	4.0	0.003461194755191106	0.00306405619037926	0.0008455093154519676	0.014093099168983027	0.17465445734539212	0.535210246180484	0.36307665361789726	0.0	0.004530746016176987	0.9035411715978351	3.74462053860903	0.9999936978615058	0.03321661761817525	0.3	0.5	0.0
fixed_core_tau16	0.5	0.5027995002427484	0.003591184141278874	1.59847869491335e-05	8.861258890890264e-07	7.234050603609252e-07	0.000926218701475182	0.011885301120221101	0.0010123286071566635	0.0	0.004530774797460271	0.9976310714557989	1.009705474988953	1.000000050259499	5.138383846636433e-08	0.3	0.0002958862568774362	0.0
fixed_core_tau16	1.0	1.001893555440725	0.003589832770586601	3.896273621649705e-05	7.215491898541942e-06	6.285728956570723e-06	0.003731659244695949	0.024490718778683064	0.004074448413323077	0.0	0.004530775093669663	0.990764411123898	1.039061792452616	1.000000115636707	3.326001927849438e-06	0.3	0.002230457400771687	0.0
fixed_core_tau16	1.5	1.500705210205471	0.003587063543307857	6.115303206522762e-05	2.4494027036311808e-05	2.3246866060569577e-05	0.008543906690426322	0.03853760753663377	0.00936025222164051	0.0	0.004530774871135597	0.9796285740021846	1.089686176550047	1.000000066520587	3.920124598078182e-05	0.3	0.007134032224706591	0.0
fixed_core_tau16	1.6	1.601132077722389	0.003586298959486134	6.532641509482355e-05	2.9772721372505854e-05	2.8651270085746835e-05	0.00977285908876528	0.04160920486634603	0.010720613422761982	0.0	0.00453077470895148	0.9768864640196412	1.102689930845147	1.000000030724474	5.838281118381582e-05	0.3	0.008577204245537626	0.0
fixed_core_tau16	1.8	1.801916095042376	0.003584537281361038	7.335875237457236e-05	4.247171269987201e-05	4.1972094908098494e-05	0.01250815768467992	0.048054550567890264	0.013766470211101675	0.0	0.004530774224810417	0.9709119297818002	1.131750321355615	0.9999999238683387	0.0001210476883940145	0.3	0.01197954113460401	0.0
fixed_core_tau16	2.0	2.00259217176324	0.003582445956328752	8.104346504475715e-05	5.829334038845029e-05	5.914656164363017e-05	0.015630051281655292	0.05495978936677606	0.01727551817834667	0.0	0.004530773491562105	0.9642927134006841	1.165120491792452	0.9999997620310411	0.0002330593242204946	0.3	0.01611045420292255	0.0
fixed_core_tau16	2.2	2.2	0.0008776141735875598	8.843095984458565e-05	7.7219381074352e-05	8.046968133292189e-05	0.01910311490755011	0.06228083057668129	0.021222632359463926	0.0	0.004530772483509569	0.9571576704952239	1.202504432239597	0.9999995395409301	0.0004189351057126477	0.3	0.02092929260253907	0.0
