# PC-GH Gauge A0 M=1; derivatives are d/d(log(r/M))
# log_r A dx_A chi dx_chi beta_r dx_beta_r K dx_K At_radial dx_At_radial h_perp dx_h_perp h_radial dx_h_radial
-1.82587802296012249e+01 2.36971833342485888e-18 5.17213350617150020e-18 8.02577664576287863e-17 1.60515532668161734e-16 6.48446824232455956e-09 6.48446821782493145e-09 3.00936506076732058e-01 -1.56380297297460343e-09 -1.35362578578041148e+00 4.68741532863902941e-09 6.01873011690205795e-01 -3.63314888791218479e-09 -3.57631886531974142e-09 -3.57631882350902633e-09
-1.82520343748365939e+01 2.40486706946425686e-18 5.24884893377540444e-18 8.13479183988213591e-17 1.62695836545339979e-16 6.52835939838433284e-09 6.52835937353662464e-09 3.00936506066143972e-01 -1.57546819974318005e-09 -1.35362578574867420e+00 4.72204239686244800e-09 6.01873011665606694e-01 -3.66023235667496023e-09 -3.60052574895650262e-09 -3.60052570655172462e-09
-1.82452885200719628e+01 2.44053712965165970e-18 5.32670220044270290e-18 8.24528780191497569e-17 1.64905755780680123e-16 6.57254763872305838e-09 6.57254761352232439e-09 3.00936506055476283e-01 -1.58714036163129024e-09 -1.35362578571670245e+00 4.75694236234606918e-09 6.01873011640822964e-01 -3.68733334364658139e-09 -3.62489648073708720e-09 -3.62489643772993518e-09
-1.82385426653073317e+01 2.47673578599229568e-18 5.40570917800983662e-18 8.35728464532933631e-17 1.67145692643538691e-16 6.61703497420298065e-09 6.61703494864420649e-09 3.00936506044730878e-01 -1.59874883073970011e-09 -1.35362578568449443e+00 4.79205935324728102e-09 6.01873011615858489e-01 -3.71433433364957214e-09 -3.64943216969371180e-09 -3.64943212607638711e-09
-1.82317968105427006e+01 2.51347188046791908e-18 5.48588916493490575e-18 8.47080275679706691e-17 1.69416054867350273e-16 6.66182342929716762e-09 6.66182340337526366e-09 3.00936506033905871e-01 -1.61060513584737729e-09 -1.35362578565204883e+00 4.82741780507398542e-09 6.01873011590709051e-01 -3.74186591401710483e-09 -3.67413393236523398e-09 -3.67413388812865376e-09
-1.82250509557780696e+01 2.55075198199680619e-18 5.56725649850081538e-18 8.58586279990488698e-17 1.71717255723846844e-16 6.70691504218165792e-09 6.70691501589146998e-09 3.00936506023000927e-01 -1.62252126106343635e-09 -1.35362578561936342e+00 4.86317334190232542e-09 6.01873011565373983e-01 -3.76954756681175248e-09 -3.69900289284799153e-09 -3.69900284798275280e-09
-1.82183051010134385e+01 2.58858620149260668e-18 5.64983324672908235e-18 8.70248571891577987e-17 1.74049714098285556e-16 6.75231186482821005e-09 6.75231183816450126e-09 3.00936506012015159e-01 -1.63449337907586200e-09 -1.35362578558643598e+00 4.89907402045013167e-09 6.01873011539851066e-01 -3.79738205225687235e-09 -3.72404018284693509e-09 -3.72404013734478384e-09
-1.82115592462488074e+01 2.62698085831814127e-18 5.73363320222432832e-18 8.82069274258144418e-17 1.76413854565697941e-16 6.79801596309768702e-09 6.79801593605515267e-09 3.00936506000948567e-01 -1.64657669432474184e-09 -1.35362578555326585e+00 4.93528075984190595e-09 6.01873011514140299e-01 -3.82544260599873859e-09 -3.74924694172716022e-09 -3.74924689557887131e-09
-1.82048133914841763e+01 2.66594577077953669e-18 5.81867779436455525e-18 8.94050538800652640e-17 1.78810107468174315e-16 6.84402941683404385e-09 6.84402938940729900e-09 3.00936505989799818e-01 -1.65875171062688695e-09 -1.35362578551984991e+00 4.97179681539213170e-09 6.01873011488238796e-01 -3.85372976662662066e-09 -3.77462431656570962e-09 -3.77462426976153017e-09
-1.81980675367195452e+01 2.70548843330431745e-18 5.90498338044380893e-18 9.06194546456539177e-17 1.81238908993199395e-16 6.89035431995900835e-09 6.89035429214259360e-09 3.00936505978569135e-01 -1.67094246114239249e-09 -1.35362578548618750e+00 5.00844824671835021e-09 6.01873011462146779e-01 -3.88206939700459643e-09 -3.80017346220382404e-09 -3.80017341473594134e-09
-1.81913216819549142e+01 2.74561705061699886e-18 5.99256786804621354e-18 9.18503507787203469e-17 1.83700701253050406e-16 6.93699278056733757e-09 6.93699275235572156e-09 3.00936505967255408e-01 -1.68337356228149098e-09 -1.35362578545227641e+00 5.04553257150562228e-09 6.01873011435861915e-01 -3.91091063925564338e-09 -3.82589554129945584e-09 -3.82589549315682620e-09
-1.81845758271902831e+01 2.78634094059062751e-18 6.08145159430743620e-18 9.30979663380394734e-17 1.86195932365274431e-16 6.98394692102276415e-09 6.98394689241032951e-09 3.00936505955857525e-01 -1.69581499803860825e-09 -1.35362578541811440e+00 5.08272488932419186e-09 6.01873011409381764e-01 -3.93981602761467544e-09 -3.85179172438018915e-09 -3.85179167555431080e-09
-1.81778299724256520e+01 2.82766853181166375e-18 6.17165295541140061e-18 9.43625284258065124e-17 1.88725056534259139e-16 7.03121887805458950e-09 7.03121884903564357e-09 3.00936505944375932e-01 -1.70827098609778249e-09 -1.35362578538370082e+00 5.12033605427999224e-09 6.01873011382706880e-01 -3.96880257029558664e-09 -3.87786318989652594e-09 -3.87786314037713027e-09
-1.81710841176610209e+01 2.86961058377927262e-18 6.26319543497857804e-18 9.56442672289759230e-17 1.91288534133910515e-16 7.07881080285488829e-09 7.07881077342364989e-09 3.00936505932809517e-01 -1.72095467172843572e-09 -1.35362578534903166e+00 5.15823752743964576e-09 6.01873011355834819e-01 -3.99823970020788367e-09 -3.90411112427547252e-09 -3.90411107405229173e-09
-1.81643382628963899e+01 2.91217312463161199e-18 6.35609218998830869e-18 9.69434160611622963e-17 1.93886831791454956e-16 7.12672486117643500e-09 7.12672483132705349e-09 3.00936505921157282e-01 -1.73365111253057885e-09 -1.35362578531410715e+00 5.19623762190043503e-09 6.01873011328763696e-01 -4.02771889595797396e-09 -3.93053672197458086e-09 -3.93053667103906356e-09
