resolution,time,axisTau,dt,C-norm2,H-norm2,M-norm2,Z-norm2,axisKret,maxAbsKret,max_abs_K,nmb_total,maxRefLev,axisLapse
n512,0.8733694700039057,0.5378883056455356,0.0029806923662704793,1.1270558014517066e-05,6.0917661437447685e-06,2.220606948714886e-06,7.285094697222781e-07,0.0005637058764685766,14.285689018527368,0.24021184304265703,44.0,1.0,0.6158794776204312
n512,0.8853184649164967,0.5452474473335884,0.0029912219356949717,1.1498316816502117e-05,6.173272990282575e-06,2.248715859354463e-06,7.57988262509622e-07,0.0005636590329309325,14.64608070442959,0.23697657800924307,44.0,1.0,0.6158796364706278
n512,0.8973084821590763,0.5526318557820117,0.0030013193535948944,1.1730547418734201e-05,6.255412783618012e-06,2.276846235159754e-06,7.884258870640903e-07,0.000563611334626,14.982446306575824,0.23362051601580688,44.0,1.0,0.6158798022511979
n512,0.9093396477602018,0.5600416087073696,0.0030116361758068884,1.196722246310698e-05,6.338079496622839e-06,2.30500580308819e-06,8.19839831735536e-07,0.0005635627869635892,15.294679447736042,0.2305154284060391,44.0,1.0,0.6158799751982273
n512,0.9214110942745504,0.5674761719691988,0.003021642498499898,1.2208284755033915e-05,6.4211435164616915e-06,2.3332075057584053e-06,8.522447415898276e-07,0.0005635134048018261,15.582685072666711,0.22733516614701654,44.0,1.0,0.6158801555386135
n512,0.9335231253364434,0.5749357326751614,0.0030317349892516623,1.2453760413076872e-05,6.504541284757842e-06,2.36146997774382e-06,8.856581535737164e-07,0.0005634631998300889,15.846434268934924,0.22404508216896651,44.0,1.0,0.6158803435218677
n512,0.9456747217416988,0.5824196632265869,0.003041643132576977,1.270372674379569e-05,6.588276932613695e-06,2.38981000604348e-06,9.200939173279107e-07,0.0005634121891946512,16.085905612657207,0.22106336119628203,44.0,1.0,0.6158805393827209
n512,0.9578662417916655,0.5899281844071508,0.003051502764367512,1.295832603112235e-05,6.672397731768955e-06,2.4182502610536897e-06,9.555698033582245e-07,0.0005633603815692401,16.301143621150022,0.21798041149025144,44.0,1.0,0.6158807433827048
n512,0.970096648871213,0.597460657902451,0.0030613066846886337,1.3217669016829048e-05,6.756933101085663e-06,2.44681520823224e-06,9.920996342664528e-07,0.0005633077860230349,16.49220316044262,0.21479767571426744,44.0,1.0,0.6158809557659437
n512,0.9823661706745029,0.605017224065715,0.00307092757469251,1.3481873490825747e-05,6.84189473905678e-06,2.4755385896889084e-06,1.0297010300672032e-06,0.0005632543992756448,16.65919536464961,0.2118768677646639,44.0,1.0,0.6158811768035967
n512,0.9946740038428902,0.6125973882484438,0.0030806221599123168,1.3750989236106711e-05,6.927234594443028e-06,2.50445730884249e-06,1.0683887173482903e-06,0.0005632002143671341,16.802249210894317,0.20892182672048204,44.0,1.0,0.6158814067537952
n512,1.0070200748135443,0.6202011052736641,0.003090000827582167,1.4025011058872715e-05,7.012835953483188e-06,2.5336119055118494e-06,1.1081799285803405e-06,0.0005631452136585108,16.921536740332694,0.20587556294356463,44.0,1.0,0.6158816458933656
n512,1.01940391719935,0.627828088035494,0.003099581796685737,1.4303886219144175e-05,7.09854427105877e-06,2.563037239999536e-06,1.14909090817751e-06,0.000563089374315769,17.01725882026229,0.2029500711647049,44.0,1.0,0.61588189449774
