selection_rank,receiver_gid,receiver_i,receiver_j,variable,offset_i,offset_j,operators,source_gid,source_i,source_j,source_status,source_rho,source_z,writer,receiver_stored_value,expected_sender_active_value,absolute_mismatch,exact_byte_equal
1,30,8,31,gamma_xy,1,-1,mixed_rho_z,30,9,30,ACTIVE,5.1484375,-0.0234375,ACTIVE_STATE,-0.005042089353441502,-0.005042089353441502,0.0,True
1,30,8,31,gamma_xy,2,-1,mixed_rho_z,30,10,30,ACTIVE,5.1640625,-0.0234375,ACTIVE_STATE,-0.0039548718164919205,-0.0039548718164919205,0.0,True
1,30,8,31,gamma_xy,3,-1,mixed_rho_z,30,11,30,ACTIVE,5.1796875,-0.0234375,ACTIVE_STATE,-0.0032471798957652807,-0.0032471798957652807,0.0,True
1,30,8,31,gamma_xy,-3,0,pure_rho,30,5,31,ACTIVE,5.0859375,-0.0078125,ACTIVE_STATE,0.0016008325218992785,0.0016008325218992785,0.0,True
1,30,8,31,gamma_xy,-2,0,pure_rho,30,6,31,ACTIVE,5.1015625,-0.0078125,ACTIVE_STATE,0.0011893459467898506,0.0011893459467898506,0.0,True
1,30,8,31,gamma_xy,-1,0,pure_rho,30,7,31,ACTIVE,5.1171875,-0.0078125,ACTIVE_STATE,-0.00016001687483737024,-0.00016001687483737024,0.0,True
1,30,8,31,gamma_xy,0,0,center;pure_rho;pure_z,30,8,31,ACTIVE,5.1328125,-0.0078125,ACTIVE_STATE,-0.002293315342462604,-0.002293315342462604,0.0,True
1,30,8,31,gamma_xy,1,0,pure_rho,30,9,31,ACTIVE,5.1484375,-0.0078125,ACTIVE_STATE,-0.0029443196680453672,-0.0029443196680453672,0.0,True
1,30,8,31,gamma_xy,2,0,pure_rho,30,10,31,ACTIVE,5.1640625,-0.0078125,ACTIVE_STATE,-0.0020261826756158476,-0.0020261826756158476,0.0,True
1,30,8,31,gamma_xy,3,0,pure_rho,30,11,31,ACTIVE,5.1796875,-0.0078125,ACTIVE_STATE,-0.0014036008319560506,-0.0014036008319560506,0.0,True
1,30,8,31,gamma_xy,-3,1,mixed_rho_z,51,5,0,SAME_LEVEL_GHOST,5.0859375,0.0078125,SAME_RANK_SAME_LEVEL_COPY,-0.0016901456079205259,-0.0016901456079205259,0.0,True
1,30,8,31,gamma_xy,-2,1,mixed_rho_z,51,6,0,SAME_LEVEL_GHOST,5.1015625,0.0078125,SAME_RANK_SAME_LEVEL_COPY,-0.0012772620100579362,-0.0012772620100579362,0.0,True
1,30,8,31,gamma_xy,-1,1,mixed_rho_z,51,7,0,SAME_LEVEL_GHOST,5.1171875,0.0078125,SAME_RANK_SAME_LEVEL_COPY,7.168086099913527e-05,7.168086099913527e-05,0.0,True
1,30,8,31,gamma_xy,0,1,pure_z,51,8,0,SAME_LEVEL_GHOST,5.1328125,0.0078125,SAME_RANK_SAME_LEVEL_COPY,0.002203105782876968,0.002203105782876968,0.0,True
1,30,8,31,gamma_xy,1,1,mixed_rho_z,51,9,0,SAME_LEVEL_GHOST,5.1484375,0.0078125,SAME_RANK_SAME_LEVEL_COPY,0.002855103403972425,0.002855103403972425,0.0,True
1,30,8,31,gamma_xy,2,1,mixed_rho_z,51,10,0,SAME_LEVEL_GHOST,5.1640625,0.0078125,SAME_RANK_SAME_LEVEL_COPY,0.0019410445612690328,0.0019410445612690328,0.0,True
1,30,8,31,gamma_xy,3,1,mixed_rho_z,51,11,0,SAME_LEVEL_GHOST,5.1796875,0.0078125,SAME_RANK_SAME_LEVEL_COPY,0.0013220620484678492,0.0013220620484678492,0.0,True
1,30,8,31,gamma_xy,-3,2,mixed_rho_z,51,5,1,SAME_LEVEL_GHOST,5.0859375,0.0234375,SAME_RANK_SAME_LEVEL_COPY,-0.0021551020568607716,-0.0021551020568607716,0.0,True
1,30,8,31,gamma_xy,-2,2,mixed_rho_z,51,6,1,SAME_LEVEL_GHOST,5.1015625,0.0234375,SAME_RANK_SAME_LEVEL_COPY,-0.001380797542858161,-0.001380797542858161,0.0,True
1,30,8,31,gamma_xy,-1,2,mixed_rho_z,51,7,1,SAME_LEVEL_GHOST,5.1171875,0.0234375,SAME_RANK_SAME_LEVEL_COPY,0.000696482520108573,0.000696482520108573,0.0,True
1,30,8,31,gamma_xy,0,2,pure_z,51,8,1,SAME_LEVEL_GHOST,5.1328125,0.0234375,SAME_RANK_SAME_LEVEL_COPY,0.0038559924978704245,0.0038559924978704245,0.0,True
1,30,8,31,gamma_xy,1,2,mixed_rho_z,51,9,1,SAME_LEVEL_GHOST,5.1484375,0.0234375,SAME_RANK_SAME_LEVEL_COPY,0.004954661766567556,0.004954661766567556,0.0,True
1,30,8,31,gamma_xy,2,2,mixed_rho_z,51,10,1,SAME_LEVEL_GHOST,5.1640625,0.0234375,SAME_RANK_SAME_LEVEL_COPY,0.003870323330330659,0.003870323330330659,0.0,True
1,30,8,31,gamma_xy,3,2,mixed_rho_z,51,11,1,SAME_LEVEL_GHOST,5.1796875,0.0234375,SAME_RANK_SAME_LEVEL_COPY,0.0031654330112217918,0.0031654330112217918,0.0,True
1,30,8,31,gamma_xy,-3,3,mixed_rho_z,51,5,2,SAME_LEVEL_GHOST,5.0859375,0.0390625,SAME_RANK_SAME_LEVEL_COPY,0.0003191843863111737,0.0003191843863111737,0.0,True
1,30,8,31,gamma_xy,-2,3,mixed_rho_z,51,6,2,SAME_LEVEL_GHOST,5.1015625,0.0390625,SAME_RANK_SAME_LEVEL_COPY,0.0009689457907832474,0.0009689457907832474,0.0,True
1,30,8,31,gamma_xy,-1,3,mixed_rho_z,51,7,2,SAME_LEVEL_GHOST,5.1171875,0.0390625,SAME_RANK_SAME_LEVEL_COPY,0.0017246139028679174,0.0017246139028679174,0.0,True
1,30,8,31,gamma_xy,0,3,pure_z,51,8,2,SAME_LEVEL_GHOST,5.1328125,0.0390625,SAME_RANK_SAME_LEVEL_COPY,0.002552450729826706,0.002552450729826706,0.0,True
1,30,8,31,gamma_xy,1,3,mixed_rho_z,51,9,2,SAME_LEVEL_GHOST,5.1484375,0.0390625,SAME_RANK_SAME_LEVEL_COPY,0.003204643544218999,0.003204643544218999,0.0,True
1,30,8,31,gamma_xy,2,3,mixed_rho_z,51,10,2,SAME_LEVEL_GHOST,5.1640625,0.0390625,SAME_RANK_SAME_LEVEL_COPY,0.0036573693052105124,0.0036573693052105124,0.0,True
1,30,8,31,gamma_xy,3,3,mixed_rho_z,51,11,2,SAME_LEVEL_GHOST,5.1796875,0.0390625,SAME_RANK_SAME_LEVEL_COPY,0.004052276945100676,0.004052276945100676,0.0,True
1,30,8,31,gamma_xz,-3,-3,mixed_rho_z,30,5,28,ACTIVE,5.0859375,-0.0546875,ACTIVE_STATE,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,-2,-3,mixed_rho_z,30,6,28,ACTIVE,5.1015625,-0.0546875,ACTIVE_STATE,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,-1,-3,mixed_rho_z,30,7,28,ACTIVE,5.1171875,-0.0546875,ACTIVE_STATE,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,0,-3,pure_z,30,8,28,ACTIVE,5.1328125,-0.0546875,ACTIVE_STATE,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,1,-3,mixed_rho_z,30,9,28,ACTIVE,5.1484375,-0.0546875,ACTIVE_STATE,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,2,-3,mixed_rho_z,30,10,28,ACTIVE,5.1640625,-0.0546875,ACTIVE_STATE,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,3,-3,mixed_rho_z,30,11,28,ACTIVE,5.1796875,-0.0546875,ACTIVE_STATE,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,-3,-2,mixed_rho_z,30,5,29,ACTIVE,5.0859375,-0.0390625,ACTIVE_STATE,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,-2,-2,mixed_rho_z,30,6,29,ACTIVE,5.1015625,-0.0390625,ACTIVE_STATE,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,-1,-2,mixed_rho_z,30,7,29,ACTIVE,5.1171875,-0.0390625,ACTIVE_STATE,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,0,-2,pure_z,30,8,29,ACTIVE,5.1328125,-0.0390625,ACTIVE_STATE,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,1,-2,mixed_rho_z,30,9,29,ACTIVE,5.1484375,-0.0390625,ACTIVE_STATE,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,2,-2,mixed_rho_z,30,10,29,ACTIVE,5.1640625,-0.0390625,ACTIVE_STATE,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,3,-2,mixed_rho_z,30,11,29,ACTIVE,5.1796875,-0.0390625,ACTIVE_STATE,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,-3,-1,mixed_rho_z,30,5,30,ACTIVE,5.0859375,-0.0234375,ACTIVE_STATE,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,-2,-1,mixed_rho_z,30,6,30,ACTIVE,5.1015625,-0.0234375,ACTIVE_STATE,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,-1,-1,mixed_rho_z,30,7,30,ACTIVE,5.1171875,-0.0234375,ACTIVE_STATE,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,0,-1,pure_z,30,8,30,ACTIVE,5.1328125,-0.0234375,ACTIVE_STATE,0.0,0.0,0.0,True
