axis_tau,region,family,variable,observed_order_rms,difference_128_256_rms,difference_256_512_rms,worst_rho,worst_z,N128_value,N256_value,N512_value,worst_abs_difference_256_512
0.75,axis_core_r8,rhs,rhs_z4c_By,-1.76544658431369,2.43741228789953e-06,8.286695369431807e-06,0.0,4.0,0.019959647093052327,0.0199566643129792,0.019946546855475873,1.0117457503327348e-05
0.75,axis_core_r8,constraints,con_C,-0.6276825683642688,5.169113332262699e-12,7.986699326749955e-12,0.0,-5.5,4.081083884616478e-10,4.082313041919287e-10,3.7631671375602055e-10,3.191459043590818e-11
0.75,outer_layer_0,rhs,rhs_z4c_By,-1.7114969742124644,5.040007048819893e-07,1.6506046740096961e-06,0.125,16.0,0.0059776442347911985,0.005978497132095585,0.005976275349902273,2.2217821933120246e-06
0.75,outer_layer_0,rhs,rhs_z4c_Bx,-0.8822859695943975,8.790615216547173e-07,1.6203685753775912e-06,16.0,-6.375,0.00557807782566943,0.005578255339785521,0.005575899898796404,2.355440989116643e-06
0.75,outer_layer_0,constraints,con_Z,-0.39120602722824394,3.674267897172791e-11,4.8187629992108806e-11,16.0,0.0,2.3332790614607964e-09,2.2217193410657987e-09,2.075155651075669e-09,1.4656368999012973e-10
0.75,outer_layer_0,constraints,con_M,-0.056019839964995315,8.791125805373338e-12,9.139199280853541e-12,16.0,0.0,9.418654093394433e-10,9.143053434093634e-10,8.85790769342375e-10,2.85145740669884e-11
0.75,outer_layer_0,rhs,rhs_z4c_Theta,-0.054600744117172986,1.209159679002495e-06,1.255798958095556e-06,16.0,0.0,1.1604135242130206e-05,8.590546646006568e-06,5.437696091658055e-06,3.1528505543485133e-06
0.75,outer_layer_1,rhs,rhs_z4c_Axx,-3.8455888928214246,1.0162825710333014e-07,1.4610062888482385e-06,15.875,0.0,-2.3721964659084785e-05,-2.366455700791359e-05,-2.7774908757976902e-05,4.110351750063311e-06
0.75,outer_layer_1,rhs,rhs_z4c_Ayy,-3.156618097874307,1.3240718567047183e-07,1.1807237171938396e-06,0.0,-15.875,-2.2114837282814328e-05,-2.226551892038562e-05,-2.4430835264461805e-05,2.1653163440761858e-06
0.75,outer_layer_1,rhs,rhs_z4c_Azz,-3.0759813843827013,9.630087552004798e-08,8.120689370409811e-07,15.875,0.0,1.2317549385696918e-05,1.2096923774109669e-05,1.405777602552156e-05,1.9608522514118916e-06
0.75,outer_layer_1,state,state_z4c_Ayy,-2.4137774199812325,1.5302886193883982e-07,8.15441396054334e-07,15.875,0.0,2.6663784438141344e-05,2.63445995967654e-05,2.783399043218668e-05,1.4893908354212799e-06
0.75,outer_layer_1,state,state_z4c_Axx,-1.9638388238793292,2.619484457782513e-07,1.0218572219011565e-06,15.875,0.0,-5.3781805929287654e-05,-5.29523600335426e-05,-5.583803109679504e-05,2.8856710632524352e-06
0.75,outer_layer_1,rhs,rhs_z4c_By,-1.927049219875876,4.4555577838782384e-07,1.6943444276355548e-06,0.0,15.875,0.006055995300694916,0.006056639543832954,0.0060542975421358225,2.342001697131814e-06
0.75,outer_layer_1,state,state_z4c_Azz,-1.7753229883389599,1.6646446141570226e-07,5.698322194392123e-07,15.875,0.0,2.711209363293303e-05,2.660200927944272e-05,2.799800752762295e-05,1.3959982481802294e-06
0.75,outer_layer_1,rhs,rhs_z4c_Bx,-1.1498370212179445,7.552188695397276e-07,1.6757462878671995e-06,15.875,5.625,0.0059416874420682875,0.005941999180925614,0.005939553749773021,2.4454311525930195e-06
1.0,outer_layer_0,rhs,rhs_z4c_Ayy,-2.0227201071703074,2.107473237920085e-07,8.563700958365725e-07,16.0,0.0,7.563992240116322e-06,7.049089401307261e-06,8.622291391989829e-06,1.5732019906825674e-06
1.0,outer_layer_0,rhs,rhs_z4c_Axx,-1.121922358513099,4.727884594432113e-07,1.0289615579051587e-06,16.0,0.0,-1.6501452546637486e-05,-1.493126711809415e-05,-1.7798019765152793e-05,2.8667526470586427e-06
