resolution,transfer_order,variable,mode,k_over_nyquist,power
16,6,betaz,4,0.5,8.785019488074633e-14
16,6,betaz,5,0.625,2.0453486919344963e-13
16,6,betaz,6,0.75,2.2508919478552174e-12
16,6,betaz,7,0.875,6.525652590305465e-13
16,6,betaz,8,1.0,2.007665172076521e-13
16,6,Bx,0,0.0,0.0
16,6,Bx,1,0.125,6.4479511884236445e-15
16,6,Bx,2,0.25,8.743880791552441e-14
16,6,Bx,3,0.375,4.3985440023309134e-14
16,6,Bx,4,0.5,6.129466639668658e-14
16,6,Bx,5,0.625,1.5670547531998385e-13
16,6,Bx,6,0.75,2.040776428804875e-12
16,6,Bx,7,0.875,8.828240563508678e-13
16,6,Bx,8,1.0,2.0252062806137314e-13
16,6,By,0,0.0,0.0
16,6,By,1,0.125,2.783659410455313e-15
16,6,By,2,0.25,1.1335795491769181e-13
16,6,By,3,0.375,2.3373800328729512e-14
16,6,By,4,0.5,3.600338256658027e-14
16,6,By,5,0.625,1.1098780615929186e-13
16,6,By,6,0.75,1.8373177124455406e-12
16,6,By,7,0.875,1.118060898287954e-12
16,6,By,8,1.0,1.9204658223331885e-13
16,6,Bz,0,0.0,0.0
16,6,Bz,1,0.125,6.062044728666129e-16
16,6,Bz,2,0.25,1.351594910051559e-13
16,6,Bz,3,0.375,7.750995445597176e-15
16,6,Bz,4,0.5,1.7048353556940182e-14
16,6,Bz,5,0.625,7.673336535141384e-14
16,6,Bz,6,0.75,1.6835096174315189e-12
16,6,Bz,7,0.875,1.3032131762669762e-12
16,6,Bz,8,1.0,1.7702610393863217e-13
32,4,chi,0,0.0,0.0
32,4,chi,1,0.0625,1.3004606997600121e-10
32,4,chi,2,0.125,1.4265578957214811e-09
32,4,chi,3,0.1875,3.0635198070638656e-11
32,4,chi,4,0.25,1.9838413211351837e-11
32,4,chi,5,0.3125,1.8407584990023012e-11
32,4,chi,6,0.375,1.9171840241943685e-11
32,4,chi,7,0.4375,2.1319391340170005e-11
32,4,chi,8,0.5,2.5011514043876187e-11
32,4,chi,9,0.5625,3.098715367599453e-11
32,4,chi,10,0.625,4.098676875301483e-11
32,4,chi,11,0.6875,5.941086669680912e-11
32,4,chi,12,0.75,9.986928020281291e-11
32,4,chi,13,0.8125,2.281843569123168e-10
32,4,chi,14,0.875,1.6897534190943642e-09
32,4,chi,15,0.9375,3.4493976229045424e-10
32,4,chi,16,1.0,4.2340741652466846e-11
32,4,gxx,0,0.0,0.0
32,4,gxx,1,0.0625,3.7785639767892476e-10
32,4,gxx,2,0.125,4.8166811825509066e-09
32,4,gxx,3,0.1875,3.8522359675254564e-11
32,4,gxx,4,0.25,1.509890352948154e-11
32,4,gxx,5,0.3125,1.0740090211473679e-11
32,4,gxx,6,0.375,9.6497350161103e-12
32,4,gxx,7,0.4375,9.914398927121269e-12
32,4,gxx,8,0.5,1.1245087099753276e-11
32,4,gxx,9,0.5625,1.3989087286602947e-11
32,4,gxx,10,0.625,1.9309342551514683e-11
32,4,gxx,11,0.6875,3.054093216956371e-11
32,4,gxx,12,0.75,5.982587743508503e-11
32,4,gxx,13,0.8125,1.7686661333858755e-10
32,4,gxx,14,0.875,2.0330456897803626e-09
32,4,gxx,15,0.9375,8.544941358294839e-10
32,4,gxx,16,1.0,1.0034955593161627e-09
32,4,gxy,0,0.0,0.0
32,4,gxy,1,0.0625,1.567277753836395e-10
32,4,gxy,2,0.125,3.868659159966781e-09
32,4,gxy,3,0.1875,5.652877519365292e-11
32,4,gxy,4,0.25,3.2487624188620225e-11
32,4,gxy,5,0.3125,2.8642446566817253e-11
32,4,gxy,6,0.375,2.9063657450418347e-11
32,4,gxy,7,0.4375,3.182150580313383e-11
32,4,gxy,8,0.5,3.691860203779287e-11
32,4,gxy,9,0.5625,4.534588641887398e-11
32,4,gxy,10,0.625,5.9562057800756e-11
32,4,gxy,11,0.6875,8.562225252849117e-11
32,4,gxy,12,0.75,1.4212230503269344e-10
32,4,gxy,13,0.8125,3.174051203747259e-10
32,4,gxy,14,0.875,2.2013013750154437e-09
32,4,gxy,15,0.9375,2.471490859337439e-10
32,4,gxy,16,1.0,1.1047347534203725e-10
32,4,gxz,0,0.0,0.0
32,4,gxz,1,0.0625,1.8621215854869528e-10
32,4,gxz,2,0.125,2.248146360195489e-09
32,4,gxz,3,0.1875,2.4906985532992418e-11
32,4,gxz,4,0.25,1.161757900135394e-11
32,4,gxz,5,0.3125,9.112870694657104e-12
32,4,gxz,6,0.375,8.640276964799205e-12
32,4,gxz,7,0.4375,9.093438187710793e-12
32,4,gxz,8,0.5,1.0325448155019118e-11
32,4,gxz,9,0.5625,1.258707430214912e-11
32,4,gxz,10,0.625,1.6634421740622515e-11
32,4,gxz,11,0.6875,2.4457094758335677e-11
32,4,gxz,12,0.75,4.266595893739007e-11
32,4,gxz,13,0.8125,1.0606044742769331e-10
32,4,gxz,14,0.875,9.585544050101791e-10
32,4,gxz,15,0.9375,4.6052777785271037e-10
32,4,gxz,16,1.0,1.921901528691964e-10
32,4,gyy,0,0.0,0.0
32,4,gyy,1,0.0625,1.9583824029922717e-10
32,4,gyy,2,0.125,2.7633257944394323e-09
32,4,gyy,3,0.1875,3.9636311683681045e-12
32,4,gyy,4,0.25,4.848556718168918e-13
32,4,gyy,5,0.3125,7.638353329403568e-13
32,4,gyy,6,0.375,1.3519231098659006e-12
32,4,gyy,7,0.4375,2.1661164881650173e-12
32,4,gyy,8,0.5,3.4145340925455783e-12
32,4,gyy,9,0.5625,5.5832232813475405e-12
32,4,gyy,10,0.625,9.881791956303177e-12
32,4,gyy,11,0.6875,1.9880725621989936e-11
32,4,gyy,12,0.75,4.932530952818759e-11
32,4,gyy,13,0.8125,1.844628774440752e-10
32,4,gyy,14,0.875,2.698983325687234e-09
32,4,gyy,15,0.9375,1.716946648994568e-09
32,4,gyy,16,1.0,1.305193951238748e-09
32,4,gyz,0,0.0,0.0
32,4,gyz,1,0.0625,4.656644498121022e-11
32,4,gyz,2,0.125,7.59977626290096e-10
32,4,gyz,3,0.1875,4.295871676944348e-12
32,4,gyz,4,0.25,5.4909804103161345e-12
32,4,gyz,5,0.3125,6.667593324911781e-12
32,4,gyz,6,0.375,7.953130474902148e-12
32,4,gyz,7,0.4375,9.596100478042732e-12
32,4,gyz,8,0.5,1.1921313070234324e-11
32,4,gyz,9,0.5625,1.5496447648234733e-11
32,4,gyz,10,0.625,2.153568235254443e-11
32,4,gyz,11,0.6875,3.3128132426462626e-11
32,4,gyz,12,0.75,6.054578346037992e-11
32,4,gyz,13,0.8125,1.5934455101481994e-10
32,4,gyz,14,0.875,1.5737756453476649e-09
32,4,gyz,15,0.9375,7.408737700659444e-10
32,4,gyz,16,1.0,3.189435520252431e-10
32,4,gzz,0,0.0,0.0
32,4,gzz,1,0.0625,1.2677759622961907e-10
32,4,gzz,2,0.125,1.6020878075097587e-09
32,4,gzz,3,0.1875,2.603565379558208e-11
32,4,gzz,4,0.25,1.5857559733806995e-11
32,4,gzz,5,0.3125,1.43879025826524e-11
32,4,gzz,6,0.375,1.48257031166492e-11
32,4,gzz,7,0.4375,1.638788304187135e-11
32,4,gzz,8,0.5,1.914507687633719e-11
32,4,gzz,9,0.5625,2.364052420654452e-11
