resolution,transfer_order,category,variable,count,rms,linf,order_from_previous
16,4,interface_face,gyy,129,1.558734635145545e-05,7.550362624571369e-05,
16,4,interface_face,gyz,129,9.93957073032331e-06,5.557942138483159e-05,
16,4,interface_face,gzz,129,9.505511285121359e-06,3.9620462646573155e-05,
16,4,interface_layer_0,Axx,27,0.0006168147183192532,0.0013627701677238814,
16,4,interface_layer_0,Axy,27,0.001044258609275879,0.0020697764096407807,
16,4,interface_layer_0,Axz,27,0.0009167620644741156,0.002306730385075885,
16,4,interface_layer_0,Ayy,27,0.0011573804974533252,0.002121063000011917,
16,4,interface_layer_0,Ayz,27,0.0008906541485923484,0.0022959778503471536,
16,4,interface_layer_0,Azz,27,0.0007885570927692363,0.0020318002545797165,
16,4,interface_layer_0,Bx,27,3.110257501512892e-07,7.592291092787065e-07,
16,4,interface_layer_0,By,27,3.0755287887673377e-07,7.640373399019703e-07,
16,4,interface_layer_0,Bz,27,3.049411347597014e-07,7.443560371941331e-07,
16,4,interface_layer_0,Gamx,27,0.0019876994138099072,0.005087231765768125,
16,4,interface_layer_0,Gamy,27,0.002316156611450115,0.006096410721843472,
16,4,interface_layer_0,Gamz,27,0.0018407284792027788,0.0050165594149524945,
16,4,interface_layer_0,Khat,27,0.0018652485574148713,0.003996978709757625,
16,4,interface_layer_0,Theta,27,0.001206775976705839,0.0032165496715913493,
16,4,interface_layer_0,alpha,27,3.2000434582265184e-07,6.445827825984907e-07,
16,4,interface_layer_0,betax,27,3.1885124849025865e-07,7.45960671875573e-07,
16,4,interface_layer_0,betay,27,3.17025947347934e-07,8.012549948493877e-07,
16,4,interface_layer_0,betaz,27,3.143765266834661e-07,8.056726693137776e-07,
16,4,interface_layer_0,chi,27,2.143040977142009e-05,4.023629659926178e-05,
16,4,interface_layer_0,gxx,27,2.6528566156106792e-05,6.184066089201209e-05,
16,4,interface_layer_0,gxy,27,2.8811561107410348e-05,6.703411970930529e-05,
16,4,interface_layer_0,gxz,27,1.4148633162379591e-05,4.4187174379570614e-05,
16,4,interface_layer_0,gyy,27,3.806769124619715e-05,7.550362624571369e-05,
16,4,interface_layer_0,gyz,27,2.796967894070432e-05,5.557942138483159e-05,
16,4,interface_layer_0,gzz,27,2.031070464537148e-05,3.9620462646573155e-05,
16,4,interface_layer_1,Axx,27,0.0004783331199961429,0.0013428484128290784,
16,4,interface_layer_1,Axy,27,0.00042886556256956185,0.0009085735444868755,
16,4,interface_layer_1,Axz,27,0.0002512593463025178,0.0007642427922781633,
16,4,interface_layer_1,Ayy,27,0.0002629381692145422,0.0006446482679278631,
16,4,interface_layer_1,Ayz,27,0.00025708074467230296,0.0007600975296883595,
16,4,interface_layer_1,Azz,27,0.00022491222223012343,0.000697497457616332,
16,4,interface_layer_1,Bx,27,8.123284451090637e-08,2.443164960494221e-07,
16,4,interface_layer_1,By,27,8.132115002855498e-08,2.496046366700418e-07,
