resolution,time,axisTau,region,field,norm2,proper_volume,weighted,magnitude,weighted_rho,weighted_z,magnitude_rho,magnitude_z
n256,2.2528137941239863,1.387509142391019,R14,Z,1.7462000146145977e-05,25189.11941901332,1.467564691544064e-07,0.00038223443273604287,8.0,-0.125,8.0,0.0
n256,2.2528137941239863,1.387509142391019,full,C,0.00012990249089442606,14290306.276606835,7.886889656105488e-07,0.0009717407810890914,8.0,-0.125,4.75,-0.0625
n256,2.2528137941239863,1.387509142391019,full,H,3.0175387503831447e-05,14290306.276606835,3.233417376541619e-07,0.000724454817827791,4.75,-0.0625,4.75,-0.0625
n256,2.2528137941239863,1.387509142391019,full,M,2.2662296331060595e-05,14290306.276606835,1.7715653810909683e-07,0.0005153875183933892,8.0,-0.75,4.8125,-0.0625
n256,2.2528137941239863,1.387509142391019,full,Z,1.7462116210789838e-05,14290306.276606835,1.467564691544064e-07,0.00038223443273604287,8.0,-0.125,8.0,0.0
n256,2.2528137941239863,1.387509142391019,shell_0_4,C,1.2160495197875166e-06,1083.0576716935886,8.079327196673181e-09,0.00022988453664666477,3.6875,-0.0625,4.0,0.0
n256,2.2528137941239863,1.387509142391019,shell_0_4,H,1.779256599284389e-07,1083.0576716935886,6.261001175451841e-09,0.00019714482186827809,3.9375,0.125,4.0,0.0
n256,2.2528137941239863,1.387509142391019,shell_0_4,M,1.523157858932537e-07,1083.0576716935886,1.275657586218804e-09,7.029481558462482e-05,3.75,-0.5,4.0,0.0
n256,2.2528137941239863,1.387509142391019,shell_0_4,Z,1.9704755976664568e-07,1083.0576716935886,1.4459844940312955e-09,5.802170817400868e-05,3.6875,-0.0625,3.6875,0.0
n256,2.2528137941239863,1.387509142391019,shell_4_8,C,0.00010968970179861452,5790.497474176856,5.817548549899907e-07,0.0009717407810890914,4.75,-0.0625,4.75,-0.0625
n256,2.2528137941239863,1.387509142391019,shell_4_8,H,2.7123114783252708e-05,5790.497474176856,3.233417376541619e-07,0.000724454817827791,4.75,-0.0625,4.75,-0.0625
n256,2.2528137941239863,1.387509142391019,shell_4_8,M,1.867064021377281e-05,5790.497474176856,1.6604893060061782e-07,0.0005153875183933892,4.8125,-0.0625,4.8125,-0.0625
n256,2.2528137941239863,1.387509142391019,shell_4_8,Z,1.4449164759847343e-05,5790.497474176856,7.624817502357873e-08,0.00038223443273604287,8.0,0.0,8.0,0.0
n256,2.2528137941239863,1.387509142391019,shell_8_12,C,1.899361885047271e-05,10678.589871954166,7.886889656105488e-07,0.0008693959885225921,8.0,-0.125,8.0,-0.125
n256,2.2528137941239863,1.387509142391019,shell_8_12,H,2.8717656425965503e-06,10678.589871954166,1.4448555946987565e-07,0.0004502900701481849,8.0,-0.125,8.0,-0.0625
n256,2.2528137941239863,1.387509142391019,shell_8_12,M,3.8392947935190515e-06,10678.589871954166,1.7715653810909683e-07,0.0004917036824598803,8.0,-0.75,8.0,-0.6875
n256,2.2528137941239863,1.387509142391019,shell_8_12,Z,2.815787826515983e-06,10678.589871954166,1.467564691544064e-07,0.0003750277262476401,8.0,-0.125,8.0,-0.125
n256,2.2528137941239863,1.387509142391019,shell_12_16,C,2.4183901535826974e-16,17051.540151610596,2.1250265853532762e-18,9.316739494295537e-10,15.5,-0.25,15.5,0.0
n256,2.2528137941239863,1.387509142391019,shell_12_16,H,1.024289397532296e-16,17051.540151610596,2.0918152078022973e-18,9.244240373185164e-10,15.5,-0.25,15.5,0.0
n256,2.2528137941239863,1.387509142391019,shell_12_16,M,3.141873765254892e-17,17051.540151610596,1.3587269926454403e-19,2.937350655163054e-10,12.125,-0.125,12.0,0.625
n256,2.2528137941239863,1.387509142391019,shell_12_16,Z,1.731886025058888e-17,17051.540151610596,4.407141178042891e-20,1.419024198464359e-10,11.625,-3.0,11.625,-3.0
n256,2.2528137941239863,1.387509142391019,shell_16_32,C,4.957939421593133e-15,164285.14152151358,7.770447202052324e-18,1.6998675562456711e-09,17.5,-0.125,17.5,-0.125
n256,2.2528137941239863,1.387509142391019,shell_16_32,H,3.865577641911479e-15,164285.14152151358,7.398534374555718e-18,1.658688852934631e-09,17.5,-0.125,17.5,-0.125
n256,2.2528137941239863,1.387509142391019,shell_16_32,M,2.1223882905061706e-17,164285.14152151358,1.6423793211020568e-19,2.5007281286658485e-10,16.75,-0.125,16.75,-0.125
n256,2.2528137941239863,1.387509142391019,shell_16_32,Z,4.964984027468131e-17,164285.14152151358,2.3483649557403223e-19,1.8982219495254372e-10,24.0,0.25,24.0,0.0
n256,2.2528137941239863,1.387509142391019,shell_32_64,C,6.265043705431317e-16,1125170.764177965,8.229288227230289e-19,6.4077062543323e-10,33.5,-0.25,0.0,32.75
n256,2.2528137941239863,1.387509142391019,shell_32_64,H,4.159663879662818e-16,1125170.764177965,6.563639223529508e-19,6.355366233279369e-10,33.5,-0.25,0.0,32.75
n256,2.2528137941239863,1.387509142391019,shell_32_64,M,5.7764538350439625e-18,1125170.764177965,9.496064364116408e-20,1.8014093784694131e-10,23.625,-23.875,23.625,-23.875
n256,2.2528137941239863,1.387509142391019,shell_32_64,Z,7.828311632240363e-18,1125170.764177965,7.143060503694657e-20,4.2203477584496824e-11,48.0,-0.5,23.75,-24.0
n256,2.2528137941239863,1.387509142391019,shell_64_120,C,2.602558590735848e-16,6674475.29463721,7.428762359566731e-19,1.2344678219939991e-10,65.5,-1.0,0.0,65.5
n256,2.2528137941239863,1.387509142391019,shell_64_120,H,2.411846948446973e-16,6674475.29463721,7.273941438775786e-19,1.2280938765929506e-10,65.5,-1.0,0.0,65.5
n256,2.2528137941239863,1.387509142391019,shell_64_120,M,3.9304191098977523e-19,6674475.29463721,4.3648517496222035e-21,1.4461764730112517e-11,47.25,-47.75,47.25,-47.75
n256,2.2528137941239863,1.387509142391019,shell_64_120,Z,7.922045545287178e-19,6674475.29463721,1.2861844719900619e-20,6.273958575346914e-12,96.0,2.0,96.0,0.0
n256,2.2528137941239863,1.387509142391019,shell_gt_120,C,3.1207194647929012e-09,6291771.391100715,3.153665782267418e-11,2.715684642410078e-07,128.0,1.0,128.0,0.0
n256,2.2528137941239863,1.387509142391019,shell_gt_120,H,2.581413428589518e-09,6291771.391100715,2.954213071184138e-11,2.628433719564782e-07,128.0,1.0,128.0,0.0
n256,2.2528137941239863,1.387509142391019,shell_gt_120,M,4.5537816666952294e-11,6291771.391100715,1.292705900448727e-13,1.61845757440663e-08,127.0,1.0,128.0,0.0
n256,2.2528137941239863,1.387509142391019,shell_gt_120,Z,1.160645842917736e-10,6291771.391100715,4.373450839585259e-13,3.197495051719437e-08,128.0,1.0,128.0,0.0
n256,2.5002524330555738,1.5399355241846155,R4,C,1.7480992288982187e-06,1080.958589476397,3.923953331568344e-08,0.0003761960175637576,3.9375,-0.0625,4.0,0.0
n256,2.5002524330555738,1.5399355241846155,R4,H,4.631602979569767e-07,1080.958589476397,2.5141225306462994e-08,0.00027511961525306106,3.9375,-0.0625,4.0,0.0
n256,2.5002524330555738,1.5399355241846155,R4,M,2.016962042498944e-07,1080.958589476397,5.177149583664743e-09,0.00014011179550657476,3.9375,-0.0625,4.0,0.0
