resolution,time,axisTau,region,field,norm2,proper_volume,weighted,magnitude,weighted_rho,weighted_z,magnitude_rho,magnitude_z,fraction_of_full
n128,0.5072046568982707,0.3123754969434922,shell_4_8,H,0.020483502787450075,5746.959271689271,0.0007805243397255606,0.01945190690457821,5.75,-0.125,5.375,0.0,0.9955363107077415
n128,0.5072046568982707,0.3123754969434922,shell_4_8,M,0.004017958896497837,5746.959271689271,0.000206014368218862,0.009675821889189239,5.125,-0.125,5.125,-0.125,0.9985604257416787
n128,0.5072046568982707,0.3123754969434922,shell_4_8,Z,0.0023486568284655017,5746.959271689271,3.507358406756958e-05,0.0041115396158823495,4.75,-0.25,4.75,-0.25,0.9843711332381676
n128,0.5072046568982707,0.3123754969434922,shell_8_12,C,7.163317003682713e-07,10643.923101481632,4.2673267827329806e-08,0.0001419344669535862,8.25,-0.25,8.0,-0.125,2.0337866948630034e-05
n128,0.5072046568982707,0.3123754969434922,shell_8_12,H,2.167329504569119e-07,10643.923101481632,2.8922075105607916e-08,6.873977690702304e-05,8.25,-0.25,8.25,0.0,1.0533624260733081e-05
n128,0.5072046568982707,0.3123754969434922,shell_8_12,M,9.667391641013977e-08,10643.923101481632,1.0237596532605262e-08,3.4499752350260504e-05,8.25,-0.75,8.25,-0.75,2.4025817489762513e-05
n128,0.5072046568982707,0.3123754969434922,shell_8_12,Z,8.377152304669807e-08,10643.923101481632,4.948690751142652e-09,6.745283143934668e-05,8.0,-0.125,8.0,-0.125,3.5110395045853635e-05
n128,0.5072046568982707,0.3123754969434922,shell_12_16,C,5.243862374052285e-14,17081.776613129103,6.858497219477073e-15,2.6987790098375157e-08,15.75,-0.5,15.75,0.0,1.488821103485628e-12
n128,0.5072046568982707,0.3123754969434922,shell_12_16,H,4.942031047775361e-14,17081.776613129103,6.6161950835437594e-15,2.650894970201989e-08,15.75,-0.5,15.75,0.0,2.4019189529047676e-12
n128,0.5072046568982707,0.3123754969434922,shell_12_16,M,2.6794944989956405e-15,17081.776613129103,2.2486220436629854e-16,4.877202968720446e-09,15.75,-0.5,15.75,0.0,6.659194970913543e-13
n128,0.5072046568982707,0.3123754969434922,shell_12_16,Z,4.1833849499992894e-17,17081.776613129103,2.884821333074807e-18,5.506535793936293e-10,15.75,0.5,15.75,0.0,1.7533440109651093e-14
n128,0.5072046568982707,0.3123754969434922,shell_16_32,C,3.418484341953052e-12,164089.88574347337,6.131554013652662e-14,8.00385684342611e-08,16.25,0.5,16.25,0.0,9.705654472205142e-11
n128,0.5072046568982707,0.3123754969434922,shell_16_32,H,3.405209318876801e-12,164089.88574347337,6.114291998148224e-14,7.992606754214648e-08,16.25,0.5,16.25,0.0,1.6549950258406185e-10
n128,0.5072046568982707,0.3123754969434922,shell_16_32,M,6.639047340331978e-15,164089.88574347337,1.021794055396432e-16,4.429041793666432e-09,16.25,0.5,16.0,-0.25,1.6499645988064995e-12
n128,0.5072046568982707,0.3123754969434922,shell_16_32,Z,8.98347447796588e-17,164089.88574347337,1.3396397617290316e-18,5.110762675695676e-10,16.0,-0.25,16.0,-0.25,3.765161791673526e-14
n128,0.5072046568982707,0.3123754969434922,shell_32_64,C,7.669853781198599e-14,1123913.4807931683,6.341678978368774e-16,3.328855472073297e-09,33.0,-0.5,32.0,-0.5,2.1776010420489454e-12
n128,0.5072046568982707,0.3123754969434922,shell_32_64,H,6.842164350787583e-14,1123913.4807931683,5.707063938142903e-16,3.141579218990387e-09,33.0,-0.5,32.0,-0.5,3.3254190583128566e-12
n128,0.5072046568982707,0.3123754969434922,shell_32_64,M,1.8305456586940164e-15,1123913.4807931683,3.6575429745656784e-17,1.0669260114985355e-09,32.0,1.0,32.0,1.0,4.54935080067229e-13
n128,0.5072046568982707,0.3123754969434922,shell_32_64,Z,2.1423224762675583e-18,1123913.4807931683,1.8075837096274934e-20,2.371749185057436e-11,32.0,-0.5,32.0,-0.5,8.978920965234873e-16
n128,0.5072046568982707,0.3123754969434922,shell_64_120,C,2.2076580588498067e-14,6664779.7246050285,2.481913373769602e-16,7.625993759876052e-10,65.0,-2.0,0.0,65.0,6.26791413054529e-13
n128,0.5072046568982707,0.3123754969434922,shell_64_120,H,1.8710989011590205e-14,6664779.7246050285,2.1654114292654627e-16,7.041570659893637e-10,65.0,-2.0,0.0,65.0,9.093888464088459e-13
n128,0.5072046568982707,0.3123754969434922,shell_64_120,M,2.856068496920186e-16,6664779.7246050285,5.755941626012983e-18,1.590611922205575e-10,64.0,-2.0,64.0,-2.0,7.098024264802362e-14
n128,0.5072046568982707,0.3123754969434922,shell_64_120,Z,1.8835807106286557e-20,6664779.7246050285,9.83058037253793e-23,9.562372501964542e-13,64.0,2.0,2.0,-64.0,7.894480182013178e-18
n128,0.5072046568982707,0.3123754969434922,shell_gt_120,C,1.465760827650043e-08,6302914.691422233,3.489307909342579e-10,4.5209477672412787e-07,128.0,-2.0,128.0,0.0,4.1615425753089867e-07
n128,0.5072046568982707,0.3123754969434922,shell_gt_120,H,1.4621328952521416e-08,6302914.691422233,3.4853587283491564e-10,4.5183904262557917e-07,128.0,-2.0,128.0,0.0,7.106237655776205e-07
n128,0.5072046568982707,0.3123754969434922,shell_gt_120,M,1.9778444279678924e-11,6302914.691422233,3.2199902529687987e-13,1.3729123264771525e-08,128.0,-2.0,128.0,0.0,4.915424037224191e-09
n128,0.5072046568982707,0.3123754969434922,shell_gt_120,Z,9.45173481983805e-13,6302914.691422233,1.1686232380800498e-14,2.6145372182676195e-09,128.0,-2.0,128.0,0.0,3.961419481512512e-10
n128,0.7608055358204662,0.4685625622416315,shell_0_4,C,0.00020749148245918143,1118.952430349422,1.167726705174759e-05,0.003508833371994642,3.875,-0.125,4.0,0.0,0.01335154875214388
n128,0.7608055358204662,0.4685625622416315,shell_0_4,H,1.1533273673820532e-05,1118.952430349422,9.367356292022915e-07,0.0014424422988668084,4.0,0.0,4.0,0.0,0.0028834114796783793
n128,0.7608055358204662,0.4685625622416315,shell_0_4,M,1.3015274994629081e-05,1118.952430349422,6.893364989147279e-07,0.001237387050771341,4.0,0.0,4.0,0.0,0.002279494947304362
n128,0.7608055358204662,0.4685625622416315,shell_0_4,Z,4.337642159138864e-05,1118.952430349422,2.5319053862048584e-06,0.001439224332741965,3.875,-0.125,4.0,0.0,0.041497651629870055
n128,0.7608055358204662,0.4685625622416315,shell_4_8,C,0.015331339634915371,5757.840157564701,0.00040763129989203296,0.012714609166477594,5.375,-0.125,5.375,-0.125,0.9865326814632845
n128,0.7608055358204662,0.4685625622416315,shell_4_8,H,0.003987718659852402,5757.840157564701,0.00014273040462303593,0.010271551087498665,5.0,-0.25,5.0,0.0,0.99696184160149
n128,0.7608055358204662,0.4685625622416315,shell_4_8,M,0.005696521501084196,5757.840157564701,0.00026963648943955385,0.010340905875505773,5.375,-0.125,5.375,-0.125,0.9976886377191868
n128,0.7608055358204662,0.4685625622416315,shell_4_8,Z,0.0010016949681165203,5757.840157564701,8.050040225883018e-06,0.0018866944199027716,4.75,-0.375,4.75,-0.375,0.958308392007733
n128,0.7608055358204662,0.4685625622416315,shell_8_12,C,1.7842220725482722e-06,10643.858549617591,8.094328145961151e-08,0.00019758695209652838,8.25,-0.25,8.0,-0.125,0.00011481014885016225
n128,0.7608055358204662,0.4685625622416315,shell_8_12,H,6.041335534134207e-07,10643.858549617591,6.097996770683428e-08,0.00010019154433393851,8.25,-0.25,8.25,0.0,0.00015103826306708132
n128,0.7608055358204662,0.4685625622416315,shell_8_12,M,1.8191997896680119e-07,10643.858549617591,1.9226471276389644e-08,4.7293351314635846e-05,8.25,-0.75,8.25,-0.75,3.1861460709794023e-05
n128,0.7608055358204662,0.4685625622416315,shell_8_12,Z,2.0273356068128608e-07,10643.858549617591,9.035364455754094e-09,9.125399090926811e-05,8.0,-0.125,8.0,-0.125,0.00019395252918939093
n128,0.7608055358204662,0.4685625622416315,shell_12_16,C,3.43026047070714e-14,17081.881641774584,2.267469265542803e-15,1.558774879466814e-08,15.5,0.5,15.5,0.0,2.2072852998295104e-12
n128,0.7608055358204662,0.4685625622416315,shell_12_16,H,2.796884555786016e-14,17081.881641774584,2.0240198111676575e-15,1.501467394859901e-08,15.5,0.5,16.0,0.0,6.992437068231887e-12
n128,0.7608055358204662,0.4685625622416315,shell_12_16,M,5.07147422027879e-15,17081.881641774584,3.3845746688945907e-16,5.990643253718205e-09,15.75,0.5,15.75,0.0,8.882178720987745e-13
n128,0.7608055358204662,0.4685625622416315,shell_12_16,Z,8.820662541139205e-17,17081.881641774584,1.077551262226236e-18,3.449173409027577e-10,15.5,-0.25,12.0,-0.25,8.438611758363834e-14
n128,0.7608055358204662,0.4685625622416315,shell_16_32,C,8.119176061950281e-13,164090.06264753794,4.851624461823324e-15,2.2217721253018778e-08,16.75,0.5,16.75,0.0,5.2244831322025143e-11
n128,0.7608055358204662,0.4685625622416315,shell_16_32,H,7.731036333151369e-13,164090.06264753794,4.57882496229676e-15,2.1587105436537968e-08,16.75,0.5,16.75,0.0,1.9328214645092085e-10
n128,0.7608055358204662,0.4685625622416315,shell_16_32,M,1.3885238718155664e-14,164090.06264753794,1.5612263647414105e-16,5.475038448913072e-09,16.25,0.25,16.0,-0.25,2.4318603727706145e-12
n128,0.7608055358204662,0.4685625622416315,shell_16_32,Z,9.053358729103307e-17,164090.06264753794,1.3958251129458146e-18,2.387852992033543e-10,24.0,0.5,16.25,0.25,8.661229138716163e-14
