diss,time,axisTau,region,field,norm2,proper_volume,weighted,magnitude,weighted_rho,weighted_z,magnitude_rho,magnitude_z
0.10,3.251327475824071,2.0027090346311045,R12,M,6.152676668005319e-05,17507.8484342038,3.3243122949189594e-07,0.0007971891974780075,7.6875,-1.3125,7.6875,-1.3125
0.10,3.251327475824071,2.0027090346311045,R12,Z,1.6629675580119204e-05,17507.8484342038,2.4787842129633114e-08,0.000204336606359459,6.3125,-0.0625,6.3125,0.0
0.10,3.251327475824071,2.0027090346311045,full,C,0.0003859374486201955,47707.10919384805,5.186445351992503e-07,0.0009851790922836764,4.4375,-0.0625,4.4375,0.0
0.10,3.251327475824071,2.0027090346311045,full,H,0.00010493351767584423,47707.10919384805,4.0377029949297846e-07,0.0007931945729069412,8.0,-2.625,4.4375,0.0
0.10,3.251327475824071,2.0027090346311045,full,M,7.065749427897879e-05,47707.10919384805,3.3243122949189594e-07,0.0007971891974780075,7.6875,-1.3125,7.6875,-1.3125
0.10,3.251327475824071,2.0027090346311045,full,Z,4.970121276707966e-05,47707.10919384805,2.7189860585561485e-08,0.000204336606359459,15.875,-1.75,6.3125,0.0
0.10,3.504957515523857,2.159020759884992,R4,C,1.0178408241400195e-05,1074.0309265224705,1.807385739073794e-07,0.0007938638432869469,3.9375,-0.0625,4.0,0.0
0.10,3.504957515523857,2.159020759884992,R4,H,3.6105996989804493e-06,1074.0309265224705,1.3000369626519544e-07,0.00070757552748546,3.9375,-0.0625,4.0,0.0
0.10,3.504957515523857,2.159020759884992,R4,M,1.4864030093133063e-06,1074.0309265224705,2.8696579272022444e-08,0.0003439193581786499,3.9375,-0.0625,4.0,0.0
0.10,3.504957515523857,2.159020759884992,R4,Z,1.0957565254796946e-06,1074.0309265224705,1.0131932640280377e-08,0.00015148425779716514,3.8125,-0.0625,3.8125,0.0
0.10,3.504957515523857,2.159020759884992,R8,C,0.00019567896552079883,6832.856366295769,5.164084760819274e-07,0.000991682182698897,4.375,-0.0625,4.375,0.0
0.10,3.504957515523857,2.159020759884992,R8,H,6.736279139169019e-05,6832.856366295769,3.406803196082234e-07,0.0008060391992330551,4.375,-0.0625,4.375,0.0
0.10,3.504957515523857,2.159020759884992,R8,M,5.324743075027378e-05,6832.856366295769,2.518876167440619e-07,0.0006895990230525161,7.5625,-1.25,7.5625,-1.25
0.10,3.504957515523857,2.159020759884992,R8,Z,1.5897027973876664e-05,6832.856366295769,2.695135574848496e-08,0.00022120951611741125,7.375,-0.0625,7.375,0.0
0.10,3.504957515523857,2.159020759884992,R12,C,0.00022859886172264446,17493.297034896645,5.164084760819274e-07,0.000991682182698897,4.375,-0.0625,4.375,0.0
0.10,3.504957515523857,2.159020759884992,R12,H,8.418728505384511e-05,17493.297034896645,3.406803196082234e-07,0.0008060391992330551,4.375,-0.0625,4.375,0.0
0.10,3.504957515523857,2.159020759884992,R12,M,6.13922420329444e-05,17493.297034896645,2.518876167440619e-07,0.0006895990230525161,7.5625,-1.25,7.5625,-1.25
0.10,3.504957515523857,2.159020759884992,R12,Z,1.775238015955581e-05,17493.297034896645,2.7126709952661812e-08,0.00022120951611741125,9.125,-0.125,7.375,0.0
0.10,3.504957515523857,2.159020759884992,full,C,0.0004347607515202193,47693.25598813212,5.164084760819274e-07,0.000991682182698897,4.375,-0.0625,4.375,0.0
0.10,3.504957515523857,2.159020759884992,full,H,0.00011437465951196164,47693.25598813212,3.406803196082234e-07,0.0008060391992330551,4.375,-0.0625,4.375,0.0
0.10,3.504957515523857,2.159020759884992,full,M,7.154962595352389e-05,47693.25598813212,2.518876167440619e-07,0.0006895990230525161,7.5625,-1.25,7.5625,-1.25
0.10,3.504957515523857,2.159020759884992,full,Z,5.9162193445916824e-05,47693.25598813212,3.154997567281893e-08,0.00022120951611741125,15.875,-2.5,7.375,0.0
0.10,3.750325025844545,2.310254424721048,R4,C,1.575353102114387e-05,1072.5102973909902,3.0334250862123245e-07,0.0008161145275929939,3.9375,-0.0625,3.9375,0.0
0.10,3.750325025844545,2.310254424721048,R4,H,7.783922958539128e-06,1072.5102973909902,2.4311786577429617e-07,0.0007309525390155613,3.9375,-0.0625,3.9375,0.0
0.10,3.750325025844545,2.310254424721048,R4,M,2.5938487620747453e-06,1072.5102973909902,5.851119444877275e-08,0.00035792116218414933,3.9375,-0.0625,3.9375,0.0
0.10,3.750325025844545,2.310254424721048,R4,Z,1.1529919631620378e-06,1072.5102973909902,9.920262478750881e-09,0.00015343004918204253,3.6875,-0.0625,3.6875,0.0
0.10,3.750325025844545,2.310254424721048,R8,C,0.0002105120821135746,6819.820703880346,4.917308748942853e-07,0.0009904041505185324,4.3125,-0.0625,4.25,0.0
0.10,3.750325025844545,2.310254424721048,R8,H,7.619980702398982e-05,6819.820703880346,3.287544614045282e-07,0.0008089248440228403,4.3125,-0.0625,4.25,0.0
0.10,3.750325025844545,2.310254424721048,R8,M,5.5179736047974464e-05,6819.820703880346,2.3302359572141412e-07,0.0006528484525271203,7.375,-0.75,7.375,-0.75
0.10,3.750325025844545,2.310254424721048,R8,Z,1.6835750801537702e-05,6819.820703880346,5.5124815803630135e-08,0.0003154252008770928,7.25,-0.0625,7.25,0.0
0.10,3.750325025844545,2.310254424721048,R12,C,0.00024236885969511232,17478.26228997737,4.917308748942853e-07,0.0009904041505185324,4.3125,-0.0625,4.25,0.0
0.10,3.750325025844545,2.310254424721048,R12,H,9.225160850413461e-05,17478.26228997737,3.287544614045282e-07,0.0008089248440228403,4.3125,-0.0625,4.25,0.0
0.10,3.750325025844545,2.310254424721048,R12,M,6.294785260767205e-05,17478.26228997737,2.3302359572141412e-07,0.0006528484525271203,7.375,-0.75,7.375,-0.75
0.10,3.750325025844545,2.310254424721048,R12,Z,1.8691574131015466e-05,17478.26228997737,5.5124815803630135e-08,0.0003154252008770928,7.25,-0.0625,7.25,0.0
