prescription,time,dt,C-norm2,H-norm2,M-norm2,Z-norm2,max_abs_K,maxAbsKret,cycle,axisLapse,axisTau,axisKret,muMin,muMax
local_chi_gradient_norm,4.8281250000000014e-01,9.3749999999999997e-03,1.6018219244035350e-01,1.3805693659064858e-01,1.0449453155328470e-02,2.8414502475142892e-03,2.9356560330011877e-01,4.9121433619426085e+01,4.8000000000000000e+01,6.1589047730082558e-01,2.9735996007412813e-01,5.6447421223703755e-04,5.9071274704734593e-04,9.9983639328157459e-02
local_chi_gradient_norm,5.2031250000000018e-01,9.3749999999999997e-03,1.3835222894709565e-01,1.1243298235361612e-01,1.5363765219268816e-02,2.5135402996197937e-03,2.9918409642993804e-01,4.3538665219287395e+01,5.2000000000000000e+01,6.1589057696809524e-01,3.2045585479148198e-01,5.6441416737473620e-04,5.9070624120059854e-04,1.0610760476452939e-01
local_chi_gradient_norm,5.5781250000000027e-01,9.3749999999999997e-03,1.2052996759962836e-01,9.1610960842974154e-02,2.0271657941237857e-02,1.9827219693528959e-03,3.0251360664652421e-01,3.7769288384239907e+01,5.6000000000000000e+01,6.1589069525310103e-01,3.4355175358653672e-01,5.6435015338286742e-04,5.9070077573470140e-04,1.1106558613294856e-01
local_chi_gradient_norm,5.9531250000000036e-01,9.3749999999999997e-03,1.0653472541398547e-01,7.5815032556849835e-02,2.3783420899304283e-02,1.5125138185370667e-03,3.0314201817628522e-01,3.1899540860785393e+01,6.0000000000000000e+01,6.1589083545538192e-01,3.6664765721778064e-01,5.6428233142492910e-04,5.9069673856268262e-04,1.1487772398761631e-01
local_chi_gradient_norm,6.3281250000000044e-01,9.3749999999999997e-03,9.6818280163870021e-02,6.5156769260264494e-02,2.5364325378009759e-02,1.3315281528814250e-03,3.0112754637927597e-01,2.6085262754039505e+01,6.4000000000000000e+01,6.1589100142157582e-01,3.8974356657758169e-01,5.6421100748859038e-04,5.9069443281168797e-04,1.1789780213830686e-01
local_chi_gradient_norm,6.7031250000000053e-01,9.3749999999999997e-03,9.1309354541640284e-02,5.9555587422231958e-02,2.5125312364025435e-02,1.4139958263390856e-03,2.9651246854769620e-01,2.0539048070560725e+01,6.8000000000000000e+01,6.1589119757171296e-01,4.1283948271326715e-01,5.6413627723636019e-04,5.9069403951185744e-04,1.2059110524277862e-01
local_chi_gradient_norm,7.0781250000000062e-01,9.3749999999999997e-03,9.1414350009242737e-02,5.9949191545651884e-02,2.3492238019474310e-02,1.7618924520701313e-03,2.8929830266682199e-01,1.5444990621714194e+01,7.2000000000000000e+01,6.1589142889859916e-01,4.3593540684870075e-01,5.6405778146564217e-04,5.9069558575332434e-04,1.2238077540174953e-01
local_chi_gradient_norm,7.4531250000000071e-01,9.3749999999999997e-03,9.7940525322330690e-02,6.6698593963605848e-02,2.0947325748341357e-02,2.3541045625409605e-03,2.7945741112433164e-01,1.0964731440651940e+01,7.6000000000000000e+01,6.1589170093664913e-01,4.5903134040526883e-01,5.6397473305170155e-04,5.9069891811351172e-04,1.2350515803266005e-01
local_chi_gradient_norm,7.7812500000000073e-01,4.6874999999999998e-03,1.5546759222108225e-01,1.2402473897332687e-01,1.8769726376553816e-02,2.9513431041637761e-03,2.6868730644146643e-01,1.1238754870545531e+01,8.0000000000000000e+01,6.1589197708336529e-01,4.7924029127673839e-01,5.6389754659363672e-04,5.9070303180831373e-04,1.2434586367850410e-01
local_chi_gradient_norm,7.9687500000000056e-01,4.6874999999999998e-03,1.5774180224637235e-01,1.2588402056217834e-01,1.7933357225779677e-02,3.2605671551053672e-03,2.6164217285570296e-01,1.1875560067508587e+01,8.4000000000000000e+01,6.1589215257897878e-01,4.9078826747257287e-01,5.6385126131766410e-04,5.9070572218221460e-04,1.2457311996382027e-01
