case,time,dt,C-norm2,H-norm2,M-norm2,Z-norm2,max_abs_K,nmb_total,maxRefLev,cycle,axisLapse,axisTau,axisKret,maxAbsKret,eta_shift,S_beta
fixed_eta2,5.315624999999996,0.009375,20.50284790846204,20.06895147897085,0.03477058444780218,0.07280586636274232,0.8456900982914276,26.0,2.0,440.0,0.6115787597293871,3.273367602576766,0.00057572400016305,0.9976714296208892,2.0,0.01875
fixed_eta2,5.353124999999998,0.009375,21.216348131497597,20.76912646625494,0.035541252952170935,0.0749820194855766,0.8529107954897436,26.0,2.0,444.0,0.6111811769113416,3.296294416649772,0.0005824079378404489,1.0387009613925284,2.0,0.01875
fixed_eta2,5.390624999999999,0.009375,21.945772034891334,21.48500245461745,0.03623696748319064,0.07720352543860827,0.8600583580231804,26.0,2.0,448.0,0.6107610683434836,3.319205900454725,0.0006008024109450895,1.0809502187731248,2.0,0.01875
fixed_eta2,5.4281250000000005,0.009375,22.691652050194122,22.217257377264048,0.03668869754602306,0.0794762124573457,0.8672351537846059,26.0,2.0,452.0,0.6103179675697425,3.342101200368602,0.0006305206201928668,1.124438807767916,2.0,0.01875
fixed_eta2,5.465625000000002,0.009375,23.4525144934492,22.964288361885632,0.03700645158329748,0.08180591809656135,0.8745544237961753,26.0,2.0,456.0,0.6098514681846106,3.364979446372566,0.0006700374142572556,1.1691854552208052,2.0,0.01875
fixed_eta2,5.503125000000003,0.009375,24.227102869839413,23.72455720979066,0.03745226245355133,0.08419854374138117,0.882104952522079,26.0,2.0,460.0,0.6093612345212227,3.3878397545011847,0.0007142463703746606,1.215207904442602,2.0,0.01875
fixed_eta2,5.540625000000005,0.009375,25.015861446307053,24.498352438918836,0.03818053136765901,0.08665435179430014,0.889912389609294,26.0,2.0,464.0,0.6088470130241204,3.410681229707565,0.0007542793458346297,1.2625231226018472,2.0,0.01875
fixed_eta2,5.578125000000006,0.009375,25.819540037812615,25.28652842632114,0.0391107608853537,0.08916647970461902,0.897925791151938,26.0,2.0,468.0,0.6083086434692643,3.433502969154475,0.0007809355433491802,1.3111476853131045,2.0,0.01875
fixed_eta2,5.615625000000008,0.009375,26.63823183581534,26.0894133347399,0.04002944217658529,0.09172903771088396,0.9060405127688443,26.0,2.0,472.0,0.607746069463703,3.4563040659135655,0.0007896029338086018,1.3610981451262991,2.0,0.01875
fixed_eta2,5.653125000000009,0.009375,27.471606854718996,26.906816983104683,0.0407928643529054,0.09434337362761457,0.9141436054885532,26.0,2.0,476.0,0.607159348230014,3.479083613044045,0.0007830182532627163,1.4123912384506563,2.0,0.01875
fixed_eta2,5.6906250000000105,0.009375,28.319214394978637,27.738263913318946,0.041416186578945205,0.09701279264529944,0.9221617144679429,26.0,2.0,480.0,0.6065486601970578,3.501840708032568,0.0007698303710550752,1.465043890673507,2.0,0.01875
fixed_eta2,5.728125000000012,0.009375,29.180924759972626,28.583519530997364,0.04198962357640496,0.0997418378782112,0.930097066509828,26.0,2.0,484.0,0.6059143191983993,3.5245744576016405,0.0007601433310605225,1.5190730732404263,2.0,0.01875
fixed_eta2,5.765625000000013,0.009375,30.05688100760755,29.442666915396998,0.042566082565611174,0.1025330632710724,0.9380386597631444,26.0,2.0,488.0,0.6052567841070913,3.547283982925188,0.000761307265623548,1.5744956074513834,2.0,0.01875
fixed_eta2,5.803125000000015,0.009375,30.946590217762598,30.31519692653223,0.04315539062752884,0.10538923103575917,0.9461388174207701,26.0,2.0,492.0,0.6045766724452937,3.569968425316665,0.0007766365146264062,1.6313279982405278,2.0,0.01875
fixed_eta2,5.840625000000016,0.009375,31.848908622631377,31.199920322095174,0.043784319268560364,0.10831714995530181,0.9571790743012817,26.0,2.0,496.0,0.6038747811905193,3.5926269525025423,0.0008071121973847825,1.6895863273202476,2.0,0.01875
fixed_eta2,5.878125000000018,0.009375,32.7633534434265,32.09628213689432,0.04449208091276208,0.11132841266369353,0.9696278514947413,26.0,2.0,500.0,0.603152156474732,3.615258766556774,0.0008536388001898427,1.749286022499315,2.0,0.01875
fixed_eta2,5.915625000000019,0.009375,33.69063382050649,33.00498645465903,0.045248006782655115,0.11443584306517302,0.9821586325108812,26.0,2.0,504.0,0.6024100829567094,3.6378631134492907,0.0009170907300482707,1.8104418751967672,2.0,0.01875
fixed_eta2,5.95312500000002,0.009375,34.63178690309604,33.92716576933465,0.04592405233356757,0.11765178287406208,0.9948398815814808,26.0,2.0,508.0,0.6016500586476907,3.660439291294171,0.000995584523692222,1.8730684490449836,2.0,0.01875
