resolution,time,axisTau,cycle,field,norm2,Linf,rho,z,classification,local_h,owner_levels,distance_axis_over_h,distance_outer_over_h,distance_same_level_over_h,distance_coarse_fine_over_h
n512,28.597660745443132,10.968798251418,11024,Z,0.0024291261609319507,0.014783294366986761,0.53125,0.0,same_level_seam,0.03125,7,17.0,4079.0,0.0,111.0
n512,28.607833299732615,10.970999789260395,11028,C,0.16245192328251493,0.25638989105925586,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
n512,28.607833299732615,10.970999789260395,11028,H,0.12114805716566264,0.23063756410718494,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
n512,28.607833299732615,10.970999789260395,11028,M,0.03140979002633965,0.11055699631457913,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
n512,28.607833299732615,10.970999789260395,11028,Z,0.0024309727473016264,0.014620685698686324,0.53125,0.0,same_level_seam,0.03125,7,17.0,4079.0,0.0,111.0
n512,28.618004583757347,10.973201842263766,11032,C,0.16169707292717286,0.255217238631946,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
n512,28.618004583757347,10.973201842263766,11032,H,0.12052230791096348,0.22955666775413364,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
n512,28.618004583757347,10.973201842263766,11032,M,0.031272988275832025,0.11025228861201708,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
n512,28.618004583757347,10.973201842263766,11032,Z,0.0024328216727333395,0.01443676139118498,0.53125,0.0,same_level_seam,0.03125,7,17.0,4079.0,0.0,111.0
n512,28.628174595447792,10.975404411997367,11036,C,0.1609480705842932,0.2536429243449985,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
n512,28.628174595447792,10.975404411997367,11036,H,0.11990122697560211,0.22811021938469156,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
n512,28.628174595447792,10.975404411997367,11036,M,0.03113735685781922,0.10977340843289184,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
n512,28.628174595447792,10.975404411997367,11036,Z,0.0024346729415489834,0.01429416169245183,0.5625,0.21875,clean_interior,0.03125,7,18.0,4078.0,7.0,110.0
n512,28.638343332724606,10.977607500252283,11040,C,0.1602048727286034,0.25167009549465835,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
