gid,i,j,rho,z,axis_distance,block_edge_distance,coarse_fine_interface_distance,delta_C,delta_H,delta_M,delta_Z
30,5,28,5.0859375,-0.0546875,5.0859375,0.0546875,0.0859375,9.321918686602713,0.24038593872288355,9.478145878234653,-7.0917219848685e-05
30,10,27,5.1640625,-0.0703125,5.1640625,0.0703125,0.1640625,8.579282204443462,-0.6859576964361626,8.12407273629529,-5.315588160987349e-05
51,10,4,5.1640625,0.0703125,5.1640625,0.0703125,0.1640625,8.468378107009297,-0.684854479771131,8.014081874577494,-5.242413312930847e-05
30,10,24,5.1640625,-0.1171875,5.1640625,0.1171875,0.1640625,7.963215665259763,0.026399781622321712,7.963381594818009,-3.023553776444407e-06
51,10,7,5.1640625,0.1171875,5.1640625,0.1171875,0.1640625,7.882345789456954,0.026153047868200836,7.882506478516864,-3.076051576524734e-06
30,13,29,5.2109375,-0.0390625,5.2109375,0.0390625,0.2109375,7.801203995577913,0.3527055160202912,7.623313448120463,2.479998107328986e-06
51,13,2,5.2109375,0.0390625,5.2109375,0.0390625,0.2109375,7.787751405060045,0.35218811277661444,7.610717033651544,2.3701940343556665e-06
30,3,27,5.0546875,-0.0703125,5.0546875,0.0546875,0.0546875,7.296020006248858,-0.3593437723231258,7.156356844910517,-5.236515669756161e-05
51,3,4,5.0546875,0.0703125,5.0546875,0.0546875,0.0546875,7.237380132350225,-0.35794199935268184,7.100213671576871,-5.2275272658230544e-05
30,8,25,5.1328125,-0.1015625,5.1328125,0.1015625,0.1328125,7.133282343591069,-0.19371166808203055,7.098026843746274,-9.472305007846542e-07
30,6,24,5.1015625,-0.1171875,5.1015625,0.1015625,0.1015625,7.093345374222423,-0.03612722837021902,7.087571395977789,-2.132885173908277e-05
51,8,6,5.1328125,0.1015625,5.1328125,0.1015625,0.1328125,7.067508009713703,-0.1924626458046276,7.032399039743002,-1.244627825898654e-07
51,6,7,5.1015625,0.1171875,5.1015625,0.1015625,0.1015625,7.0212830196459475,-0.03628084447021468,7.015681725838097,-2.181150569449503e-05
51,3,1,5.0546875,0.0234375,5.0546875,0.0234375,0.0546875,6.856523176837403,0.8420535506797504,6.40786900080518,-0.00014472794332746433
30,3,30,5.0546875,-0.0234375,5.0546875,0.0234375,0.0546875,6.740398263460946,0.8398369718351771,6.293413889334284,-0.00014260216068929133
30,13,30,5.2109375,-0.0234375,5.2109375,0.0234375,0.2109375,6.652775617280545,0.32780316186806097,6.538115907117324,-7.402346661300292e-05
51,13,1,5.2109375,0.0234375,5.2109375,0.0234375,0.2109375,6.646036510881719,0.32692070187830713,6.529151076987357,-7.411835489048503e-05
30,8,24,5.1328125,-0.1171875,5.1328125,0.1171875,0.1328125,6.63508773338054,0.002047603491337799,6.628332516871845,-1.1399954897232992e-05
51,8,2,5.1328125,0.0390625,5.1328125,0.0390625,0.1328125,6.610282764252616,-1.2757595338017738,3.5197107664547898,0.0025035773886423326
30,8,29,5.1328125,-0.0390625,5.1328125,0.0390625,0.1328125,6.609762738181342,-1.2695168651057716,3.5443860593272225,0.0025473753952979074
51,8,7,5.1328125,0.1171875,5.1328125,0.1171875,0.1328125,6.601058346014067,0.002093684989013772,6.5945792231279645,-1.1969719924841272e-05
30,3,29,5.0546875,-0.0390625,5.0546875,0.0390625,0.0546875,5.616774037286272,1.51226916521368,2.6058379601204575,0.00025642392047780973
51,3,2,5.0546875,0.0390625,5.0546875,0.0390625,0.0546875,5.5801616535292435,1.5095649790011345,2.5762143304724354,0.0002558778674731912
30,6,31,5.1015625,-0.0078125,5.1015625,0.0078125,0.1015625,5.509430931713192,0.7549426851900175,3.787674611462838,-0.002873041759053039
51,6,0,5.1015625,0.0078125,5.1015625,0.0078125,0.1015625,5.442599687740961,0.7708261989645554,3.6620414017455403,-0.002844775076826172
30,5,25,5.0859375,-0.1015625,5.0859375,0.0859375,0.0859375,5.221244504483448,-0.13938348782171178,5.1965906647883156,-4.6838030610406795e-06
51,5,6,5.0859375,0.1015625,5.0859375,0.0859375,0.0859375,5.173126344366567,-0.13873080146294642,5.1485828025068034,-4.2749442352942965e-06
51,2,4,5.0390625,0.0703125,5.0390625,0.0390625,0.0390625,4.999113008400805,-0.07059885803365208,5.020132629184295,-1.1947794350759626e-05
30,2,27,5.0390625,-0.0703125,5.0390625,0.0390625,0.0390625,4.992752404329116,-0.07046201357847531,5.0137029477234085,-1.171094473384916e-05
30,13,31,5.2109375,-0.0078125,5.2109375,0.0078125,0.2109375,4.66710171670259,0.1082565836438618,4.647041164357953,-7.100463354704912e-05
51,13,0,5.2109375,0.0078125,5.2109375,0.0078125,0.2109375,4.664372119683315,0.10716963671853777,4.642918117977643,-7.11230142151318e-05
30,10,25,5.1640625,-0.1015625,5.1640625,0.1015625,0.1640625,4.580031018620815,-0.039590023654384535,4.578415024740235,-1.872134869639147e-06
51,10,6,5.1640625,0.1015625,5.1640625,0.1015625,0.1640625,4.539093139927125,-0.039454982599518296,4.537393873905863,-1.8376018776984565e-06
30,11,25,5.1796875,-0.1015625,5.1796875,0.1015625,0.1796875,4.331412183974721,-0.10368822990246379,4.317884550460048,7.109644857761576e-06
51,11,6,5.1796875,0.1015625,5.1796875,0.1015625,0.1796875,4.3017802688928635,-0.10361556395983634,4.288178255476393,6.948405480434666e-06
30,5,27,5.0859375,-0.0703125,5.0859375,0.0703125,0.0859375,4.184471102758109,-0.27491426557242954,4.171891367466271,0.00018495501927010308
51,5,4,5.0859375,0.0703125,5.0859375,0.0703125,0.0859375,4.09655604909872,-0.27658346751570145,4.083437349611771,0.00018399139987553204
51,2,3,5.0390625,0.0546875,5.0390625,0.0390625,0.0390625,3.9989260747712168,-0.7716269117378092,3.856680622881061,-4.530605418718964e-05
