variable,region,difference_128_256_rms,difference_256_512_rms,observed_order_rms,geometry,family
z4c_chi,core_r8_mb_interior,6.201787594657207e-06,8.151181700509019e-07,2.9276029845469824,cc_base,state
z4c_chi,outer_or_nearest,5.950513648259485e-07,1.6426973674387952e-07,1.8569474887691764,cc_base,state
z4c_gxx,full,8.805664707468685e-06,1.3061337177551403e-06,2.753129309038659,cc_base,state
z4c_gxx,axis_or_nearest,3.92099108362441e-07,2.345857145961624e-07,0.7411031999139774,cc_base,state
z4c_gxx,core_r8,1.947162193392326e-05,2.770640632135424e-06,2.813081559388209,cc_base,state
z4c_gxx,core_r8_mb_interior,2.0293924855934536e-05,2.887678901411753e-06,2.8130656758566577,cc_base,state
z4c_gxx,outer_or_nearest,1.0701018851248896e-06,1.3812678979226388e-06,-0.36824499535904265,cc_base,state
z4c_gxy,full,5.2369296687718734e-06,7.790015553172065e-07,2.7490231159077894,cc_base,state
z4c_gxy,axis_or_nearest,2.4571194861465298e-08,1.7326741035285172e-09,3.8258957851182407,cc_base,state
z4c_gxy,core_r8,1.1686253440961802e-05,1.6962021922013938e-06,2.7844324239272744,cc_base,state
z4c_gxy,core_r8_mb_interior,1.2179906274975412e-05,1.7678617135361928e-06,2.784425698548607,cc_base,state
z4c_gxy,outer_or_nearest,1.4829299956059884e-06,7.024016951261639e-07,1.0780822626823945,cc_base,state
z4c_gxz,full,0.0,0.0,,cc_base,state
z4c_gxz,axis_or_nearest,0.0,0.0,,cc_base,state
z4c_gxz,core_r8,0.0,0.0,,cc_base,state
z4c_gxz,core_r8_mb_interior,0.0,0.0,,cc_base,state
z4c_gxz,outer_or_nearest,0.0,0.0,,cc_base,state
z4c_gyy,full,1.0464851790930616e-05,1.2652216689133478e-06,3.0480898047697917,cc_base,state
z4c_gyy,axis_or_nearest,7.764233312560175e-07,4.6584478172848425e-07,0.7369941384913044,cc_base,state
z4c_gyy,core_r8,2.348091484116632e-05,2.725960907800333e-06,3.106651840319901,cc_base,state
z4c_gyy,core_r8_mb_interior,2.447238666081212e-05,2.8410930956382383e-06,3.1066367956142535,cc_base,state
z4c_gyy,outer_or_nearest,9.548920632185308e-07,1.224864011456991e-06,-0.359212013637042,cc_base,state
z4c_gyz,full,0.0,0.0,,cc_base,state
z4c_gyz,axis_or_nearest,0.0,0.0,,cc_base,state
