case,axis,offset,h,var,state,rhs
0,1,0,0.125,45,-0.0090000000000000011,0.044537999999999925
0,1,0,0.125,46,0.012,-0.034306999999999963
0,1,0,0.125,47,-0.0060000000000000001,0.0083435000000000037
0,1,0,0.125,48,0.014999999999999999,-0.041272000000000003
0,1,0,0.125,49,-0.0030000000000000001,-0.0011345000000000096
0,1,0,0.125,50,0.018000000000000002,-0.034797999999999996
0,1,0,0.125,51,0,-0.012176500000000007
0,1,0,0.125,52,-0.018000000000000002,0.050310000000000007
0,1,0,0.125,53,0.0030000000000000001,-0.023211500000000013
0,1,0,0.125,54,-0.014999999999999999,0.050343000000000013
0,1,1,0.125,0,0.245,-0.0024940251718750433
0,1,1,0.125,1,1,0.017279737500000003
0,1,1,0.125,2,0,-0.019667406249999998
0,1,1,0.125,3,0,0.00032709374999999763
0,1,1,0.125,4,1,0.013629950000000004
0,1,1,0.125,5,0,0.0034845812500000004
0,1,1,0.125,6,1,-0.030909687500000001
0,1,1,0.125,7,0.01175,0.0078038528389007622
0,1,1,0.125,8,-0.0054999999999999997,-0.003629747805863448
0,1,1,0.125,9,0.016250000000000001,0.001758557583226551
0,1,1,0.125,10,-0.0037499999999999999,0.00094135308959027283
0,1,1,0.125,11,0.018000000000000002,0.0026093104417917916
0,1,1,0.125,12,0.00075000000000000002,-0.0020750629712098043
0,1,1,0.125,13,-0.012500000000000002,0.00092069196719665562
0,1,1,0.125,14,0.0025000000000000001,-0.02755378503281249
0,1,1,0.125,15,-0.014749999999999999,0.030747462421875
0,1,1,0.125,16,0.0070000000000000001,-0.0058304301906249786
0,1,1,0.125,17,-0.013000000000000001,0.0061008799678070116
0,1,1,0.125,18,1.4024999999999999,-0.02478375641406259
0,1,1,0.125,19,0.091499999999999998,-0.21679199999999998
0,1,1,0.125,20,0.21325000000000002,-0.44770400000000005
0,1,1,0.125,21,0.29325000000000007,-0.5963075000000001
0,1,1,0.125,22,0.014999999999999999,0.011703499265624914
0,1,1,0.125,23,-0.0022500000000000003,-0.036754270835156283
0,1,1,0.125,24,0.016750000000000001,-0.0045492973695313507
0,1,1,0.125,25,-0.00050000000000000001,0.0029936719812500082
0,1,1,0.125,26,-0.017750000000000002,0.020448124999999998
0,1,1,0.125,27,0.0040000000000000001,-0.022050349999999993
0,1,1,0.125,28,-0.016,0.022154071981249981
0,1,1,0.125,29,0.0057499999999999999,0.0097859625000000002
0,1,1,0.125,30,0.016500000000000001,-0.025143590518749991
0,1,1,0.125,31,0.01025,-0.014492862778124999
0,1,1,0.125,32,-0.0097500000000000017,0.0070712500000000072
0,1,1,0.125,33,0.012,-0.00016708749999999779
0,1,1,0.125,34,-0.0052500000000000003,0.0041884122218749931
0,1,1,0.125,35,0.01375,-0.011570975000000002
0,1,1,0.125,36,-0.0050000000000000001,0.011051749721874995
0,1,1,0.125,37,0.018250000000000002,-0.020700408740625009
0,1,1,0.125,38,0.001,0.0028609499999999984
0,1,1,0.125,39,-0.019000000000000003,-0.0025472125000000068
0,1,1,0.125,40,0.0027499999999999998,-0.0064337087406250047
0,1,1,0.125,41,-0.014499999999999999,0.022909037499999993
0,1,1,0.125,42,-0.021000000000000001,0.02798324125937502
0,1,1,0.125,43,-0.012750000000000001,0.05485125000000008
0,1,1,0.125,44,0.0090000000000000011,-0.10666453750000029
0,1,1,0.125,45,-0.0082500000000000004,0.043968587499999615
0,1,1,0.125,46,0.010750000000000001,-0.030516312499999962
0,1,1,0.125,47,-0.0065000000000000006,0.0097881875000000104
0,1,1,0.125,48,0.01525,-0.042047625000000005
0,1,1,0.125,49,-0.002,-0.0040895625000000029
0,1,1,0.125,50,0.017000000000000001,-0.031860062499999994
0,1,1,0.125,51,-0.00025000000000000001,-0.011496875000000007
0,1,1,0.125,52,-0.017500000000000002,0.048925312499999998
0,1,1,0.125,53,0.0042500000000000003,-0.026870875000000013
0,1,1,0.125,54,-0.01575,0.052568125000000014
0,2,-1,0.125,0,0.24812500000000001,-0.0026503370473632804
0,2,-1,0.125,1,1,0.017970648437499997
0,2,-1,0.125,2,0,-0.019835477734375002
0,2,-1,0.125,3,0,0.0016794539062499995
0,2,-1,0.125,4,1,0.014373327734375
0,2,-1,0.125,5,0,0.0017294027343750004
0,2,-1,0.125,6,1,-0.032343976171874997
0,2,-1,0.125,7,0.010999999999999999,0.0074270652790323459
0,2,-1,0.125,8,-0.0050000000000000001,-0.0036207521695820876
0,2,-1,0.125,9,0.01525,0.0017471536936008621
0,2,-1,0.125,10,-0.0035000000000000001,0.00094104586951727215
0,2,-1,0.125,11,0.016750000000000001,0.0025976631194412365
0,2,-1,0.125,12,0.00075000000000000002,-0.0021028199566323034
0,2,-1,0.125,13,-0.01175,0.00093988662338303835
0,2,-1,0.125,14,0.0022500000000000003,-0.027310294772216789
0,2,-1,0.125,15,-0.01375,0.030322460547119137
0,2,-1,0.125,16,0.0065000000000000006,-0.0057160645318847566
0,2,-1,0.125,17,-0.01225,0.0056610871128702379
0,2,-1,0.125,18,1.3987499999999999,-0.021488446317382903
0,2,-1,0.125,19,0.091999999999999998,-0.21680099999999999
0,2,-1,0.125,20,0.21225000000000002,-0.44521450000000007
0,2,-1,0.125,21,0.29350000000000004,-0.59579750000000009
0,2,-1,0.125,22,0.01375,0.01297873820247376
0,2,-1,0.125,23,-0.0022500000000000003,-0.036758873151822836
0,2,-1,0.125,24,0.018000000000000002,-0.0057915178726562419
0,2,-1,0.125,25,-0.00075000000000000002,0.0032945244102539173
0,2,-1,0.125,26,-0.016750000000000001,0.019408749999999999
0,2,-1,0.125,27,0.0035000000000000001,-0.021556590624999997
0,2,-1,0.125,28,-0.01525,0.021443730660253884
0,2,-1,0.125,29,0.0050000000000000001,0.010534831250000001
0,2,-1,0.125,30,0.016,-0.024794891214746078
0,2,-1,0.125,31,0.0092500000000000013,-0.013594286633300772
0,2,-1,0.125,32,-0.0095000000000000015,0.0068187031249999962
0,2,-1,0.125,33,0.010750000000000001,0.0011630906250000069
0,2,-1,0.125,34,-0.0052500000000000003,0.0041880446166992109
0,2,-1,0.125,35,0.014999999999999999,-0.012828528124999997
0,2,-1,0.125,36,-0.004000000000000001,0.010091250866699219
0,2,-1,0.125,37,0.019250000000000003,-0.021632505896777347
0,2,-1,0.125,38,0.00050000000000000001,0.0033394468749999998
0,2,-1,0.125,39,-0.018250000000000002,-0.0033792687500000043
0,2,-1,0.125,40,0.002,-0.0057424027717773458
0,2,-1,0.125,41,-0.013999999999999999,0.022467090624999998
0,2,-1,0.125,42,-0.021250000000000005,0.02830734097822267
0,2,-1,0.125,43,-0.012500000000000001,0.054058531249999757
0,2,-1,0.125,44,0.0077500000000000008,-0.10492691874999999
0,2,-1,0.125,45,-0.0082500000000000004,0.043760487499999931
0,2,-1,0.125,46,0.012,-0.034221187500000014
0,2,-1,0.125,47,-0.0067499999999999999,0.010626250000000011
0,2,-1,0.125,48,0.016250000000000001,-0.045124531250000002
0,2,-1,0.125,49,-0.0025000000000000001,-0.0025903750000000093
0,2,-1,0.125,50,0.017750000000000002,-0.034065312499999993
0,2,-1,0.125,51,-0.001,-0.0092434687500000043
0,2,-1,0.125,52,-0.017000000000000001,0.047404156250000003
