receiver_gid,fine_j,fine_i,rho,z,variable,current,preserved,difference,captured,current_minus_captured,distance_to_known_seam
8,1,33,1.84375,-8.15625,By,-0.0030361659087086114,-0.0030361659087564863,4.7874898490007922e-14,-0.0030361659087086118,4.3368086899420177e-19,8.7422119358460986
8,0,34,1.90625,-8.21875,chi,0.59691942647412666,0.59691942652709484,-5.2968185393353906e-11,0.59691942647412666,0,8.7772177129914013
8,0,34,1.90625,-8.21875,gxx,0.99243660588105154,0.99243660574442594,1.3662559972260624e-10,0.99243660588105165,-1.1102230246251565e-16,8.7772177129914013
8,0,34,1.90625,-8.21875,gxy,-0.0060036472888227964,-0.0060036472930695261,4.2467297040049701e-12,-0.0060036472888227964,0,8.7772177129914013
8,0,34,1.90625,-8.21875,gyy,1.0162158768263434,1.0162158768756249,-4.9281467795481149e-11,1.0162158768263434,0,8.7772177129914013
8,0,34,1.90625,-8.21875,gzz,0.99157774523811126,0.99157774532649212,-8.8380858187520062e-11,0.99157774523811126,0,8.7772177129914013
8,0,34,1.90625,-8.21875,Khat,-0.0016420225146733627,-0.0016420235089240529,9.9425069024182411e-10,-0.0016420225146733624,-2.1684043449710089e-19,8.7772177129914013
8,0,34,1.90625,-8.21875,Axx,0.0016167581616281321,0.001616757227895091,9.3373304119008516e-10,0.0016167581616281321,0,8.7772177129914013
8,0,34,1.90625,-8.21875,Axy,0.00049719864956048604,0.000497197855011548,7.9454893803666132e-10,0.00049719864956048604,0,8.7772177129914013
8,0,34,1.90625,-8.21875,Ayy,-0.0034522999162506576,-0.0034522997398005995,-1.7645005812375048e-10,-0.0034522999162506576,0,8.7772177129914013
8,0,34,1.90625,-8.21875,Azz,0.0017474585709676353,0.0017474593432632746,-7.7229563933203793e-10,0.0017474585709676353,0,8.7772177129914013
8,0,34,1.90625,-8.21875,Gamx,-0.00083040104717826079,-0.00083040073580019727,-3.1137806352429798e-10,-0.00083040104717826079,0,8.7772177129914013
8,0,34,1.90625,-8.21875,Gamy,-0.0081543532422890946,-0.0081543526836663476,-5.5862274701834469e-10,-0.0081543532422890946,0,8.7772177129914013
8,0,34,1.90625,-8.21875,Theta,-7.9309596346598346e-05,-7.9310217478605746e-05,6.2113200740014814e-10,-7.9309596346598346e-05,0,8.7772177129914013
8,0,34,1.90625,-8.21875,alpha,0.77635500930119816,0.77635500930154711,-3.489430966396867e-13,0.77635500930119816,0,8.7772177129914013
8,0,34,1.90625,-8.21875,betax,-0.00037788377741202947,-0.00037788378758902267,1.0176993199984691e-11,-0.00037788377741202947,0,8.7772177129914013
8,0,34,1.90625,-8.21875,betay,-0.0036095885246681279,-0.0036095885359132976,1.1245169725948578e-11,-0.0036095885246681279,0,8.7772177129914013
8,0,34,1.90625,-8.21875,Bx,0.00045860447683925676,0.00045860447743427331,-5.950165490528625e-13,0.00045860447683925665,1.0842021724855044e-19,8.7772177129914013
8,0,34,1.90625,-8.21875,By,-0.0030101277085539382,-0.0030101277083815748,-1.7236342561566254e-13,-0.0030101277085539382,0,8.7772177129914013
8,0,35,1.96875,-8.21875,chi,0.59717165469451261,0.59717165460586474,8.8647866824942412e-11,0.59717165469451261,0,8.7546025841410984
8,0,35,1.96875,-8.21875,gxx,0.9925259733575551,0.99252597358346872,-2.2591362114354752e-10,0.99252597335755499,1.1102230246251565e-16,8.7546025841410984
8,0,35,1.96875,-8.21875,gxy,-0.0061743624032733011,-0.0061743623893429295,-1.3930371613180004e-11,-0.0061743624032733002,-8.6736173798840355e-19,8.7546025841410984
8,0,35,1.96875,-8.21875,gyy,1.0160978782204522,1.016097878140984,7.946820979043423e-11,1.0160978782204522,0,8.7546025841410984
8,0,35,1.96875,-8.21875,gzz,0.99160564891674141,0.99160564876851254,1.4822887361987114e-10,0.99160564891674119,2.2204460492503131e-16,8.7546025841410984
