receiver_gid,sender_gid,coarse_j,coarse_i,rho,z,variable,received_value,refreshed_value,difference,consumer_neighbor_gid,consumer_coarse_j,consumer_coarse_i,consumer_ox1,consumer_ox2
8,9,4,21,2.1875,-7.9375,gxx,0.99330164830877943,0.99330166444771417,1.6138934744169831e-08,2,2,20,0,-1
8,9,4,21,2.1875,-7.9375,gxx,0.99330164830877943,0.99330166444771417,1.6138934744169831e-08,2,2,21,0,-1
8,9,4,21,2.1875,-7.9375,gxx,0.99330164830877943,0.99330166444771417,1.6138934744169831e-08,2,3,19,0,-1
8,9,4,21,2.1875,-7.9375,gxx,0.99330164830877943,0.99330166444771417,1.6138934744169831e-08,2,3,20,0,-1
8,9,4,21,2.1875,-7.9375,gxx,0.99330164830877943,0.99330166444771417,1.6138934744169831e-08,2,3,21,0,-1
8,9,4,21,2.1875,-7.9375,gxy,-0.0076335796875679476,-0.007633641276333483,-6.1588765535441903e-08,2,2,19,0,-1
8,9,4,21,2.1875,-7.9375,gxy,-0.0076335796875679476,-0.007633641276333483,-6.1588765535441903e-08,2,2,20,0,-1
8,9,4,21,2.1875,-7.9375,gxy,-0.0076335796875679476,-0.007633641276333483,-6.1588765535441903e-08,2,2,21,0,-1
8,9,4,21,2.1875,-7.9375,gxy,-0.0076335796875679476,-0.007633641276333483,-6.1588765535441903e-08,2,3,19,0,-1
8,9,4,21,2.1875,-7.9375,gxy,-0.0076335796875679476,-0.007633641276333483,-6.1588765535441903e-08,2,3,20,0,-1
8,9,4,21,2.1875,-7.9375,gxy,-0.0076335796875679476,-0.007633641276333483,-6.1588765535441903e-08,2,3,21,0,-1
8,9,4,21,2.1875,-7.9375,gyy,1.0149616798108461,1.014961655835743,-2.3975103013995636e-08,2,2,19,0,-1
8,9,4,21,2.1875,-7.9375,gyy,1.0149616798108461,1.014961655835743,-2.3975103013995636e-08,2,2,20,0,-1
8,9,4,21,2.1875,-7.9375,gyy,1.0149616798108461,1.014961655835743,-2.3975103013995636e-08,2,2,21,0,-1
8,9,4,21,2.1875,-7.9375,gyy,1.0149616798108461,1.014961655835743,-2.3975103013995636e-08,2,3,19,0,-1
8,9,4,21,2.1875,-7.9375,gyy,1.0149616798108461,1.014961655835743,-2.3975103013995636e-08,2,3,20,0,-1
8,9,4,21,2.1875,-7.9375,gyy,1.0149616798108461,1.014961655835743,-2.3975103013995636e-08,2,3,21,0,-1
8,9,4,21,2.1875,-7.9375,gzz,0.99196032036771198,0.99196032870241191,8.3346999302236213e-09,2,2,19,0,-1
