case	target_time	time	region	maximum	radius
c	0.00000000000000000e+00	0.00000000000000000e+00	chi_beta_annulus_1_1p5	7.77645210784213115e-01	1.00065082987690235e+00
c	0.00000000000000000e+00	0.00000000000000000e+00	chi_beta_annulus_1p5_2	4.38254956725824207e-01	1.50043396500256998e+00
c	0.00000000000000000e+00	0.00000000000000000e+00	chi_beta_outer_r_ge_2	2.84571871002504861e-01	2.00032549434669082e+00
c	0.00000000000000000e+00	0.00000000000000000e+00	chi_beta_first_ge_1	1.00000000000000000e+00	3.60843918243516776e-02
c	2.00000000000000011e-01	2.00865336769630448e-01	chi_beta	3.88264775881908690e+01	3.60843918243516290e-02
c	2.00000000000000011e-01	2.00865336769630448e-01	chi_beta_near_r_lt_1	3.88264775881908690e+01	3.60843918243516290e-02
c	2.00000000000000011e-01	2.00865336769630448e-01	chi_beta_inner_r_lt_0p5	3.88264775881908690e+01	3.60843918243516290e-02
c	2.00000000000000011e-01	2.00865336769630448e-01	chi_beta_annulus_0p5_1	1.91125488339994698e+00	5.01300392313165144e-01
c	2.00000000000000011e-01	2.00865336769630448e-01	chi_beta_annulus_1_1p5	7.77645210784213559e-01	1.00065082987690235e+00
c	2.00000000000000011e-01	2.00865336769630448e-01	chi_beta_annulus_1p5_2	4.38254956725824429e-01	1.50043396500256976e+00
c	2.00000000000000011e-01	2.00865336769630448e-01	chi_beta_outer_r_ge_2	2.84571871002505028e-01	2.00032549434669127e+00
c	2.00000000000000011e-01	2.00865336769630448e-01	chi_beta_first_ge_1	1.00000000000000000e+00	3.60843918243516776e-02
c	5.00000000000000000e-01	5.00461093307382532e-01	chi_beta	3.88264787496793247e+01	3.60843918243516290e-02
c	5.00000000000000000e-01	5.00461093307382532e-01	chi_beta_near_r_lt_1	3.88264787496793247e+01	3.60843918243516290e-02
c	5.00000000000000000e-01	5.00461093307382532e-01	chi_beta_inner_r_lt_0p5	3.88264787496793247e+01	3.60843918243516290e-02
c	5.00000000000000000e-01	5.00461093307382532e-01	chi_beta_annulus_0p5_1	1.91125488339995320e+00	5.01300392313165144e-01
c	5.00000000000000000e-01	5.00461093307382532e-01	chi_beta_annulus_1_1p5	7.77645210784214114e-01	1.00065082987690235e+00
c	5.00000000000000000e-01	5.00461093307382532e-01	chi_beta_annulus_1p5_2	4.38254956725824651e-01	1.50043396500256976e+00
c	5.00000000000000000e-01	5.00461093307382532e-01	chi_beta_outer_r_ge_2	2.84571871002505139e-01	2.00032549434669127e+00
c	5.00000000000000000e-01	5.00461093307382532e-01	chi_beta_first_ge_1	1.00000000000000000e+00	3.60843918243516776e-02
c	1.00000000000000000e+00	1.00092218661476307e+00	chi_beta	3.95875592286939479e+01	3.60843918243516776e-02
