resolution,axisTau,time,cycle,leaf_count,minimum_chi,minimum_conformal_spd_pivot,minimum_conformal_determinant,minimum_physical_determinant,chi_psi_power,full_reconstructed_C,full_reconstructed_H,full_reconstructed_M,full_reconstructed_Z,full_history_C,full_history_H,full_history_M,full_history_Z,full_relative_difference_C,full_relative_difference_H,full_relative_difference_M,full_relative_difference_Z
n128,3.8453273732965934,6.262185652762249,509,44,0.35947728157043457,0.7812331147290621,0.9999982511874764,1.9776839776783426,-4.0,0.05143595459421648,0.0202680021389273,0.008025947548097632,0.003926192362827425,0.05144108639687037,0.020269358680132646,0.008027083006405308,0.003926178946596776,-9.97607751573169e-05,-6.692570923198636e-05,-0.00014145341548976262,3.4171215401761897e-06
n128,3.98614742555601,6.5,528,44,0.3605497181415558,0.7819355125421055,0.9999977817357862,1.9777562790910603,-4.0,0.05580143396944152,0.02155806062366236,0.008642785396812775,0.004071227826381679,0.05580143422430401,0.021558060651399806,0.008642785430550007,0.004071227826692041,-4.567310782679044e-09,-1.2866392855938047e-09,-3.903513749051898e-09,-7.623301676644321e-11
n256,0.0,0.0,0,32,0.3317209780216217,0.19738458469774756,0.9999998618315257,1.9769680708678297,-4.0,0.0006854074260927119,0.0006818807942574769,0.0,8.816556564248726e-07,0.0006854074319407438,0.0006818808093213485,0.0,8.816556548488162e-07,-8.532197987112869e-09,-2.2091649134515483e-08,nan,1.7876099456702765e-09
n256,0.1554455752226037,0.25239728765678654,93,50,0.33599236607551575,0.22638511428243646,0.9999998172782543,1.976968632381844,-4.0,0.0004666079722522532,0.00034547945223033374,3.5761108565572194e-05,2.0832971926180677e-05,0.0004666979900374071,0.0003455141515682441,3.5820372482797074e-05,2.083194346408603e-05,-0.00019288230734971863,-0.00010042812357435154,-0.001654475180383514,4.936947416461554e-05
n256,0.3104069574995065,0.5040083378180226,151,44,0.344062477350235,0.2859504554535732,0.99999986365408,1.976969845575137,-4.0,0.00010636971072706281,4.158655246495182e-05,1.6232832116079905e-05,1.0692433778775222e-05,0.00010657135389293155,4.1787929944081184e-05,1.622348932103073e-05,1.0695355091328095e-05,-0.0018920953755671133,-0.004819034572873951,0.0005758807408381443,-0.0002731384351363188
n256,0.4628855806542382,0.7515878356031671,196,44,0.33958709239959717,0.3525283605297851,0.9999998642947123,1.9769727433012703,-4.0,7.848222327089007e-05,2.7399296648212965e-05,2.140275066383384e-05,5.370084047910263e-06,7.848222342775092e-05,2.7399296544967567e-05,2.1402750736830618e-05,5.3700840560237925e-06,-1.9986800269052534e-09,3.7681769689547515e-09,-3.4106259760557147e-09,-1.5108757077843384e-09
n256,0.6170875106119276,1.001964564307453,238,44,0.32723376154899597,0.43632097791181224,0.9999998582017238,1.9769767086966104,-4.0,7.540630670212241e-05,2.6391304447571847e-05,1.323882513707941e-05,7.051956008496217e-06,7.549795523630279e-05,2.6442335020862633e-05,1.3256731786878778e-05,7.0581811770755115e-06,-0.001213920746509255,-0.001929881504433094,-0.0013507590020860785,-0.0008819791420930202
n256,0.7735332934885227,1.2559825348492695,278,44,0.3222666382789612,0.5323264569194492,0.9999998587695202,1.9769830379480808,-4.0,0.00010062309287744688,2.7873546924705942e-05,1.3186398076318701e-05,1.360343121028794e-05,0.00010062583661478417,2.787961885849103e-05,1.3186310299575208e-05,1.3602250423206067e-05,-2.726672820416098e-05,-0.00021779113322552342,6.656656903947122e-06,8.680821519501547e-05
n256,0.9250600167314654,1.502009723274411,315,44,0.3213600814342499,0.6074627495466771,0.9999998593351108,1.9769908160120238,-4.0,0.0001273599710066694,2.971273080537045e-05,1.6346734709041766e-05,1.9409088077070082e-05,0.00012735611679692932,2.9723557581206958e-05,1.6343535163888823e-05,1.940571760780405e-05,3.0263247946050442e-05,-0.000364248990280831,0.00019576824235755514,0.00017368434057174234
n256,1.081952573280081,1.7567424898220665,352,44,0.32295870780944824,0.6609682757965203,0.9999998549298791,1.9770013462321496,-4.0,0.00014703329009176913,3.389850099849685e-05,1.868809083092579e-05,2.264905128659657e-05,0.0001470332902216436,3.389850122585195e-05,1.8688090898180504e-05,2.26490512903592e-05,-8.832997197575087e-10,-6.706936492965468e-09,-3.5988006765387088e-09,-1.6612743393461481e-10
