resolution,time,axisTau,region,field,norm2,proper_volume,weighted,magnitude,weighted_rho,weighted_z,magnitude_rho,magnitude_z,fraction_of_full
n512,3.00160006532766,1.8488212972777676,shell_12_16,M,3.815588435185063e-06,17057.50349663735,1.0068205180798076e-09,4.034552340861803e-05,15.6875,-3.125,14.0625,0.0,0.41475040580961736
n512,3.00160006532766,1.8488212972777676,shell_12_16,Z,1.1602937188569575e-05,17057.50349663735,9.005304385247965e-09,0.00012239659603667123,15.9375,-0.0625,16.0,0.0,0.39321333299322647
n512,3.00160006532766,1.8488212972777676,shell_gt_16,C,8.427095238567335e-05,13121.955983152111,5.7115264490803934e-08,0.00045633959105473857,15.875,16.0,15.875,16.0,0.5532244036390553
n512,3.00160006532766,1.8488212972777676,shell_gt_16,H,7.970528771843917e-06,13121.955983152111,5.690116305419527e-08,0.0004554834740702063,15.875,16.0,15.875,16.0,0.3244124272859278
n512,3.00160006532766,1.8488212972777676,shell_gt_16,M,4.852458165597504e-06,13121.955983152111,1.3483277174601465e-09,4.7288980021937434e-05,15.9375,4.25,16.0,-4.3125,0.5274570430073503
n512,3.00160006532766,1.8488212972777676,shell_gt_16,Z,1.7817528899555397e-05,13121.955983152111,8.735839267081087e-09,0.00012239351195920207,15.9375,1.4375,16.0,0.0625,0.6038203784468674
n512,3.2534080590065186,2.003991243617995,shell_0_4,C,2.932628881618322e-08,1076.3517466972924,9.621592110825342e-11,3.531013535398455e-05,3.96875,-0.03125,4.0,0.0,0.00015330327463323104
n512,3.2534080590065186,2.003991243617995,shell_0_4,H,8.375364036961423e-09,1076.3517466972924,3.8653656939315725e-11,2.7028299882658757e-05,3.96875,-0.03125,4.0,0.0,0.00030139439669731673
n512,3.2534080590065186,2.003991243617995,shell_0_4,M,4.048589976933415e-09,1076.3517466972924,1.0986702009382857e-11,1.2761981714375858e-05,3.8125,-0.34375,4.0,0.0,0.0003901078410781594
n512,3.2534080590065186,2.003991243617995,shell_0_4,Z,3.6529734208838966e-09,1076.3517466972924,1.1426101389522597e-11,9.97030086701032e-06,3.90625,-0.03125,3.90625,0.0,9.585576972589542e-05
n512,3.2534080590065186,2.003991243617995,shell_4_8,C,1.070604511442225e-06,5770.641448735665,1.941116033454423e-09,0.00012067049395476809,7.59375,-0.96875,7.625,-1.21875,0.005596588728630154
n512,3.2534080590065186,2.003991243617995,shell_4_8,H,3.3717672856532074e-07,5770.641448735665,5.474989845661953e-10,6.555717845913023e-05,7.78125,-1.6875,7.78125,-1.6875,0.012133583237438426
n512,3.2534080590065186,2.003991243617995,shell_4_8,M,4.380140755226094e-07,5770.641448735665,1.5022163217712596e-09,0.00010595536234516106,7.59375,-0.96875,7.59375,-0.96875,0.042205490389865985
n512,3.2534080590065186,2.003991243617995,shell_4_8,Z,6.204819197052071e-08,5770.641448735665,4.541097917601161e-11,1.8196668473516958e-05,7.5625,-0.03125,7.5625,0.0,0.0016281742340176263
n512,3.2534080590065186,2.003991243617995,shell_8_12,C,4.528858750634381e-07,10680.01148115963,1.3017906040564593e-09,0.00010151338166847938,7.8125,1.8125,7.8125,1.8125,0.002367462453825669
n512,3.2534080590065186,2.003991243617995,shell_8_12,H,2.3358304260469764e-07,10680.01148115963,1.0955627860664403e-09,7.745439506834373e-05,8.0625,-2.8125,8.0,-2.53125,0.008405678833049001
n512,3.2534080590065186,2.003991243617995,shell_8_12,M,1.2775662907755582e-07,10680.01148115963,7.280248369379014e-10,7.591469072074233e-05,7.8125,1.8125,7.8125,1.8125,0.012310177873487378
n512,3.2534080590065186,2.003991243617995,shell_8_12,Z,2.1188777208489683e-08,10680.01148115963,1.215782812565476e-10,1.5199201309350155e-05,8.625,-0.25,8.625,-0.25,0.0005560036482222306
n512,3.2534080590065186,2.003991243617995,shell_12_16,C,8.498909950802562e-05,17057.998658982142,5.2255092774721086e-08,0.0003104875001836943,15.9375,0.0625,16.0,0.0,0.44428080703890355
n512,3.2534080590065186,2.003991243617995,shell_12_16,H,1.8365659236134575e-05,17057.998658982142,7.3750180942359365e-09,0.0001474535238230601,15.9375,0.0625,16.0,0.0,0.6609034259281569
n512,3.2534080590065186,2.003991243617995,shell_12_16,M,4.368199799662387e-06,17057.998658982142,1.149476443525872e-09,4.278893540123758e-05,15.6875,-3.125,15.6875,-3.125,0.4209043155649664
n512,3.2534080590065186,2.003991243617995,shell_12_16,Z,1.5458675953346366e-05,17057.998658982142,1.094463914220827e-08,0.00013471026199067662,15.9375,-0.0625,16.0,0.0,0.40564305066656076
n512,3.2534080590065186,2.003991243617995,shell_gt_16,C,0.00010475398983265003,13122.093068292903,7.472176963001118e-08,0.0005219560467458358,15.875,16.0,15.875,16.0,0.5476018385040072
n512,3.2534080590065186,2.003991243617995,shell_gt_16,H,8.843924094359075e-06,13122.093068292903,7.440256988726554e-08,0.0005208399961702526,15.875,16.0,15.875,16.0,0.3182559176046587
n512,3.2534080590065186,2.003991243617995,shell_gt_16,M,5.440111131864495e-06,13122.093068292903,1.555696182832743e-09,5.076703591331571e-05,15.9375,4.25,16.0,-4.3125,0.5241899083306019
n512,3.2534080590065186,2.003991243617995,shell_gt_16,Z,2.2563495575572523e-05,13122.093068292903,1.0633269751434315e-08,0.00013470706422652684,15.9375,-1.4375,16.0,-0.0625,0.5920769156814739
n512,3.5001372886737263,2.156049917260921,shell_0_4,C,4.4210886168957835e-08,1074.7404632216508,2.7715885926531275e-10,5.2582728964539914e-05,3.96875,-0.03125,4.0,0.0,0.00018673097550227677
n512,3.5001372886737263,2.156049917260921,shell_0_4,H,1.688076647443605e-08,1074.7404632216508,2.0707457579129517e-10,4.638064274331555e-05,3.96875,-0.03125,4.0,0.0,0.0005390807402170189
n512,3.5001372886737263,2.156049917260921,shell_0_4,M,6.569419555105599e-09,1074.7404632216508,4.7861487752733293e-11,2.2652283121896844e-05,3.96875,-0.03125,4.0,0.0,0.0005634294512385773
n512,3.5001372886737263,2.156049917260921,shell_0_4,Z,4.445768536385255e-09,1074.7404632216508,1.1164832075256265e-11,1.0031703577199857e-05,3.8125,-0.03125,3.8125,0.0,9.219146210485879e-05
n512,3.5001372886737263,2.156049917260921,shell_4_8,C,1.2129912776178977e-06,5760.579894907184,1.9124919948678022e-09,0.00011968247557196534,7.46875,-0.90625,7.5,-1.15625,0.005123241449622414
n512,3.5001372886737263,2.156049917260921,shell_4_8,H,4.0786512030878003e-07,5760.579894907184,5.75850451004551e-10,6.769745232304558e-05,7.71875,1.96875,7.71875,1.96875,0.013025014669667486
n512,3.5001372886737263,2.156049917260921,shell_4_8,M,4.7645488674768053e-07,5760.579894907184,1.4129658637283918e-09,0.00010271670786093035,7.46875,-0.90625,7.5,1.15625,0.04086338421962288
n512,3.5001372886737263,2.156049917260921,shell_4_8,Z,6.990139633014043e-08,5760.579894907184,5.0367486917572764e-11,1.88662184547229e-05,5.375,-4.1875,7.375,0.0,0.0014495383369838159
n512,3.5001372886737263,2.156049917260921,shell_8_12,C,4.5946973515863965e-07,10677.529773136792,1.0930347403738622e-09,9.36879744436968e-05,7.75,2.09375,7.75,2.09375,0.0019406358771470876
n512,3.5001372886737263,2.156049917260921,shell_8_12,H,2.418441935417552e-07,10677.529773136792,9.091688536848947e-10,7.250573980854824e-05,8.0625,-2.9375,8.0,-2.96875,0.007723200665628122
n512,3.5001372886737263,2.156049917260921,shell_8_12,M,1.3187719121923046e-07,10677.529773136792,5.062967390720565e-10,6.376310126974582e-05,7.75,-2.09375,7.75,-2.09375,0.011310511203655579
n512,3.5001372886737263,2.156049917260921,shell_8_12,Z,1.9644682948180374e-08,10677.529773136792,1.242480003057293e-10,1.542698172631381e-05,8.8125,-0.0625,8.8125,0.0,0.00040736984590108115
n512,3.5001372886737263,2.156049917260921,shell_12_16,C,0.00010676029568450498,17058.520132480353,6.224334098668213e-08,0.00033670846899253775,15.9375,-0.0625,16.0,0.0,0.45091731665122275
n512,3.5001372886737263,2.156049917260921,shell_12_16,H,2.0806808093644355e-05,17058.520132480353,8.49730018681578e-09,0.00015557391452603042,15.9375,-0.0625,16.0,0.0,0.6644573589511718
n512,3.5001372886737263,2.156049917260921,shell_12_16,M,4.971188669169286e-06,17058.520132480353,1.3100954382932024e-09,4.5680938121317557e-05,15.6875,3.125,15.6875,3.125,0.42635640491201066
n512,3.5001372886737263,2.156049917260921,shell_12_16,Z,2.0100945587147937e-05,17058.520132480353,1.3112572942602947e-08,0.0001472403334700112,15.9375,0.0625,16.0,0.0,0.4168313190852973
n512,3.5001372886737263,2.156049917260921,shell_gt_16,C,0.00012828549804410564,13122.236429783996,9.501260031577596e-08,0.0005885712853863721,15.875,16.0,15.875,16.0,0.5418320750465053
n512,3.5001372886737263,2.156049917260921,shell_gt_16,H,9.840587311099799e-06,13122.236429783996,9.453644881941021e-08,0.0005870946333743632,15.875,16.0,15.875,16.0,0.31425534497331575
