family,gid,i,j,rho,z,region,difference,absolute_difference
C,28,31,1,5.4921875,-0.9765625,COARSE_FINE_INTERFACE,-9.751889902100477e-06,9.751889902100477e-06
C,28,0,2,5.0078125,-0.9609375,COARSE_FINE_INTERFACE,-3.282642429073765e-06,3.282642429073765e-06
C,28,1,2,5.0234375,-0.9609375,COARSE_FINE_INTERFACE,-2.649434439082549e-05,2.649434439082549e-05
C,28,2,2,5.0390625,-0.9609375,COARSE_FINE_INTERFACE,-1.0329212273550194e-06,1.0329212273550194e-06
C,28,3,2,5.0546875,-0.9609375,COARSE_FINE_INTERFACE,-5.757347005929531e-07,5.757347005929531e-07
C,28,4,2,5.0703125,-0.9609375,COARSE_FINE_INTERFACE,-2.3233803209984742e-06,2.3233803209984742e-06
C,28,5,2,5.0859375,-0.9609375,COARSE_FINE_INTERFACE,-7.1376027724018125e-06,7.1376027724018125e-06
C,28,6,2,5.1015625,-0.9609375,COARSE_FINE_INTERFACE,-4.999699443771453e-07,4.999699443771453e-07
C,28,7,2,5.1171875,-0.9609375,COARSE_FINE_INTERFACE,-7.641965853531774e-06,7.641965853531774e-06
C,28,8,2,5.1328125,-0.9609375,COARSE_FINE_INTERFACE,6.094888926281433e-07,6.094888926281433e-07
C,28,9,2,5.1484375,-0.9609375,COARSE_FINE_INTERFACE,9.107936520569813e-06,9.107936520569813e-06
C,28,10,2,5.1640625,-0.9609375,COARSE_FINE_INTERFACE,7.310135766876863e-06,7.310135766876863e-06
C,28,11,2,5.1796875,-0.9609375,COARSE_FINE_INTERFACE,1.8849906787622023e-05,1.8849906787622023e-05
C,28,12,2,5.1953125,-0.9609375,COARSE_FINE_INTERFACE,-2.4478387861473494e-06,2.4478387861473494e-06
C,28,13,2,5.2109375,-0.9609375,COARSE_FINE_INTERFACE,9.03529123595214e-06,9.03529123595214e-06
C,28,14,2,5.2265625,-0.9609375,COARSE_FINE_INTERFACE,-8.805312834929586e-06,8.805312834929586e-06
C,28,15,2,5.2421875,-0.9609375,COARSE_FINE_INTERFACE,1.74576007292912e-06,1.74576007292912e-06
C,28,16,2,5.2578125,-0.9609375,COARSE_FINE_INTERFACE,4.329027082604353e-07,4.329027082604353e-07
C,28,17,2,5.2734375,-0.9609375,COARSE_FINE_INTERFACE,-6.44978174303007e-07,6.44978174303007e-07
C,28,18,2,5.2890625,-0.9609375,COARSE_FINE_INTERFACE,1.0927720422389264e-05,1.0927720422389264e-05
C,28,19,2,5.3046875,-0.9609375,COARSE_FINE_INTERFACE,-7.894549115860898e-06,7.894549115860898e-06
C,28,20,2,5.3203125,-0.9609375,COARSE_FINE_INTERFACE,-3.082037144546291e-06,3.082037144546291e-06
C,28,21,2,5.3359375,-0.9609375,COARSE_FINE_INTERFACE,-1.0250482817370562e-05,1.0250482817370562e-05
C,28,22,2,5.3515625,-0.9609375,COARSE_FINE_INTERFACE,-1.0223689699008151e-05,1.0223689699008151e-05
C,28,23,2,5.3671875,-0.9609375,COARSE_FINE_INTERFACE,-9.039971147310321e-06,9.039971147310321e-06
C,28,24,2,5.3828125,-0.9609375,COARSE_FINE_INTERFACE,-1.2240974787279708e-06,1.2240974787279708e-06
C,28,25,2,5.3984375,-0.9609375,COARSE_FINE_INTERFACE,2.181917758588281e-07,2.181917758588281e-07
C,28,26,2,5.4140625,-0.9609375,COARSE_FINE_INTERFACE,9.563452253284928e-06,9.563452253284928e-06
C,28,27,2,5.4296875,-0.9609375,COARSE_FINE_INTERFACE,2.3955714316412427e-06,2.3955714316412427e-06
C,28,28,2,5.4453125,-0.9609375,COARSE_FINE_INTERFACE,4.321833716317176e-06,4.321833716317176e-06
C,28,29,2,5.4609375,-0.9609375,COARSE_FINE_INTERFACE,2.4304762939161666e-05,2.4304762939161666e-05
C,28,30,2,5.4765625,-0.9609375,COARSE_FINE_INTERFACE,2.3416003301990687e-05,2.3416003301990687e-05
C,28,31,2,5.4921875,-0.9609375,COARSE_FINE_INTERFACE,3.457776182003245e-05,3.457776182003245e-05
C,28,0,3,5.0078125,-0.9453125,COARSE_FINE_INTERFACE,-1.1630271073987362e-05,1.1630271073987362e-05
C,28,1,3,5.0234375,-0.9453125,COARSE_FINE_INTERFACE,-2.3261833402237527e-05,2.3261833402237527e-05
C,28,2,3,5.0390625,-0.9453125,COARSE_FINE_INTERFACE,5.2200980357975865e-06,5.2200980357975865e-06
C,28,3,3,5.0546875,-0.9453125,COARSE_FINE_INTERFACE,6.277201096810923e-07,6.277201096810923e-07
C,28,4,3,5.0703125,-0.9453125,COARSE_FINE_INTERFACE,-1.973281666232691e-05,1.973281666232691e-05
C,28,5,3,5.0859375,-0.9453125,COARSE_FINE_INTERFACE,-2.3284178467196034e-05,2.3284178467196034e-05
C,28,6,3,5.1015625,-0.9453125,COARSE_FINE_INTERFACE,-2.2821699624059333e-05,2.2821699624059333e-05
C,28,7,3,5.1171875,-0.9453125,COARSE_FINE_INTERFACE,-2.423644810110783e-05,2.423644810110783e-05
C,28,8,3,5.1328125,-0.9453125,COARSE_FINE_INTERFACE,-9.940465834554907e-06,9.940465834554907e-06
C,28,9,3,5.1484375,-0.9453125,COARSE_FINE_INTERFACE,-4.467794814597137e-06,4.467794814597137e-06
C,28,10,3,5.1640625,-0.9453125,COARSE_FINE_INTERFACE,9.828922894374557e-06,9.828922894374557e-06
C,28,11,3,5.1796875,-0.9453125,COARSE_FINE_INTERFACE,1.0757226169420993e-05,1.0757226169420993e-05
C,28,12,3,5.1953125,-0.9453125,COARSE_FINE_INTERFACE,2.9145645436172776e-06,2.9145645436172776e-06
C,28,13,3,5.2109375,-0.9453125,COARSE_FINE_INTERFACE,2.605869531470406e-06,2.605869531470406e-06
C,28,14,3,5.2265625,-0.9453125,COARSE_FINE_INTERFACE,-1.722721556182954e-05,1.722721556182954e-05
C,28,15,3,5.2421875,-0.9453125,COARSE_FINE_INTERFACE,-1.2517040608459387e-05,1.2517040608459387e-05
C,28,16,3,5.2578125,-0.9453125,COARSE_FINE_INTERFACE,-2.2968328957970185e-05,2.2968328957970185e-05
C,28,17,3,5.2734375,-0.9453125,COARSE_FINE_INTERFACE,-2.132935060977434e-05,2.132935060977434e-05
C,28,18,3,5.2890625,-0.9453125,COARSE_FINE_INTERFACE,-1.3485197332806058e-05,1.3485197332806058e-05
C,28,19,3,5.3046875,-0.9453125,COARSE_FINE_INTERFACE,-2.1234400182799842e-05,2.1234400182799842e-05
C,28,20,3,5.3203125,-0.9453125,COARSE_FINE_INTERFACE,-1.2360440554192408e-05,1.2360440554192408e-05
C,28,21,3,5.3359375,-0.9453125,COARSE_FINE_INTERFACE,-2.994748984931888e-06,2.994748984931888e-06
C,28,22,3,5.3515625,-0.9453125,COARSE_FINE_INTERFACE,-4.752688331161395e-07,4.752688331161395e-07
C,28,23,3,5.3671875,-0.9453125,COARSE_FINE_INTERFACE,1.0258959185463663e-06,1.0258959185463663e-06
C,28,24,3,5.3828125,-0.9453125,COARSE_FINE_INTERFACE,4.927482161739844e-06,4.927482161739844e-06
C,28,25,3,5.3984375,-0.9453125,COARSE_FINE_INTERFACE,-2.3876284845221994e-06,2.3876284845221994e-06
C,28,26,3,5.4140625,-0.9453125,COARSE_FINE_INTERFACE,-2.4534651362276283e-07,2.4534651362276283e-07
C,28,27,3,5.4296875,-0.9453125,COARSE_FINE_INTERFACE,-1.3063564268159765e-05,1.3063564268159765e-05
C,28,28,3,5.4453125,-0.9453125,COARSE_FINE_INTERFACE,-1.7893155931428088e-05,1.7893155931428088e-05
C,28,29,3,5.4609375,-0.9453125,COARSE_FINE_INTERFACE,-5.182666548656824e-06,5.182666548656824e-06
C,28,30,3,5.4765625,-0.9453125,COARSE_FINE_INTERFACE,-7.022357962921215e-06,7.022357962921215e-06
C,28,31,3,5.4921875,-0.9453125,COARSE_FINE_INTERFACE,2.903447326434855e-06,2.903447326434855e-06
C,28,0,4,5.0078125,-0.9296875,COARSE_FINE_INTERFACE,1.3887316748946704e-06,1.3887316748946704e-06
C,28,1,4,5.0234375,-0.9296875,COARSE_FINE_INTERFACE,-3.5951708826772663e-07,3.5951708826772663e-07
C,28,2,4,5.0390625,-0.9296875,COARSE_FINE_INTERFACE,1.570212343649088e-05,1.570212343649088e-05
C,28,3,4,5.0546875,-0.9296875,COARSE_FINE_INTERFACE,1.69476160130147e-05,1.69476160130147e-05
C,28,4,4,5.0703125,-0.9296875,INTERIOR,-4.980376504627737e-06,4.980376504627737e-06
C,28,5,4,5.0859375,-0.9296875,INTERIOR,-1.5991660904267e-06,1.5991660904267e-06
C,28,6,4,5.1015625,-0.9296875,INTERIOR,-1.5791078622328508e-05,1.5791078622328508e-05
C,28,7,4,5.1171875,-0.9296875,INTERIOR,-1.9007164897690693e-05,1.9007164897690693e-05
C,28,8,4,5.1328125,-0.9296875,INTERIOR,-1.1563305893872756e-05,1.1563305893872756e-05
C,28,9,4,5.1484375,-0.9296875,INTERIOR,-1.1373466098846437e-05,1.1373466098846437e-05
C,28,10,4,5.1640625,-0.9296875,INTERIOR,1.1996327570198626e-05,1.1996327570198626e-05
C,28,11,4,5.1796875,-0.9296875,INTERIOR,7.578837585904552e-06,7.578837585904552e-06
C,28,12,4,5.1953125,-0.9296875,INTERIOR,1.4602099259230887e-05,1.4602099259230887e-05
C,28,13,4,5.2109375,-0.9296875,INTERIOR,6.504359691394349e-06,6.504359691394349e-06
C,28,14,4,5.2265625,-0.9296875,INTERIOR,-6.049084988133443e-06,6.049084988133443e-06
C,28,15,4,5.2421875,-0.9296875,INTERIOR,-8.76785925794845e-06,8.76785925794845e-06
C,28,16,4,5.2578125,-0.9296875,INTERIOR,-1.592842078296632e-05,1.592842078296632e-05
C,28,17,4,5.2734375,-0.9296875,INTERIOR,-1.22117446341081e-05,1.22117446341081e-05
C,28,18,4,5.2890625,-0.9296875,INTERIOR,-1.1077275795723027e-05,1.1077275795723027e-05
C,28,19,4,5.3046875,-0.9296875,INTERIOR,-8.685683393366665e-06,8.685683393366665e-06
