# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    1    285     44     51     94     72      0      0      0      0   1215   1410  39617  39617      0 
    2    304     47     55    100     78      0      0      0      0   1215   1410  39617  39617      0 
    3    280     43     53     99     74      0      0      0      0   1215   1410  39617  39617      0 
    0    297     49     54    100     69      0      0      0      0   1215   1395  39617  39617      0 
    1    278     46     51    100     77      0      0      0      0   1215   1410  39617  39617      0 
    2    366     51     54    100     69      0      0      0      0   1215   1410  39617  39617      0 
    3    187     50     55     98     69      0      0      0      0   1215   1410  39617  39617      0 
    0    285     52     55     92     63      0      0      0      0   1215   1410  39617  39617      0 
    1    300     45     54     99     70      0      0      0      0   1215   1410  39617  39617      0 
    2    302     49     58    100     84      0      0      0      0   1215   1410  39617  39617      0 
    3    289     44     55     99     68      0      0      0      0   1215   1410  39617  39617      0 
    0    343     49     55     97     74      0      0      0      0   1215   1395  39617  39617      0 
    1    348     47     53    100     71      0      0      0      0   1215   1410  39617  39617      0 
    2    340     53     56     94     63      0      0      0      0   1215   1395  39617  39617      0 
    3    279     49     56     92     64      0      0      0      0   1215   1410  39617  39617      0 
    0    297     52     56    100     84      0      0      0      0   1215   1410  39617  39617      0 
    1    207     46     54     92     63      0      0      0      0   1215   1410  39617  39617      0 
    2    302     49     58     93     71      0      0      0      0   1215   1410  39617  39617      0 
    3    290     45     56    100     74      0      0      0      0   1215   1410  39617  39617      0 
    0    291     50     57    100     81      0      0      0      0   1215   1410  39617  39617      0 
    1    298     47     54     92     65      0      0      0      0   1215   1410  39617  39617      0 
    2    302     53     60    100     69      0      0      0      0   1215   1410  39617  39617      0 
    3    283     49     57     98     75      0      0      0      0   1215   1410  39617  39617      0 
    0    307     53     58     98     74      0      0      0      0   1215   1410  39617  39617      0 
    1    295     46     56    100     71      0      0      0      0   1215   1410  39617  39617      0 
    2    305     50     60    100     70      0      0      0      0   1215   1410  39617  39617      0 
    3    288     45     57    100     78      0      0      0      0   1215   1410  39617  39617      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0    299     50     58    100     74      0      0      0      0   1215   1410  39617  39617      0 
    1    288     47     55    100     70      0      0      0      0   1215   1410  39617  39617      0 
    2    295     54     62     91     62      0      0      0      0   1215   1410  39617  39617      0 
    3    285     50     57    100     84      0      0      0      0   1215   1410  39617  39617      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0    301     54     59     94     63      0      0      0      0   1215   1410  39617  39617      0 
    1    292     46     56     95     72      0      0      0      0   1215   1410  39617  39617      0 
    2    330     52     62     93     64      0      0      0      0   1215   1365  39617  39617      0 
    3    289     47     55    100     77      0      0      0      0   1215   1410  39617  39617      0 
    0    432     51     59     93     62      0      0      0      0   1215   1410  39617  39617      0 
    1    288     47     55    100     78      0      0      0      0   1215   1410  39617  39617      0 
    2    292     56     64     93     63      0      0      0      0   1215   1380  39617  39617      0 
    3    285     50     58    100     75      0      0      0      0   1215   1410  39617  39617      0 
    0    324     54     56     96     71      0      0      0      0   1215   1410  39617  39617      0 
    1    290     48     57    100     70      0      0      0      0   1215   1410  39617  39617      0 
    2    320     52     59    100     70      0      0      0      0   1215   1380  39617  39617      0 
    3    285     46     55    100     72      0      0      0      0   1215   1410  39617  39617      0 
    0    299     52     61    100     68      0      0      0      0   1215   1410  39617  39617      0 
    1    292     48     56     99     72      0      0      0      0   1215   1410  39617  39617      0 
    2    296     56     61    100     69      0      0      0      0   1215   1395  39617  39617      0 
    3    283     51     58     98     69      0      0      0      0   1215   1410  39617  39617      0 
    0    298     54     59     93     63      0      0      0      0   1215   1410  39617  39617      0 
    1    402     47     55     93     64      0      0      0      0   1215   1395  39617  39617      0 
    2    243     51     60     98     76      0      0      0      0   1215   1410  39617  39617      0 
    3    397     47     54     93     63      0      0      0      0   1215   1410  39617  39617      0 
    0    300     52     60     93     66      0      0      0      0   1215   1380  39617  39617      0 
    1    288     48     56     93     65      0      0      0      0   1215   1410  39617  39617      0 
    2    293     56     61    100     80      0      0      0      0   1215   1395  39617  39617      0 
    3    287     52     59     92     65      0      0      0      0   1215   1410  39617  39617      0 
    0    293     55     58     99     76      0      0      0      0   1215   1410  39617  39617      0 
    1    285     46     55     99     69      0      0      0      0   1215   1410  39617  39617      0 
    2    264     51     61    100     81      0      0      0      0   1215   1410  39617  39617      0 
    3    287     46     57     91     68      0      0      0      0   1215   1410  39617  39617      0 
    0    230     51     58    100     76      0      0      0      0   1215   1410  39617  39617      0 
    1    303     49     52     98     69      0      0      0      0   1215   1410  39617  39617      0 
    2    261     55     62     99     75      0      0      0      0   1215   1410  39617  39617      0 
    3    186     50     54    100     69      0      0      0      0   1215   1410  39617  39617      0 
    0    301     55     60    100     83      0      0      0      0   1215   1410  39617  39617      0 
    1    302     47     57     95     72      0      0      0      0   1215   1410  39617  39617      0 
    2    306     52     62    100     70      0      0      0      0   1215   1410  39617  39617      0 
    3    287     46     58     99     70      0      0      0      0   1215   1410  39617  39617      0 
    0    293     51     59    100     81      0      0      0      0   1215   1410  39617  39617      0 
    1    290     48     56     92     66      0      0      0      0   1215   1410  39617  39617      0 
    2    292     55     64     99     69      0      0      0      0   1215   1410  39617  39617      0 
    3    287     51     57     94     70      0      0      0      0   1215   1410  39617  39617      0 
    0    300     55     60     95     71      0      0      0      0   1215   1410  39617  39617      0 
    1    290     47     57    100     85      0      0      0      0   1215   1410  39617  39617      0 
    2    308     52     62     99     70      0      0      0      0   1215   1410  39617  39617      0 
    3    287     46     58     94     63      0      0      0      0   1215   1410  39617  39617      0 
    0    277     51     59     94     70      0      0      0      0   1215   1410  39617  39617      0 
    1    290     48     56    100     77      0      0      0      0   1215   1410  39617  39617      0 
    2    211     55     63     92     63      0      0      0      0   1215   1410  39617  39617      0 
    3    323     51     57    100     82      0      0      0      0   1215   1410  39617  39617      0 
    0    300     55     61     98     66      0      0      0      0   1215   1410  39617  39617      0 
    1    292     47     57    100     79      0      0      0      0   1215   1410  39617  39617      0 
    2    309     52     62     96     74      0      0      0      0   1215   1410  39617  39617      0 
    3    289     47     59     98     70      0      0      0      0   1215   1410  39617  39617      0 
    0    262     51     60    100     69      0      0      0      0   1215   1410  39617  39617      0 
    1    290     48     56    100     85      0      0      0      0   1215   1410  39617  39617      0 
    2    276     56     65    100     69      0      0      0      0   1215   1410  39617  39617      0 
    3    234     52     58     93     65      0      0      0      0   1215   1410  39617  39617      0 
    0    300     55     61     92     63      0      0      0      0   1215   1395  39617  39617      0 
    1    293     47     58     92     68      0      0      0      0   1215   1410  39617  39617      0 
    2    307     53     62    100     83      0      0      0      0   1215   1410  39617  39617      0 
    3    287     48     60     98     74      0      0      0      0   1215   1410  39617  39617      0 
    0    296     51     60     93     63      0      0      0      0   1215   1410  39617  39617      0 
    1    286     48     56     93     63      0      0      0      0   1215   1410  39617  39617      0 
    2    294     56     65     92     68      0      0      0      0   1215   1410  39617  39617      0 
    3    290     51     59     93     63      0      0      0      0   1215   1410  39617  39617      0 
    0    303     54     58    100     69      0      0      0      0   1215   1395  39617  39617      0 
    1    432     47     58    100     71      0      0      0      0   1215   1395  39617  39617      0 
    2    307     53     64    100     70      0      0      0      0   1215   1380  39617  39617      0 
    3    369     48     58    100     81      0      0      0      0   1215   1410  39617  39617      0 
    0    300     52     61    100     70      0      0      0      0   1215   1410  39617  39617      0 
    1    287     50     55     98     69      0      0      0      0   1215   1410  39617  39617      0 
    2    295     56     65    100     70      0      0      0      0   1215   1410  39617  39617      0 
    3    309     52     56    100     70      0      0      0      0   1215   1410  39617  39617      0 
    0    265     56     60     94     71      0      0      0      0   1215   1410  39617  39617      0 
    1    287     47     58     99     69      0      0      0      0   1215   1410  39617  39617      0 
    2    246     53     60     92     63      0      0      0      0   1215   1410  39617  39617      0 
    3    282     47     57     91     62      0      0      0      0   1215   1410  39617  39617      0 
    0    302     52     61     94     70      0      0      0      0   1215   1410  39617  39617      0 
    1    289     50     56     92     64      0      0      0      0   1215   1395  39617  39617      0 
    2    295     56     65     92     63      0      0      0      0   1215   1410  39617  39617      0 
    3    246     52     59     94     64      0      0      0      0   1215   1410  39617  39617      0 
    0    289     56     61    100     84      0      0      0      0   1215   1410  39617  39617      0 
    1    297     47     58    100     72      0      0      0      0   1215   1410  39617  39617      0 
    2    298     52     61    100     69      0      0      0      0   1215   1410  39617  39617      0 
    3    289     46     57    100     68      0      0      0      0   1215   1410  39617  39617      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0    390     52     58    100     68      0      0      0      0   1215   1410  39617  39617      0 
