coordinate_time,trusted_radius,field,region,E_128_256_rms,E_256_512_rms,Q_rms,p_rms,E_128_256_linf,E_256_512_linf,p_linf,samples
0.0,16.0,con_C,block_interiors_trusted,3.793178811316034e-05,1.948495289569563e-07,194.67220842776456,7.604903128145783,0.0020692992729891557,1.0467615989995238e-05,7.627065595795977,5500
0.0,16.0,con_C,same_level_seams_trusted,0.00024565199500474244,1.2741538167637753e-06,192.79618502315068,7.59093269412976,0.0068525154565577395,3.5617488563843835e-05,7.587904073284213,790
0.0,16.0,con_C,full_domain,7.11925008242169e-05,3.687104534125949e-07,193.08511642481415,7.5930931511235125,0.0068525154565577395,3.5617488563843835e-05,7.587904073284213,8385
0.0,16.0,con_C,outer_two_layers,2.765556047257038e-09,6.664668852644189e-10,4.149577583528117,2.052964481238663,1.4840944473348827e-08,3.5607969905981918e-09,2.0593108158445226,759
0.0,16.0,con_H,trusted_core,0.0014991961376606654,0.00010932295114508993,13.713462012848337,3.777520925541972,0.07698278408497572,0.005590246320934966,3.7835520886927037,6290
0.0,16.0,con_H,axis_trusted,1.5668789514501666e-06,1.3825773626762029e-07,11.333029121909085,3.502461614922987,6.455051334341988e-06,6.427108019124717e-07,3.3281869439532725,127
0.0,16.0,con_H,block_interiors_trusted,0.0010989971221419636,8.081836122103718e-05,13.598359401723336,3.7653607003504406,0.04231299296952784,0.0030289194255601615,3.80422563137289,5500
0.0,16.0,con_H,same_level_seams_trusted,0.003210018536082142,0.00023226380162723602,13.820571753294356,3.788745395749562,0.07698278408497572,0.005590246320934966,3.7835520886927037,790
0.0,16.0,con_H,full_domain,0.0011806666824383063,8.614373683247313e-05,13.705775090003257,3.776712012754411,0.07698278408497572,0.005590246320934966,3.7835520886927037,8385
0.0,16.0,con_H,outer_two_layers,1.6534355378908092e-05,7.99466668238755e-06,2.0681732004329447,1.0483570100930857,7.115642074495554e-05,3.465163899818435e-05,1.0380703506656512,759
0.0,16.0,con_M,trusted_core,0.0,0.0,nan,nan,0.0,0.0,nan,6290
0.0,16.0,con_M,axis_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,127
0.0,16.0,con_M,block_interiors_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,5500
0.0,16.0,con_M,same_level_seams_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,790
