region,family,variable,rms_order,ring_rms_order,linf_order
core_r8_mb_interior,rhs,rhs_z4c_Ayz,,,
core_r8_mb_interior,rhs,rhs_z4c_Azz,2.8819689910659623,3.0746087281710626,2.957010863390518
core_r8_mb_interior,rhs,rhs_z4c_Gamx,2.851361912814103,2.820161827040062,2.7151523226778664
core_r8_mb_interior,rhs,rhs_z4c_Gamy,2.9857203306959246,2.9453332920537276,2.5101991167076587
core_r8_mb_interior,rhs,rhs_z4c_Gamz,,,
core_r8_mb_interior,rhs,rhs_z4c_Theta,2.871709180093698,3.4452171630187425,2.2814332278395475
core_r8_mb_interior,rhs,rhs_z4c_alpha,2.22199338695712,2.187607311612312,2.5190390167743746
core_r8_mb_interior,rhs,rhs_z4c_betax,3.0703514086461867,3.0551737313765672,3.1385241911806174
core_r8_mb_interior,rhs,rhs_z4c_betay,3.057004975801771,3.030780118483012,2.98768700506125
core_r8_mb_interior,rhs,rhs_z4c_betaz,,,
core_r8_mb_interior,rhs,rhs_z4c_Bx,2.6558981633969587,2.741545589619228,2.555232814939188
core_r8_mb_interior,rhs,rhs_z4c_By,2.8200939412150587,2.8212141404842486,2.7658600204856185
core_r8_mb_interior,rhs,rhs_z4c_Bz,,,
core_r8_mb_interior,constraints,con_C,4.461019781099882,5.138539023754781,3.907174955670637
core_r8_mb_interior,constraints,con_H,2.8246507514027,3.3950983243171713,2.2205024326105147
core_r8_mb_interior,constraints,con_M,4.426404616606793,4.944219219455266,3.760009289324545
core_r8_mb_interior,constraints,con_Z,7.124580033868987,7.268116534552129,7.052048561059509
core_r8_mb_interior,constraints,con_Mx,1.9981339376922838,2.8009955541874834,1.4741459774466519
core_r8_mb_interior,constraints,con_My,3.5518731582457783,3.7154642310394457,3.6972282813497497
core_r8_mb_interior,constraints,con_Mz,,,
core_r12_mb_interior,state,state_z4c_chi,4.294002982898455,4.2781379916439946,4.989925664899599
core_r12_mb_interior,state,state_z4c_gxx,3.973754805495632,3.939995833057779,3.9901919277689224
core_r12_mb_interior,state,state_z4c_gxy,4.107347649188915,4.1864273980982585,4.081869087052954
core_r12_mb_interior,state,state_z4c_gxz,,,
core_r12_mb_interior,state,state_z4c_gyy,4.295553900464296,4.366897133150547,4.145475447621406
core_r12_mb_interior,state,state_z4c_gyz,,,
core_r12_mb_interior,state,state_z4c_gzz,3.910243406219576,3.999617008629194,3.4957617005009887
core_r12_mb_interior,state,state_z4c_Khat,2.8934425048269414,2.8742407677327226,2.893706367264742
core_r12_mb_interior,state,state_z4c_Axx,3.1262025135522435,3.105608862235388,3.688782667839657
core_r12_mb_interior,state,state_z4c_Axy,3.0830318673880805,3.096828206187798,3.1638241413867494
core_r12_mb_interior,state,state_z4c_Axz,,,
core_r12_mb_interior,state,state_z4c_Ayy,3.5141821534590036,3.5523786558729293,3.9153115272226353
core_r12_mb_interior,state,state_z4c_Ayz,,,
core_r12_mb_interior,state,state_z4c_Azz,3.339299200405419,3.4475751631297333,3.5049867308802454
core_r12_mb_interior,state,state_z4c_Gamx,3.440697849898772,3.456911175456491,3.142357160733569
core_r12_mb_interior,state,state_z4c_Gamy,3.6152340995117145,3.6298065579560777,3.103259782177986
core_r12_mb_interior,state,state_z4c_Gamz,,,
core_r12_mb_interior,state,state_z4c_Theta,2.4005978963661763,2.312502857147326,3.5224423088777734
core_r12_mb_interior,state,state_z4c_alpha,2.7791535660542754,2.8147134823200006,2.7216369260764313
core_r12_mb_interior,state,state_z4c_betax,4.027673081508467,4.091665534603554,4.08730422075245
core_r12_mb_interior,state,state_z4c_betay,4.291012986394942,4.327566311212938,4.181649691014233
core_r12_mb_interior,state,state_z4c_betaz,,,
core_r12_mb_interior,state,state_z4c_Bx,2.1050342176675176,2.104557653220369,2.1344929638999024
core_r12_mb_interior,state,state_z4c_By,2.095215783693107,2.082466505958698,2.144053285175784
core_r12_mb_interior,state,state_z4c_Bz,,,
core_r12_mb_interior,rhs,rhs_z4c_chi,3.188807125189924,3.1588524667863043,3.511154673046215
core_r12_mb_interior,rhs,rhs_z4c_gxx,3.074404005556655,3.054203008909425,3.5995871305708476
core_r12_mb_interior,rhs,rhs_z4c_gxy,3.0957719142746605,3.061019908330593,3.6311265337148257
core_r12_mb_interior,rhs,rhs_z4c_gxz,,,
core_r12_mb_interior,rhs,rhs_z4c_gyy,3.4186409843957675,3.490631117573261,3.9315130751909306
core_r12_mb_interior,rhs,rhs_z4c_gyz,,,
core_r12_mb_interior,rhs,rhs_z4c_gzz,3.0555208987495,3.118362079735085,3.55396542520202
core_r12_mb_interior,rhs,rhs_z4c_Khat,2.4013733847523593,2.431767918776615,2.331668047703716
core_r12_mb_interior,rhs,rhs_z4c_Axx,2.595065286697991,2.7092681491184583,2.443589252274521
core_r12_mb_interior,rhs,rhs_z4c_Axy,2.3990357003063822,2.413651652815514,2.4865752885460317
core_r12_mb_interior,rhs,rhs_z4c_Axz,,,
core_r12_mb_interior,rhs,rhs_z4c_Ayy,2.83963966868202,2.926192150064833,2.5707685062603787
core_r12_mb_interior,rhs,rhs_z4c_Ayz,,,
core_r12_mb_interior,rhs,rhs_z4c_Azz,2.8429878684652037,2.94508041643991,2.957010863390518
core_r12_mb_interior,rhs,rhs_z4c_Gamx,2.8530847247549307,2.848505567609992,2.7151523226778664
core_r12_mb_interior,rhs,rhs_z4c_Gamy,2.941373906869344,2.911619321991988,2.5101991167076587
core_r12_mb_interior,rhs,rhs_z4c_Gamz,,,
core_r12_mb_interior,rhs,rhs_z4c_Theta,2.6436898638014865,2.891194732398968,2.2814332278395475
core_r12_mb_interior,rhs,rhs_z4c_alpha,2.2291891456814064,2.205357855071581,2.5190390167743746
core_r12_mb_interior,rhs,rhs_z4c_betax,3.022401387164207,2.9702306009707145,3.1385241911806174
core_r12_mb_interior,rhs,rhs_z4c_betay,3.0527456250998486,3.0373020697201207,2.98768700506125
core_r12_mb_interior,rhs,rhs_z4c_betaz,,,
core_r12_mb_interior,rhs,rhs_z4c_Bx,2.734637614050258,2.7873885458764995,2.555232814939188
core_r12_mb_interior,rhs,rhs_z4c_By,2.818849382411813,2.814362611874948,2.7658600204856185
core_r12_mb_interior,rhs,rhs_z4c_Bz,,,
core_r12_mb_interior,constraints,con_C,4.4609225334262685,5.13802219206628,3.907174955670637
core_r12_mb_interior,constraints,con_H,2.825078927589188,3.3953583636931666,2.2205024326105147
core_r12_mb_interior,constraints,con_M,4.426412619411333,4.944135105811349,3.760009289324545
core_r12_mb_interior,constraints,con_Z,7.1215285952215455,7.260388942056405,7.052048561059509
