gid,i,j,rho,z,axis_distance,block_edge_distance,coarse_fine_interface_distance,delta_C,delta_H,delta_M,delta_Z
30,12,29,5.1953125,-0.0390625,5.1953125,0.0390625,0.1953125,2.6405567410231576,0.38486730649951795,2.3395661044012472,2.745896101243065e-05
51,12,2,5.1953125,0.0390625,5.1953125,0.0390625,0.1953125,2.6405567138682864,0.38486730619644477,2.339566079164061,2.7458960873398433e-05
51,1,1,5.0234375,0.0234375,5.0234375,0.0234375,0.0234375,2.473519949207274,-0.21761703655544964,2.4304373937361636,6.815543380603916e-05
30,1,30,5.0234375,-0.0234375,5.0234375,0.0234375,0.0234375,2.473519944190218,-0.21761703739926952,2.4304373882718235,6.815543396769372e-05
30,15,29,5.2421875,-0.0390625,5.2421875,0.0390625,0.2421875,2.3102851974633287,0.12494384363056986,2.2950544663255448,-2.1058156208042135e-06
51,15,2,5.2421875,0.0390625,5.2421875,0.0390625,0.2421875,2.3102851483428375,0.12494384365725414,2.295054417274704,-2.105815681957441e-06
51,14,1,5.2265625,0.0234375,5.2265625,0.0234375,0.2265625,2.0682062943306083,-0.22195782433144615,2.024097992038706,2.531925330876911e-07
30,14,30,5.2265625,-0.0234375,5.2265625,0.0234375,0.2265625,2.068206252582777,-0.2219578234519292,2.0240979508225565,2.531927497560356e-07
30,3,25,5.0546875,-0.1015625,5.0546875,0.0546875,0.0546875,2.016759065281358,-0.06677888245356754,2.017129425972092,3.5731579846393913e-06
51,3,6,5.0546875,0.1015625,5.0546875,0.0546875,0.0546875,2.0167590591324207,-0.06677888252900346,2.017129419724333,3.5731579020238193e-06
30,1,29,5.0234375,-0.0390625,5.0234375,0.0234375,0.0234375,1.7202885294913106,0.008156560397797968,1.731854671365708,3.5285789776543465e-05
51,1,2,5.0234375,0.0390625,5.0234375,0.0234375,0.0234375,1.7202885189252792,0.008156561192136216,1.731854660568101,3.5285789620322685e-05
30,7,24,5.1171875,-0.1171875,5.1171875,0.1171875,0.1171875,1.65848736565185,-0.015529810695021878,1.6533413499427472,-8.624902183175759e-06
51,7,7,5.1171875,0.1171875,5.1171875,0.1171875,0.1171875,1.6584873605936137,-0.015529811092114182,1.6533413450532226,-8.624901770539152e-06
30,9,23,5.1484375,-0.1328125,5.1484375,0.1328125,0.1484375,1.5949458166636736,0.06042798149657502,1.5941165984789518,2.980286009554873e-06
51,9,8,5.1484375,0.1328125,5.1484375,0.1328125,0.1484375,1.5949458062899207,0.060427981373971235,1.5941165881051045,2.9802859166812714e-06
51,9,3,5.1484375,0.0546875,5.1484375,0.0546875,0.1484375,1.333511048817289,0.640822097088459,1.5792977361531073,0.000279149870222667
30,9,28,5.1484375,-0.0546875,5.1484375,0.0546875,0.1484375,1.3335109076680927,0.6408220956766952,1.579297599823433,0.00027914986006509355
30,9,22,5.1484375,-0.1484375,5.1484375,0.1484375,0.1484375,1.2029424225731868,-0.01764795367099766,1.202683847765433,-8.539763631355267e-07
51,9,9,5.1484375,0.1484375,5.1484375,0.1484375,0.1484375,1.202942416546179,-0.017647953621935362,1.2026838417364485,-8.539762992363538e-07
30,5,22,5.0859375,-0.1484375,5.0859375,0.0859375,0.0859375,1.1945578777413897,-0.009114945210138664,1.1950269430862126,-4.042845979310628e-06
51,5,9,5.0859375,0.1484375,5.0859375,0.0859375,0.0859375,1.194557872757253,-0.00911494518190909,1.19502693809922,-4.042845913549111e-06
30,15,27,5.2421875,-0.0703125,5.2421875,0.0703125,0.2421875,1.1454572235915155,0.04111262749632666,1.1382449940442338,-3.232924829496099e-07
51,15,4,5.2421875,0.0703125,5.2421875,0.0703125,0.2421875,1.1454572132468326,0.04111262724257897,1.1382449837969812,-3.232924571592896e-07
30,14,26,5.2265625,-0.0859375,5.2265625,0.0859375,0.2265625,1.0524027721634373,-0.04649377703940108,1.053659180167439,3.14291457525946e-06
51,14,5,5.2265625,0.0859375,5.2265625,0.0859375,0.2265625,1.0524027562580236,-0.04649377697359017,1.0536591642351965,3.142914575564009e-06
30,6,22,5.1015625,-0.1484375,5.1015625,0.1015625,0.1015625,1.0078371077832795,-0.017857463373411875,1.00726682788343,-8.764593531259812e-07
