comparison,scope,field,exact_byte_equal,max_abs_change,max_relative_change,nonzero_changed_values,changed_values_above_roundoff,roundoff_threshold,max_change_flat_index
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,Gamma_y,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,Gamma_z,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,Theta,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,alpha,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,beta_x,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,beta_y,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,beta_z,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,B_x,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,B_y,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,active,B_z,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,gamma_xx,True,0.0,0.0,0,0,6.265995666814602e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,gamma_xy,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,gamma_xz,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,gamma_yy,True,0.0,0.0,0,0,4.147796852442578e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,gamma_yz,True,0.0,0.0,0,0,1.4210854715202004e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,gamma_zz,True,0.0,0.0,0,0,4.895991111538436e-14,0
t4_00_ALGEBRAIC_PROJECTION->t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,stored,K_xx,True,0.0,0.0,0,0,6.61363109742636e-14,0
