time,axisTau,dt,cycle,axisKret,axisLapse,max_abs_K,maxAbsKret,maxRefLev,nmb_total,C-Linf,C-rho,C-z,C-norm2,H-norm2,M-norm2,Z-norm2
24.952825810593076,10.211378291920681,0.005243574693710729,4808.0,5078.623186358752,0.18762817780940952,0.20381634681870697,60033.15297574476,5.0,212.0,11.3448410248844,0.0,1.125,27.090011374819447,20.977159384085088,6.039897243117269,0.017835290043051295
24.973798743927695,10.215336665990561,0.005243028310906036,4812.0,3897.690052411999,0.18986769087527436,0.20372770444913363,62616.168198684965,5.0,212.0,11.834900014718583,0.0,1.0625,27.458161327408654,21.113202962871913,6.270228713333724,0.01825936696837754
24.994769487530505,10.219343048253645,0.00524248023902475,4816.0,2698.76089555222,0.19224738275549705,0.20358984312825734,63639.78644402913,5.0,212.0,11.987135202834397,0.0,1.0,27.80610671164407,21.216022773118276,6.513581033649401,0.018681429035316176
25.015738034468367,10.223400446816482,0.00524193040733254,4820.0,1578.1671079199768,0.1947748868007956,0.20252944578696871,66380.79647801949,5.0,212.0,12.531249327653828,0.0,1.4375,28.167060808029884,21.323026355413344,6.765732273590251,0.01910827184302116
25.03670437752523,10.227512026871112,0.005241378745110798,4824.0,666.0128526949055,0.19745762172569098,0.20294264160251327,67986.34824530513,5.0,212.0,12.722310880309179,0.0,0.9375,28.586193776670207,21.486132327852147,7.019898109244178,0.019548737276533563
25.057668509202315,10.231681103648722,0.005240825181708664,4828.0,129.42210744411784,0.2003025446906864,0.2025009299334956,70036.817024933,5.0,212.0,13.279674878587972,0.0,1.375,29.119663624024696,21.771002368145133,7.266533098130068,0.020013142656015157
25.078630421718525,10.235911129387693,0.005240269646591697,4832.0,173.11011706372378,0.20331582409089333,0.2015888787626649,72321.65500809495,5.0,212.0,13.43372887306424,0.0,1.3125,29.831368029050456,22.253698551458672,7.493429238718563,0.020512265224981095
25.099590107011007,10.240205672442023,0.005239712069386994,4836.0,1035.5968417007778,0.20650241308422831,0.20173717817945375,73530.99875648582,5.0,212.0,14.044411097264907,0.0,1.3125,30.78678822588098,23.01399810437172,7.686251179050738,0.02105582526687346
25.12054755673592,10.244568386238305,0.005239152379924711,4840.0,2979.057236852892,0.2098655029627516,0.201401423294773,76395.35743634349,5.0,212.0,14.241048531936569,0.0,1.25,32.043590356232755,24.124880076865313,7.829658989678768,0.021650467188834014
25.141502762269333,10.249002965344857,0.0052385905082760085,4844.0,6270.705910702548,0.21340583497597979,0.20083912954407496,78472.42225389116,5.0,212.0,14.822082214546283,0.0,1.25,33.639233700185684,25.638299001650477,7.9091524850737125,0.02229732782346047
25.16245571470827,10.25351308548775,0.005238026384787561,4848.0,11153.966939851598,0.2171208513752645,0.20023699597234723,79927.01365145999,5.0,212.0,15.080404514850745,0.0,1.1875,35.57672195997057,27.568321002354224,7.913696942237938,0.022989408589678743
25.183406404871906,10.258102324007394,0.0052374599401129205,4852.0,17808.765010684252,0.22100367295982679,0.19970831317584453,82724.07647954684,5.0,212.0,15.606453064757467,0.0,1.1875,37.81073191321366,29.873961555128638,7.8390238187323735,0.023709129488751337
25.20435482330286,10.262774057109658,0.005236891105241003,4856.0,26302.367223677793,0.22504190342648242,0.19928723851443697,85079.59198068519,5.0,212.0,15.947130305015936,0.0,1.125,40.23742835192969,32.4454218805127,7.69121618770568,0.02442662082091595
25.22530096026861,10.267531330488124,0.005236319811522176,4860.0,36535.44171361603,0.22921628278743536,0.1989165427307003,87170.2790459315,5.0,212.0,16.386811528219432,0.0,1.125,42.69194499840624,35.09847985699834,7.489799846211471,0.025099463533632283
25.246244805762974,10.272376700690423,0.005235745990692313,4864.0,48192.16243503656,0.23349924523136042,0.1984263080731426,89236.79333841096,5.0,212.0,16.82984224485144,0.0,1.0625,44.95731712289238,37.58200294099442,7.269155234084211,0.02567465337954179
