
Root grid = 4 x 4 x 4 MeshBlocks
Total number of MeshBlocks = 1464
Number of logical  levels of refinement = 9 (10 levels total)
Number of physical levels of refinement = 7 (8 levels total)
  Physical level = 1 (logical level = 3): 448 MeshBlocks, cost = 448
  Physical level = 2 (logical level = 4): 496 MeshBlocks, cost = 496
  Physical level = 3 (logical level = 5): 112 MeshBlocks, cost = 112
  Physical level = 4 (logical level = 6): 112 MeshBlocks, cost = 112
  Physical level = 5 (logical level = 7): 112 MeshBlocks, cost = 112
  Physical level = 6 (logical level = 8): 120 MeshBlocks, cost = 120
  Physical level = 7 (logical level = 9): 64 MeshBlocks, cost = 64
Number of parallel ranks = 1
PC-GH ADM initialization: min unguarded w=0.031115, division_floor=1e-14, guarded cells=0
TwoPuncture initialized.

Setup complete, executing task list(s)...

elapsed=3.819612e+02 cycle=1250 time=6.153340e+00 dt=4.615972e-03
elapsed=3.847106e+02 cycle=1260 time=6.199501e+00 dt=4.616085e-03
elapsed=3.874377e+02 cycle=1270 time=6.245662e+00 dt=4.616297e-03
elapsed=3.901729e+02 cycle=1280 time=6.291827e+00 dt=4.616605e-03
elapsed=3.940431e+02 cycle=1290 time=6.337994e+00 dt=4.617003e-03
elapsed=3.967106e+02 cycle=1300 time=6.384167e+00 dt=4.617483e-03
elapsed=3.993841e+02 cycle=1310 time=6.430344e+00 dt=4.618034e-03
elapsed=4.020907e+02 cycle=1320 time=6.476527e+00 dt=4.618645e-03
elapsed=4.048385e+02 cycle=1330 time=6.522716e+00 dt=4.619302e-03
elapsed=4.075694e+02 cycle=1340 time=6.568912e+00 dt=4.619998e-03
elapsed=4.114887e+02 cycle=1350 time=6.615116e+00 dt=4.620726e-03
elapsed=4.141964e+02 cycle=1360 time=6.661326e+00 dt=4.621480e-03
elapsed=4.168789e+02 cycle=1370 time=6.707544e+00 dt=4.622255e-03
elapsed=4.195448e+02 cycle=1380 time=6.753771e+00 dt=4.623045e-03
elapsed=4.222132e+02 cycle=1390 time=6.800005e+00 dt=4.623844e-03
elapsed=4.261084e+02 cycle=1400 time=6.846247e+00 dt=4.624643e-03
elapsed=4.288301e+02 cycle=1410 time=6.892497e+00 dt=4.625435e-03
elapsed=4.315647e+02 cycle=1420 time=6.938755e+00 dt=4.626213e-03
elapsed=4.342990e+02 cycle=1430 time=6.985020e+00 dt=4.626973e-03
elapsed=4.370063e+02 cycle=1440 time=7.031293e+00 dt=4.627711e-03
elapsed=4.396798e+02 cycle=1450 time=7.077573e+00 dt=4.628425e-03
elapsed=4.435392e+02 cycle=1460 time=7.123861e+00 dt=4.629113e-03
elapsed=4.462009e+02 cycle=1470 time=7.170155e+00 dt=4.629773e-03
elapsed=4.489103e+02 cycle=1480 time=7.216456e+00 dt=4.630404e-03
elapsed=4.516284e+02 cycle=1490 time=7.262762e+00 dt=4.631004e-03
elapsed=4.543698e+02 cycle=1500 time=7.309075e+00 dt=4.631571e-03
elapsed=4.582802e+02 cycle=1510 time=7.355392e+00 dt=4.631333e-03
elapsed=4.609596e+02 cycle=1520 time=7.401699e+00 dt=4.629975e-03
elapsed=4.636321e+02 cycle=1530 time=7.447993e+00 dt=4.628616e-03
elapsed=4.663050e+02 cycle=1540 time=7.494273e+00 dt=4.627260e-03
elapsed=4.689841e+02 cycle=1550 time=7.540539e+00 dt=4.625913e-03
elapsed=4.717034e+02 cycle=1560 time=7.586792e+00 dt=4.624578e-03
elapsed=4.756170e+02 cycle=1570 time=7.633032e+00 dt=4.623257e-03
elapsed=4.783425e+02 cycle=1580 time=7.679259e+00 dt=4.621956e-03
elapsed=4.810603e+02 cycle=1590 time=7.725473e+00 dt=4.620676e-03
elapsed=4.837593e+02 cycle=1600 time=7.771674e+00 dt=4.619419e-03
elapsed=4.864314e+02 cycle=1610 time=7.817862e+00 dt=4.618189e-03
elapsed=4.902881e+02 cycle=1620 time=7.864039e+00 dt=4.616986e-03
elapsed=4.929729e+02 cycle=1630 time=7.910203e+00 dt=4.615812e-03
elapsed=4.956999e+02 cycle=1640 time=7.956356e+00 dt=4.614669e-03
elapsed=4.986918e+02 cycle=1650 time=8.002498e+00 dt=4.613557e-03
elapsed=5.014111e+02 cycle=1660 time=8.048629e+00 dt=4.612478e-03
elapsed=5.041193e+02 cycle=1670 time=8.094749e+00 dt=4.611430e-03
elapsed=5.079837e+02 cycle=1680 time=8.140859e+00 dt=4.610415e-03
elapsed=5.106466e+02 cycle=1690 time=8.186958e+00 dt=4.609432e-03
elapsed=5.133127e+02 cycle=1700 time=8.233048e+00 dt=4.608479e-03
elapsed=5.160152e+02 cycle=1710 time=8.279129e+00 dt=4.607555e-03
elapsed=5.187381e+02 cycle=1720 time=8.325200e+00 dt=4.606657e-03
elapsed=5.226495e+02 cycle=1730 time=8.371263e+00 dt=4.605782e-03
elapsed=5.253766e+02 cycle=1740 time=8.417317e+00 dt=4.604926e-03
elapsed=5.280704e+02 cycle=1750 time=8.463362e+00 dt=4.604085e-03
elapsed=5.307402e+02 cycle=1760 time=8.509399e+00 dt=4.603254e-03
elapsed=5.334062e+02 cycle=1770 time=8.555428e+00 dt=4.602428e-03
elapsed=5.360777e+02 cycle=1780 time=8.601449e+00 dt=4.601601e-03
elapsed=5.399691e+02 cycle=1790 time=8.647461e+00 dt=4.600770e-03
elapsed=5.426894e+02 cycle=1800 time=8.693465e+00 dt=4.599929e-03
elapsed=5.454115e+02 cycle=1810 time=8.739460e+00 dt=4.599077e-03
elapsed=5.481509e+02 cycle=1820 time=8.785447e+00 dt=4.598211e-03
elapsed=5.508420e+02 cycle=1830 time=8.831426e+00 dt=4.597334e-03
elapsed=5.547250e+02 cycle=1840 time=8.877395e+00 dt=4.596448e-03
elapsed=5.573990e+02 cycle=1850 time=8.923349e+00 dt=4.593695e-03
elapsed=5.600778e+02 cycle=1860 time=8.969271e+00 dt=4.590571e-03
elapsed=5.627781e+02 cycle=1870 time=9.015163e+00 dt=4.587451e-03
elapsed=5.654990e+02 cycle=1880 time=9.061024e+00 dt=4.584350e-03
elapsed=5.682162e+02 cycle=1890 time=9.106841e+00 dt=4.577802e-03
elapsed=5.721065e+02 cycle=1900 time=9.152587e+00 dt=4.570909e-03
elapsed=5.747758e+02 cycle=1910 time=9.198267e+00 dt=4.564498e-03
elapsed=5.774477e+02 cycle=1920 time=9.243885e+00 dt=4.558603e-03
elapsed=5.801146e+02 cycle=1930 time=9.289447e+00 dt=4.553279e-03
elapsed=5.828016e+02 cycle=1940 time=9.334958e+00 dt=4.548598e-03
elapsed=5.866978e+02 cycle=1950 time=9.380425e+00 dt=4.544658e-03
elapsed=5.894290e+02 cycle=1960 time=9.425857e+00 dt=4.541575e-03
elapsed=5.921487e+02 cycle=1970 time=9.471263e+00 dt=4.539478e-03
elapsed=5.948583e+02 cycle=1980 time=9.516652e+00 dt=4.538492e-03
elapsed=5.975255e+02 cycle=1990 time=9.562037e+00 dt=4.538706e-03
elapsed=6.002192e+02 cycle=2000 time=9.607429e+00 dt=4.540133e-03
elapsed=6.040740e+02 cycle=2010 time=9.652841e+00 dt=4.542656e-03
elapsed=6.068033e+02 cycle=2020 time=9.698282e+00 dt=4.545991e-03
elapsed=6.095389e+02 cycle=2030 time=9.743759e+00 dt=4.549672e-03
elapsed=6.122914e+02 cycle=2040 time=9.789272e+00 dt=4.553129e-03
elapsed=6.150688e+02 cycle=2050 time=9.834816e+00 dt=4.555860e-03
elapsed=6.189338e+02 cycle=2060 time=9.880311e+00 dt=4.531222e-03
elapsed=6.216066e+02 cycle=2070 time=9.925440e+00 dt=4.490469e-03
elapsed=6.242680e+02 cycle=2080 time=9.970164e+00 dt=4.450700e-03
elapsed=6.279312e+02 cycle=2090 time=1.001451e+01 dt=4.417144e-03
elapsed=6.306250e+02 cycle=2100 time=1.005859e+01 dt=4.402231e-03
elapsed=6.333231e+02 cycle=2110 time=1.010161e+01 dt=4.070206e-03
elapsed=6.372190e+02 cycle=2120 time=1.013990e+01 dt=3.511303e-03
elapsed=6.399219e+02 cycle=2130 time=1.017193e+01 dt=2.774282e-03
### FATAL ERROR: PC-GH strict diagnostic failed at t=1.018470e+01 during post-RK update on rank 0: state pcgh_w=-1.423333e-03 at (m,k,j,i)=(90,9,9,4)
Kokkos::Cuda ERROR: Failed to call Kokkos::Cuda::finalize()
