path	time	r_core	r_min	r_max	samples	measure	maximum	radius	r_over_r_core
frozen_wormhole	1.00000000000000000e+00	1.54025135709777605e-01	7.70125678548888026e-02	5.99999999999999978e-01	32769	matched_source	1.21647464072966804e+00	2.50006365981746081e-01	1.62315303167673508e+00
frozen_wormhole	1.00000000000000000e+00	1.54025135709777605e-01	7.70125678548888026e-02	5.99999999999999978e-01	32769	dB_dr	0.00000000000000000e+00	5.99999999999999867e-01	3.89546808210935103e+00
frozen_wormhole	1.00000000000000000e+00	1.54025135709777605e-01	7.70125678548888026e-02	5.99999999999999978e-01	32769	d2B_dr2	0.00000000000000000e+00	5.99999999999999867e-01	3.89546808210935103e+00
frozen_wormhole	1.25000000000000000e+00	1.30379462552123460e-01	6.51897312760617298e-02	5.99999999999999978e-01	32769	Ricci	6.08237320370807244e-01	2.49993706885227762e-01	1.91743164139278899e+00
frozen_wormhole	1.25000000000000000e+00	1.30379462552123460e-01	6.51897312760617298e-02	5.99999999999999978e-01	32769	Riemann	8.71055890198685456e-01	2.15572477126353690e-01	1.65342357535928275e+00
frozen_wormhole	1.25000000000000000e+00	1.30379462552123460e-01	6.51897312760617298e-02	5.99999999999999978e-01	32769	spin	1.45154947689824687e+00	2.49993706885227762e-01	1.91743164139278899e+00
frozen_wormhole	1.25000000000000000e+00	1.30379462552123460e-01	6.51897312760617298e-02	5.99999999999999978e-01	32769	spin_derivative	9.69831455567641831e-01	3.59035070573723636e-01	2.75377013791714020e+00
frozen_wormhole	1.25000000000000000e+00	1.30379462552123460e-01	6.51897312760617298e-02	5.99999999999999978e-01	32769	matched_source	1.21647464074161449e+00	2.49993706885227762e-01	1.91743164139278899e+00
frozen_wormhole	1.25000000000000000e+00	1.30379462552123460e-01	6.51897312760617298e-02	5.99999999999999978e-01	32769	dB_dr	0.00000000000000000e+00	5.99999999999999978e-01	4.60195178178565012e+00
frozen_wormhole	1.25000000000000000e+00	1.30379462552123460e-01	6.51897312760617298e-02	5.99999999999999978e-01	32769	d2B_dr2	0.00000000000000000e+00	5.99999999999999978e-01	4.60195178178565012e+00
frozen_wormhole	1.39999999999999991e+00	1.17972216260579479e-01	5.89861081302897397e-02	5.99999999999999978e-01	32769	Ricci	6.08237320485392807e-01	2.49995315742615104e-01	2.11910332506104870e+00
frozen_wormhole	1.39999999999999991e+00	1.17972216260579479e-01	5.89861081302897397e-02	5.99999999999999978e-01	32769	Riemann	8.71055890077806039e-01	2.15571061453419976e-01	1.82730365069400857e+00
frozen_wormhole	1.39999999999999991e+00	1.17972216260579479e-01	5.89861081302897397e-02	5.99999999999999978e-01	32769	spin	1.45154947703497483e+00	2.49995315742615104e-01	2.11910332506104870e+00
frozen_wormhole	1.39999999999999991e+00	1.17972216260579479e-01	5.89861081302897397e-02	5.99999999999999978e-01	32769	spin_derivative	9.69831455709937007e-01	3.59030219975634168e-01	3.04334555504662863e+00
frozen_wormhole	1.39999999999999991e+00	1.17972216260579479e-01	5.89861081302897397e-02	5.99999999999999978e-01	32769	matched_source	1.21647464097078561e+00	2.49995315742615104e-01	2.11910332506104870e+00
frozen_wormhole	1.39999999999999991e+00	1.17972216260579479e-01	5.89861081302897397e-02	5.99999999999999978e-01	32769	dB_dr	0.00000000000000000e+00	5.99999999999999978e-01	5.08594327561590909e+00
frozen_wormhole	1.39999999999999991e+00	1.17972216260579479e-01	5.89861081302897397e-02	5.99999999999999978e-01	32769	d2B_dr2	0.00000000000000000e+00	5.99999999999999978e-01	5.08594327561590909e+00
frozen_wormhole	1.50000000000000000e+00	1.10363832351432697e-01	5.51819161757163487e-02	5.99999999999999978e-01	32769	Ricci	6.08237320462286069e-01	2.49994949872284100e-01	2.26518909814786573e+00
frozen_wormhole	1.50000000000000000e+00	1.10363832351432697e-01	5.51819161757163487e-02	5.99999999999999978e-01	32769	Riemann	8.71055890245584052e-01	2.15578036007651908e-01	1.95333952631496643e+00
frozen_wormhole	1.50000000000000000e+00	1.10363832351432697e-01	5.51819161757163487e-02	5.99999999999999978e-01	32769	spin	1.45154947700740267e+00	2.49994949872284100e-01	2.26518909814786573e+00
frozen_wormhole	1.50000000000000000e+00	1.10363832351432697e-01	5.51819161757163487e-02	5.99999999999999978e-01	32769	spin_derivative	9.69831455684001531e-01	3.59031723362263688e-01	3.25316469818658760e+00
frozen_wormhole	1.50000000000000000e+00	1.10363832351432697e-01	5.51819161757163487e-02	5.99999999999999978e-01	32769	matched_source	1.21647464092457214e+00	2.49994949872284100e-01	2.26518909814786573e+00
frozen_wormhole	1.50000000000000000e+00	1.10363832351432697e-01	5.51819161757163487e-02	5.99999999999999978e-01	32769	dB_dr	0.00000000000000000e+00	5.99999999999999978e-01	5.43656365691809018e+00
