cycle,time,tau_c,authority_event,authority_event_index,records,agrees,would_refine_earlier,would_derefine,would_not_refine,other,native_refine,native_derefine,native_same,max_raw_dchi,max_dchi_over_dx,strongest_gid,strongest_logical_location,strongest_physical_location
105,0.2836169111315515,0.1746765092188083,False,4,30,0,30,0,0,0,30,0,0,0.01690302821984605,0.1066424923960245,33,"[3, 2, 2, 0]","[8.125, -4.125]"
106,0.2861553330340275,0.176239892175893,False,4,30,0,30,0,0,0,30,0,0,0.01690303311353649,0.10657436838782337,33,"[3, 2, 2, 0]","[8.125, -4.125]"
107,0.28869393112413444,0.17780338365099793,False,4,30,0,30,0,0,0,30,0,0,0.01690303805188293,0.10650571657456195,33,"[3, 2, 2, 0]","[8.125, -4.125]"
108,0.29123274632026735,0.17936700884534756,False,4,30,0,30,0,0,0,30,0,0,0.016903043034949355,0.10643653683360954,33,"[3, 2, 2, 0]","[8.125, -4.125]"
109,0.29377181922425244,0.18093079276519683,False,4,30,0,30,0,0,0,30,0,0,0.0169030480628013,0.10636789228856891,33,"[3, 2, 2, 0]","[8.125, -4.125]"
110,0.2963111901220327,0.18249476022225342,False,4,30,0,30,0,0,0,30,0,0,0.016903053135503786,0.10630331221557918,33,"[3, 2, 2, 0]","[8.125, -4.125]"
111,0.2969428725850926,0.18288380572122273,True,4,38,0,30,0,0,8,30,0,8,0.016903054404237696,0.1585419330411348,33,"[3, 2, 2, 0]","[8.125, -4.125]"
112,0.2982062375112124,0.18366189672038605,False,5,30,0,30,0,0,0,30,0,0,0.016903056949915677,0.10625841801992088,30,"[3, 2, 2, 0]","[8.125, -4.125]"
113,0.30073296736345195,0.18521807872365237,False,5,30,0,30,0,0,0,30,0,0,0.01690306207409545,0.10620313172234207,30,"[3, 2, 2, 0]","[8.125, -4.125]"
114,0.3057864270679311,0.18833044275027483,False,5,30,0,30,0,0,0,30,0,0,0.01690307245364348,0.10609123968087311,30,"[3, 2, 2, 0]","[8.125, -4.125]"
115,0.31087115125324777,0.19146206221585102,False,5,30,0,30,0,0,0,30,0,0,0.016903083073722906,0.10597688089864628,30,"[3, 2, 2, 0]","[8.125, -4.125]"
116,0.31595717233620474,0.1945944804532454,False,5,30,0,30,0,0,0,30,0,0,0.016903093873147482,0.10586071373251936,30,"[3, 2, 2, 0]","[8.125, -4.125]"
117,0.32104480701722615,0.19772789251516312,False,5,30,0,30,0,0,0,30,0,0,0.01690310485243192,0.10574273094219465,30,"[3, 2, 2, 0]","[8.125, -4.125]"
118,0.3261343673614152,0.20086249059949712,False,5,30,0,30,0,0,0,30,0,0,0.01690311601210443,0.10562292505061033,30,"[3, 2, 2, 0]","[8.125, -4.125]"
119,0.33122616081206296,0.203998464057649,False,5,30,0,30,0,0,0,30,0,0,0.016903127352709716,0.10550128835931265,30,"[3, 2, 2, 0]","[8.125, -4.125]"
120,0.3363204902008499,0.20713599940081284,False,5,30,0,30,0,0,0,30,0,0,0.016903138874806028,0.10537781296334812,30,"[3, 2, 2, 0]","[8.125, -4.125]"
121,0.3414176537556373,0.21027528030477477,False,5,30,0,30,0,0,0,30,0,0,0.016903150578966544,0.10525249076565879,30,"[3, 2, 2, 0]","[8.125, -4.125]"
122,0.34651794510668826,0.21341648761374535,False,5,30,0,30,0,0,0,30,0,0,0.016903162465779303,0.10512531349101722,30,"[3, 2, 2, 0]","[8.125, -4.125]"
123,0.3516216532920854,0.21655979934369718,False,5,30,0,30,0,0,0,30,0,0,0.016903174535846412,0.10499627269952208,30,"[3, 2, 2, 0]","[8.125, -4.125]"
124,0.3567290627630256,0.2197053906856269,False,5,30,0,30,0,0,0,30,0,0,0.016903186789785092,0.10486535979969616,30,"[3, 2, 2, 0]","[8.125, -4.125]"
125,0.36184045338956733,0.22285343400909585,False,5,30,0,30,0,0,0,30,0,0,0.01690319922822622,0.1047342839482035,30,"[3, 2, 2, 0]","[8.125, -4.125]"
126,0.36695610046729005,0.22600409886633258,False,5,30,0,30,0,0,0,30,0,0,0.01690321185181649,0.10460847988282913,30,"[3, 2, 2, 0]","[8.125, -4.125]"
127,0.3720762747251959,0.2291575519971004,False,5,30,0,30,0,0,0,30,0,0,0.01690322466121595,0.10448084978017881,30,"[3, 2, 2, 0]","[8.125, -4.125]"
128,0.37720124233505015,0.23231395733445123,False,5,30,0,30,0,0,0,30,0,0,0.01690323765710135,0.10435138301902053,30,"[3, 2, 2, 0]","[8.125, -4.125]"
129,0.382331264922219,0.23547347601140156,False,5,30,0,30,0,0,0,30,0,0,0.016903250840163263,0.10422006884747968,30,"[3, 2, 2, 0]","[8.125, -4.125]"
130,0.38746584603845075,0.23863580227265152,False,5,30,0,30,0,0,0,30,0,0,0.016903264209133222,0.10408691606276421,30,"[3, 2, 2, 0]","[8.125, -4.125]"
131,0.3926049305752352,0.24180090217871683,False,5,30,0,30,0,0,0,30,0,0,0.016903277763842123,0.10395192258074847,30,"[3, 2, 2, 0]","[8.125, -4.125]"
132,0.39774878673208264,0.2449689409116388,False,5,30,0,30,0,0,0,30,0,0,0.016903291504974043,0.10381507786160747,30,"[3, 2, 2, 0]","[8.125, -4.125]"
133,0.4028976786355722,0.24814008114503042,False,5,30,0,30,0,0,0,30,0,0,0.016903305433236617,0.10367637124776087,30,"[3, 2, 2, 0]","[8.125, -4.125]"
134,0.4080518663222706,0.2513144830335576,False,5,30,0,30,0,0,0,30,0,0,0.016903319549357712,0.10353579197769884,30,"[3, 2, 2, 0]","[8.125, -4.125]"
135,0.4132116057222185,0.2544923042027697,False,5,30,0,30,0,0,0,30,0,0,0.01690333385408652,0.10339332920039672,30,"[3, 2, 2, 0]","[8.125, -4.125]"
