event,authority_time,resolution,field,time_before,time_after,tau_before,tau_after,value_before,value_after,ratio,abs_log10_jump,leaves_after,max_level_after,created,deleted
134,16.89873784387394,n256,C-norm2,16.89873575062778,16.898739937102512,10.383638083091626,10.383640713914824,627217.2954796419,648316.6916250947,1.033639691216292,0.014369177649124747,938,16,6,0
134,16.89873784387394,n256,H-norm2,16.89873575062778,16.898739937102512,10.383638083091626,10.383640713914824,269964.6893369034,310255.4230391417,1.1492444578629961,0.0604124180779293,938,16,6,0
134,16.89873784387394,n256,M-norm2,16.89873575062778,16.898739937102512,10.383638083091626,10.383640713914824,357196.2071127505,338004.8694862835,0.946272280488104,0.023983881675099343,938,16,6,0
134,16.89873784387394,n256,Z-norm2,16.89873575062778,16.898739937102512,10.383638083091626,10.383640713914824,12.606968949486095,12.606986139212758,1.0000013635098755,5.921644112183181e-07,938,16,6,0
135,16.89873889049055,n256,C-norm2,16.89873575062778,16.898739937102512,10.383638083091626,10.383640713914824,627217.2954796419,648316.6916250947,1.033639691216292,0.014369177649124747,944,16,6,0
135,16.89873889049055,n256,H-norm2,16.89873575062778,16.898739937102512,10.383638083091626,10.383640713914824,269964.6893369034,310255.4230391417,1.1492444578629961,0.0604124180779293,944,16,6,0
135,16.89873889049055,n256,M-norm2,16.89873575062778,16.898739937102512,10.383638083091626,10.383640713914824,357196.2071127505,338004.8694862835,0.946272280488104,0.023983881675099343,944,16,6,0
135,16.89873889049055,n256,Z-norm2,16.89873575062778,16.898739937102512,10.383638083091626,10.383640713914824,12.606968949486095,12.606986139212758,1.0000013635098755,5.921644112183181e-07,944,16,6,0
136,16.898740983709583,n256,C-norm2,16.898739937102512,16.898744123499128,10.383640713914824,10.383643344688934,648316.6916250947,873111.8395295296,1.346736634747063,0.12928267422400563,950,16,6,0
136,16.898740983709583,n256,H-norm2,16.898739937102512,16.898744123499128,10.383640713914824,10.383643344688934,310255.4230391417,449013.0554037404,1.4472367670656092,0.16053958724788636,950,16,6,0
136,16.898740983709583,n256,M-norm2,16.898739937102512,16.898744123499128,10.383640713914824,10.383643344688934,338004.8694862835,424042.3849576309,1.2545451951686715,0.09848631145278756,950,16,6,0
136,16.898740983709583,n256,Z-norm2,16.898739937102512,16.898744123499128,10.383640713914824,10.383643344688934,12.606986139212758,12.607004225444332,1.0000014346197714,6.230470034407449e-07,950,16,6,0
137,16.898743076908115,n256,C-norm2,16.898739937102512,16.898744123499128,10.383640713914824,10.383643344688934,648316.6916250947,873111.8395295296,1.346736634747063,0.12928267422400563,956,16,6,0
137,16.898743076908115,n256,H-norm2,16.898739937102512,16.898744123499128,10.383640713914824,10.383643344688934,310255.4230391417,449013.0554037404,1.4472367670656092,0.16053958724788636,956,16,6,0
137,16.898743076908115,n256,M-norm2,16.898739937102512,16.898744123499128,10.383640713914824,10.383643344688934,338004.8694862835,424042.3849576309,1.2545451951686715,0.09848631145278756,956,16,6,0
137,16.898743076908115,n256,Z-norm2,16.898739937102512,16.898744123499128,10.383640713914824,10.383643344688934,12.606986139212758,12.607004225444332,1.0000014346197714,6.230470034407449e-07,956,16,6,0
138,16.898746216663618,n256,C-norm2,16.898744123499128,16.898748309803494,10.383643344688934,10.383645975405075,873111.8395295296,1136709.595803736,1.301906060987839,0.11457964885088125,962,16,6,0
138,16.898746216663618,n256,H-norm2,16.898744123499128,16.898748309803494,10.383643344688934,10.383645975405075,449013.0554037404,776731.6040830137,1.72986418709941,0.2380120076902821,962,16,6,0
