gid,level,lx1,lx2,k,j,i,rho,z,z4c_chi,z4c_gxx,z4c_gxy,z4c_gxz,z4c_gyy,z4c_gyz,z4c_gzz,z4c_Khat,z4c_Axx,z4c_Axy,z4c_Axz,z4c_Ayy,z4c_Ayz,z4c_Azz,z4c_Gamx,z4c_Gamy,z4c_Gamz,z4c_Theta,z4c_alpha,z4c_betax,z4c_betay,z4c_betaz,z4c_Bx,z4c_By,z4c_Bz
23,3,5,14,0,4,34,5.4765625,-1.9921875,0.39682728334960304,0.64991831622883078,0.042853007936677671,0,1.3219257712412262,0,1.1664427606014802,2.4843585181201102,-0.82597348023165595,-0.021157035967037181,0,3.4322060306037225,0,-1.5518755405926343,-1.0149307653593591,26.986646372501468,0,0.95726200006163553,0.67816183121173157,0,0,0,26.1083194708898,-14.826359025676437,0
23,3,5,14,0,4,35,5.4921875,-1.9921875,0.39592551705025036,0.64862246125771128,0.041807175979686993,0,1.3290211288062033,0,1.1624053256174154,2.4463156178382919,-0.81256634633567049,-0.024584556136840286,0,3.4018662602274579,0,-1.5250360268237753,-0.87388672602098039,26.04918049941211,0,0.93589664676885997,0.67843462643455599,0,0,0,26.135793050183675,-14.796182308775814,0
23,3,5,14,0,4,36,5.5078125,-1.9921875,0.39495534617998262,0.64728007420991596,0.040820257542778078,0,1.3365185257994285,0,1.1581640784437226,2.4303758100296831,-0.79137736391390745,-0.027362703740701447,0,3.3400018052243783,0,-1.484143536825185,-0.77861399657634422,25.183590815097357,0,0.88626040072329626,0.67871180843438716,0,0,0,26.171484430379941,-14.761839546703596,0
23,3,5,14,0,4,37,5.5234375,-1.9921875,0.39392787522690137,0.64590777858788695,0.039884637695802187,0,1.3443542609877102,0,1.1537510714112682,2.3924783272675318,-0.76423120951803825,-0.029622826319114056,0,3.2532292266660918,0,-1.4326431687363472,-0.65962817638802185,24.385770904182142,0,0.83455254045235561,0.67898144489085632,0,0,0,26.199478902213841,-14.734358741400266,0
23,3,5,14,0,4,38,5.5390625,-1.9921875,0.39285847561860782,0.64452819161591124,0.039012951728891972,0,1.3524367005664786,0,1.1492118635377202,2.3750607670262784,-0.73306081063046902,-0.031577898871737856,0,3.1485098175371404,0,-1.3739761971069668,-0.58030587624794017,23.643046937328187,0,0.76375170379517376,0.67925490610744887,0,0,0,26.234977924407097,-14.703251590973483,0
23,3,5,14,0,4,39,5.5546875,-1.9921875,0.39175545225025055,0.64315563996957548,0.038198563492826354,0,1.3607118745460718,0,1.1445702227643231,2.3384261957210728,-0.69900427612393257,-0.033279758870028452,0,3.0300521993376828,0,-1.3102954316432023,-0.47873389295855129,22.953232407255641,0,0.69631328111284885,0.67952141627695983,0,0,0,26.263651068322908,-14.678519144371858,0
23,3,5,14,0,4,40,5.5703125,-1.9921875,0.39063192455503559,0.6418081229028848,0.037450692878411039,0,1.3690999377298914,0,1.1398649560468843,2.3206683301193189,-0.66324757079300711,-0.034855868980192974,0,2.9021785631857284,0,-1.2436828324235374,-0.41241669485569843,22.307449398199214,0,0.61571877836047495,0.67979124788056922,0,0,0,26.299149752980046,-14.65073130027975,0
23,3,5,14,0,4,41,5.5859375,-1.9921875,0.38949573209283239,0.6404958703723983,0.036763020259833946,0,1.3775527739145152,0,1.1351184330438084,2.2860397861399053,-0.62649558667590655,-0.036321049591791547,0,2.7676420801283594,0,-1.1754969822185162,-0.32602121750593416,21.704520454465655,0,0.54149363789284222,0.68005466155479766,0,0,0,26.328593055261678,-14.628797546657561,0
23,3,5,14,0,4,42,5.6015625,-1.9921875,0.38835831760289752,0.63923271473582377,0.036143768248480014,0,1.3860005212525752,0,1.1303643510852275,2.2687255411988914,-0.58947233277619782,-0.037765919742509174,0,2.629181940690708,0,-1.1069943404307181,-0.27076918305140379,21.13785722107443,0,0.4580739134912476,0.68032094888149108,0,0,0,26.364261458623918,-14.604233940785429,0
23,3,5,14,0,4,43,5.6171875,-1.9921875,0.3872259966297219,0.63802635094502536,0.035587361908863371,0,1.3944021200183314,0,1.1256205652379812,2.2365214974174781,-0.552584788347804,-0.039183927607449986,0,2.4885464938012065,0,-1.0389853080824407,-0.19714729501522879,20.606706350254395,0,0.38256076975690217,0.68058130142414264,0,0,0,26.394564435085044,-14.585118246550113,0
