cycle,time_hex,rk_stage,tree_checksum,gamma0,gamma1,beta_stage,dt,dt_hex,candidate_min,min_gid,min_i,min_j,min_rho,min_z,nonpositive,nonfinite
29,0x1.84cccccccccdp-4,1,085fe82af1ae12d1,0,1,1.1937439059747379,0.001171875,0x1.3333333333333p-10,0.3317318409349112,22,45,67,3.6484375,-0.0078125,0,0
29,0x1.84cccccccccdp-4,2,085fe82af1ae12d1,0.121098479554482,0.72178167811141103,0.099279895495783005,0.001171875,0x1.3333333333333p-10,0.33173126418945709,22,45,67,3.6484375,-0.0078125,0,0
29,0x1.84cccccccccdp-4,3,085fe82af1ae12d1,-3.8438336996600251,2.121209265338722,1.131678018054042,0.001171875,0x1.3333333333333p-10,0.33173169687899207,22,45,67,3.6484375,-0.0078125,0,0
29,0x1.84cccccccccdp-4,4,085fe82af1ae12d1,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.001171875,0x1.3333333333333p-10,0.331731698736978,22,45,67,3.6484375,-0.0078125,0,0
30,0x1.899999999999dp-4,1,085fe82af1ae12d1,0,1,1.1937439059747379,0.001171875,0x1.3333333333333p-10,0.33173261470652615,22,45,67,3.6484375,-0.0078125,0,0
30,0x1.899999999999dp-4,2,085fe82af1ae12d1,0.121098479554482,0.72178167811141103,0.099279895495783005,0.001171875,0x1.3333333333333p-10,0.3317320308584108,22,45,67,3.6484375,-0.0078125,0,0
30,0x1.899999999999dp-4,3,085fe82af1ae12d1,-3.8438336996600251,2.121209265338722,1.131678018054042,0.001171875,0x1.3333333333333p-10,0.33173246884362406,22,45,67,3.6484375,-0.0078125,0,0
30,0x1.899999999999dp-4,4,085fe82af1ae12d1,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.001171875,0x1.3333333333333p-10,0.33173247070022222,22,45,67,3.6484375,-0.0078125,0,0
31,0x1.8e6666666666ap-4,1,085fe82af1ae12d1,0,1,1.1937439059747379,0.001171875,0x1.3333333333333p-10,0.33173339778210759,22,45,67,3.6484375,-0.0078125,0,0
31,0x1.8e6666666666ap-4,2,085fe82af1ae12d1,0.121098479554482,0.72178167811141103,0.099279895495783005,0.001171875,0x1.3333333333333p-10,0.33173280683665207,22,45,67,3.6484375,-0.0078125,0,0
31,0x1.8e6666666666ap-4,3,085fe82af1ae12d1,-3.8438336996600251,2.121209265338722,1.131678018054042,0.001171875,0x1.3333333333333p-10,0.33173325011354216,22,45,67,3.6484375,-0.0078125,0,0
31,0x1.8e6666666666ap-4,4,085fe82af1ae12d1,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.001171875,0x1.3333333333333p-10,0.33173325196872872,22,45,67,3.6484375,-0.0078125,0,0
32,0x1.9333333333337p-4,1,085fe82af1ae12d1,0,1,1.1937439059747379,0.001171875,0x1.3333333333333p-10,0.33173419015445316,22,45,67,3.6484375,-0.0078125,0,0
32,0x1.9333333333337p-4,2,085fe82af1ae12d1,0.121098479554482,0.72178167811141103,0.099279895495783005,0.001171875,0x1.3333333333333p-10,0.33173359211707004,22,45,67,3.6484375,-0.0078125,0,0
32,0x1.9333333333337p-4,3,085fe82af1ae12d1,-3.8438336996600251,2.121209265338722,1.131678018054042,0.001171875,0x1.3333333333333p-10,0.33173404068156709,22,45,67,3.6484375,-0.0078125,0,0
32,0x1.9333333333337p-4,4,085fe82af1ae12d1,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.001171875,0x1.3333333333333p-10,0.33173404253531746,22,45,67,3.6484375,-0.0078125,0,0
