sequence,case_id,target,role,path,sha256,prefix_bytes,prefix_lines
30,standard_r1,1.0,horizon,cases/standard_r1/z4c_standard_r1.horizon_summary_0.txt,736a31f1cdf6edea488aeccd838ccbb51521f9e75b3f271a9609298be4dba0a2,1012,5
39,standard_r1,2.0,history,cases/standard_r1/z4c_standard_r1.user.hst,bc31aea4bbbc74c3e2a2e22abc0e969114ce87fd02b2843bead7143701e222a5,12804,31
39,standard_r1,2.0,constraints,cases/standard_r1/z4c_standard_r1.z4c.user.hst,34531f487a6c1bd470cbda1bdfc2c05d70e887b377a9fe780c1f9ac6aff29239,6550,31
39,standard_r1,2.0,gauge_diagnostics,cases/standard_r1/gauge_source_diagnostics.csv,f7557a4bdad6ca3ad62801662e8a934d2a153e3cd43fadb7cde8db68a01939ad,14888,22
39,standard_r1,2.0,horizon,cases/standard_r1/z4c_standard_r1.horizon_summary_0.txt,4e4844a7185754f430d25b8d40ff3011318a339fef069ade690864ddc7f93b3e,1242,6
48,standard_r1,5.0,history,cases/standard_r1/z4c_standard_r1.user.hst,9ef011e15e6f47be2ad285765222213ba86f56570e73475acae11599e092302d,29013,63
48,standard_r1,5.0,constraints,cases/standard_r1/z4c_standard_r1.z4c.user.hst,6232cf712db59f97094931d9268f6c7752c07de3373cab70bb8496ee0618e2be,14697,63
48,standard_r1,5.0,gauge_diagnostics,cases/standard_r1/gauge_source_diagnostics.csv,2162b983e922e20e075a5a706fd4f3f123aa440fe57c943d6e9a0d98b0e63812,33771,52
48,standard_r1,5.0,horizon,cases/standard_r1/z4c_standard_r1.horizon_summary_0.txt,bc505d2a8efefcc2777571323959c259bca341892bb9556ab3520b17e7b8f796,1471,7
57,standard_r1,10.0,history,cases/standard_r1/z4c_standard_r1.user.hst,d0dce8e8d5f7ecd5b4035354607da460b75a12d9ee8d9675038ca15bc362fe1d,55802,115
57,standard_r1,10.0,constraints,cases/standard_r1/z4c_standard_r1.z4c.user.hst,718a77e9e16390917e9caafc97ebc2414cf00b81382fcdf61fb345cfed7dde28,28144,115
