sample,operation,k,j,i,var,value
0,3,0,4,5,48,-0.059806496465865555
0,3,0,4,5,49,-0.043781876781554915
0,3,0,4,5,50,-0.048151055115859251
0,3,0,4,5,51,-0.046004997281435048
0,3,0,4,5,52,0
0,3,0,4,5,53,0
0,3,0,4,5,54,0
0,3,0,4,6,0,0.6212129712191099
0,3,0,4,6,1,1.0380320720953267
0,3,0,4,6,2,0.015777091996091966
0,3,0,4,6,3,-0.0078866303523483037
0,3,0,4,6,4,0.95870133540918012
0,3,0,4,6,5,0.016107436187869726
0,3,0,4,6,6,1.0054468420947191
0,3,0,4,6,7,-0.0081173518110669914
0,3,0,4,6,8,-0.00870377234853216
0,3,0,4,6,9,-0.0021050566891786119
0,3,0,4,6,10,0.0016477486421619105
0,3,0,4,6,11,0.0020834052458494905
0,3,0,4,6,12,0.007801969633986992
0,3,0,4,6,13,0.0064156152500997486
0,3,0,4,6,14,0
0,3,0,4,6,15,0
0,3,0,4,6,16,0
0,3,0,4,6,17,0
0,3,0,4,6,18,0.75832707833690216
0,3,0,4,6,19,-0.0034424624286667357
0,3,0,4,6,20,-0.0066041585902478391
0,3,0,4,6,21,-0.0088706939544103587
0,3,0,4,6,22,-0.13308664025682554
0,3,0,4,6,23,-0.10237433865909656
0,3,0,4,6,24,0
0,3,0,4,6,25,-0.4597526350274399
0,3,0,4,6,26,-0.084102259940893154
0,3,0,4,6,27,-0.038801031976852494
0,3,0,4,6,28,-0.25811150117870546
0,3,0,4,6,29,-0.15584446380746816
0,3,0,4,6,30,0.70968115677820598
0,3,0,4,6,31,-0.35365587309803065
0,3,0,4,6,32,-0.064694046108379338
0,3,0,4,6,33,-0.029846947674501949
0,3,0,4,6,34,-0.19854730859900441
0,3,0,4,6,35,-0.11988035677497555
0,3,0,4,6,36,0.54590858213708171
0,3,0,4,6,37,0
0,3,0,4,6,38,0
0,3,0,4,6,39,0
0,3,0,4,6,40,0
0,3,0,4,6,41,0
0,3,0,4,6,42,0
0,3,0,4,6,43,-0.41719887650979343
0,3,0,4,6,44,-0.32092221269984111
0,3,0,4,6,45,0
0,3,0,4,6,46,-0.058894528264928858
0,3,0,4,6,47,-0.047091093561839784
0,3,0,4,6,48,-0.028926920527628647
0,3,0,4,6,49,-0.045303483280714513
0,3,0,4,6,50,-0.036223918124492147
0,3,0,4,6,51,-0.022251477328945193
0,3,0,4,6,52,0
0,3,0,4,6,53,0
0,3,0,4,6,54,0
0,3,0,4,7,0,0.60000000853629476
0,3,0,4,7,1,0.97663806646263551
0,3,0,4,7,2,0.0019738684344554193
0,3,0,4,7,3,-0.0098338491074546636
0,3,0,4,7,4,0.94176818189145595
0,3,0,4,7,5,-0.0058059923700414483
0,3,0,4,7,6,1.0873714542075161
0,3,0,4,7,7,-0.0015996171252378722
0,3,0,4,7,8,-0.0046921172067301833
0,3,0,4,7,9,0.0054548594204401083
0,3,0,4,7,10,0.0081944912416182826
0,3,0,4,7,11,0.0031653017254535789
0,3,0,4,7,12,0.0099725693400442503
0,3,0,4,7,13,0.0013070317191263105
0,3,0,4,7,14,0
