cycle,time,stage,operation,field,region,rank,gid,level,i,j,k,x,y,z,max_abs,nonzero,bit_mismatch,nonfinite
0,0,0,init_reconstructed,z4c_Axy,outer_boundary,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Axy,ghost,0,0,0,0,0,0,-2.4375,-2.4375,-2.4375,0,0,0,0
0,0,0,init_reconstructed,z4c_Axz,interior,0,0,0,19,17,12,-0.0625,-0.3125,-0.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Axz,exterior,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Axz,outer_boundary,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Axz,ghost,0,0,0,0,0,0,-2.4375,-2.4375,-2.4375,0,0,0,0
0,0,0,init_reconstructed,z4c_Ayy,interior,0,0,0,19,17,12,-0.0625,-0.3125,-0.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Ayy,exterior,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Ayy,outer_boundary,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Ayy,ghost,0,0,0,0,0,0,-2.4375,-2.4375,-2.4375,0,0,0,0
0,0,0,init_reconstructed,z4c_Ayz,interior,0,0,0,19,17,12,-0.0625,-0.3125,-0.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Ayz,exterior,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Ayz,outer_boundary,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Ayz,ghost,0,0,0,0,0,0,-2.4375,-2.4375,-2.4375,0,0,0,0
