arm,state,gid,i,j,rho,z,region,C_squared,H_squared,M_squared
high_order,T0,28,12,5,5.1953125,-0.9140625,INTERIOR,1.1421391683505628e-05,1.8195451287606946e-06,2.966250921555028e-06
high_order,T0,28,13,5,5.2109375,-0.9140625,INTERIOR,9.471032921150906e-06,6.849220373584444e-07,1.938912943507644e-06
high_order,T0,28,14,5,5.2265625,-0.9140625,INTERIOR,8.791497193499605e-06,1.5537164826517488e-07,1.2627031556838367e-06
high_order,T0,28,15,5,5.2421875,-0.9140625,INTERIOR,8.32677415233948e-06,2.844303928368155e-09,7.661882575749673e-07
high_order,T0,28,16,5,5.2578125,-0.9140625,INTERIOR,8.006540145111966e-06,3.89727909548521e-08,4.281923331842587e-07
high_order,T0,28,17,5,5.2734375,-0.9140625,INTERIOR,8.072410943632838e-06,1.8506034632740886e-07,2.0829957286631826e-07
high_order,T0,28,18,5,5.2890625,-0.9140625,INTERIOR,8.4767832882995e-06,4.410468373278255e-07,9.308205594066904e-08
high_order,T0,28,19,5,5.3046875,-0.9140625,INTERIOR,8.948798683914638e-06,9.138998994549377e-07,7.097419065009777e-08
high_order,T0,28,20,5,5.3203125,-0.9140625,INTERIOR,9.482935026488607e-06,1.7065669821372208e-06,1.5629621388537743e-07
high_order,T0,28,21,5,5.3359375,-0.9140625,INTERIOR,1.0781746219024382e-05,2.783043032520456e-06,4.746728060979402e-07
high_order,T0,28,22,5,5.3515625,-0.9140625,INTERIOR,1.2744619165030987e-05,4.070482157546296e-06,1.0206650952496879e-06
high_order,T0,28,23,5,5.3671875,-0.9140625,INTERIOR,1.4530352111831598e-05,5.227822687838468e-06,1.8399624730001193e-06
high_order,T0,28,24,5,5.3828125,-0.9140625,INTERIOR,1.5946586786782402e-05,6.00902613143965e-06,2.862330099366571e-06
high_order,T0,28,25,5,5.3984375,-0.9140625,INTERIOR,1.6882336681243772e-05,6.132116427618435e-06,3.797361249085812e-06
high_order,T0,28,26,5,5.4140625,-0.9140625,INTERIOR,1.7244039254458397e-05,5.5856506412578425e-06,4.556491483649008e-06
